Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
149, 897,C,Initial Reports          ,     108.200,    1.470000,T. Calcidiscus macintyrei (cir.>/= 10 microns)
,,,,,,
149, 897,C,Initial Reports          ,     158.155,    1.580000,B. Gephyrocapsa oceanica (>/= 4.0 microns)
,,,,,,
149, 897,C,Initial Reports          ,     173.444,    1.880000,T. Discoaster brouweri
,,,,,,
149, 897,C,Initial Reports          ,     173.445,    3.560000,T. Reticulofenestra pseudoumbilica
,,,,,,
149, 897,C,Initial Reports          ,     298.180,    3.800000,B. Discoaster tamalis
,,,,,,
149, 897,C,Initial Reports          ,     309.765,    8.380000,T. Discoaster bolli
,,,,,,
149, 897,C,Initial Reports          ,     334.540,   16.000000,T. Helicosphaera ampliaperta
,,,,,,
149, 897,C,Initial Reports          ,     358.805,   24.600000,T. Sphenolithus ciperoensis
,,,,,,
149, 897,C,Initial Reports          ,     383.595,   24.700001,T. Helicosphaera recta
,,,,,,
149, 897,C,Initial Reports          ,     420.375,   27.600000,T. Sphenolithus distentus
,,,,,,
149, 897,C,Initial Reports          ,     516.040,   33.700001,T. Reticulofenestra umbilica
,,,,,,
149, 897,C,Initial Reports          ,     524.015,   35.599998,T. Discoaster barbadiensis
,,,,,,
149, 897,C,Initial Reports          ,     551.385,   38.400002,B. Chiasmolithus oamaruensis
,,,,,,
149, 897,C,Initial Reports          ,     602.080,   44.400002,T. Blackites gladius
,,,,,,
149, 897,C,Initial Reports          ,     617.975,   48.099998,B. Nannotetrina alata
,,,,,,
