Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
182,1126,D,Shipboard                ,     286.100,   28.500000,C. cubensis
,,,,,,
182,1126,D,Shipboard                ,     334.400,   34.299999,G. index
,,,,,,
182,1126,D,Shipboard                ,     345.160,   36.000000,I. recurvus
,,,,,,
182,1126,D,Shipboard                ,     375.270,   37.700001,A. collactea
,,,,,,
182,1126,D,Shipboard                ,     385.390,   39.000000,A. primitiva
,,,,,,
182,1126,D,Shipboard                ,     385.400,   40.400002,C. solitus
,,,,,,
182,1126,D,Shipboard                ,     393.530,   40.500000,A. bullbrooki
,,,,,,
