Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triquetrorhabdulus rugosus,Sphenolithus abies/neoabies,Reticulofenestra spp. small,Reticulofenestra pseudoumbilica,Reticulofenestra gartneri,Helicosphaera kamptneri,Discoaster variabilis,Discoaster neohamatus,Discoaster loeblichii,Discoaster hamatus,Discoaster bellus,Coccolithus pelagicus,Catinaster coalitus,Catinaster calyculus,Calcidiscus macintyrei,Calcidiscus leptoporus,Reticulofenestra doronicoides,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Discoaster asymmetricus,Ceratolithus rugosus,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Helicosphaera sellii,Syracosphaera pulchra,Syracosphaera histrica,Rhabdosphaera stylifera,Pontosphaera japonica,Ceratolithus cristatus,Oolithotus antillarum,Gephyrocapsa caribbeanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,CN13b         ,108, 659,B,  4,H, 5,  70.00,     32.3000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,                           ,                           ,                               ,                         ,C                      ,                     ,                     ,                     ,                  ,                 ,F                    ,                   ,                    ,                      ,C                     ,F                            ,                  ,                   ,                        ,                   ,                       ,                    ,F                      ,C                       ,                    ,F                    ,F                     ,F                      ,F                    ,                      ,                     ,C                        ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,CN13b         ,108, 659,B,  4,H, 6,  70.00,     33.8000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,                           ,                           ,                               ,                         ,C                      ,                     ,                     ,                     ,                  ,                 ,F                    ,                   ,                    ,                      ,C                     ,C                            ,                  ,                   ,                        ,                   ,                       ,                    ,F                      ,C                       ,R                   ,R                    ,R                     ,F                      ,F                    ,                      ,                     ,F                        ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,CN13b         ,108, 659,B,  4,H,CC,   0.00,     35.0400,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,                           ,                           ,                               ,                         ,C                      ,                     ,                     ,                     ,                  ,                 ,F                    ,                   ,                    ,                      ,C                     ,C                            ,                  ,                   ,                        ,                   ,                       ,                    ,F                      ,C                       ,R                   ,F                    ,F                     ,F                      ,F                    ,R                     ,F                    ,                         ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12d             ,CN13a         ,108, 659,B,  5,H,CC,  14.00,     43.6600,Manivit  ,Nannofossils                                 ,A              ,M                 ,                          ,                           ,                           ,                               ,                         ,R                      ,                     ,                     ,                     ,                  ,                 ,R                    ,                   ,                    ,R                     ,C                     ,C                            ,                  ,                   ,                        ,                   ,                       ,                    ,F                      ,F                       ,F                   ,R                    ,R                     ,F                      ,R                    ,R                     ,                     ,                         ,from ODP Leg 108 SR Chapter 4 Table 5 p 44-47
