Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Globigerinoides ruber,Neogloboquadrina pachyderma,Neogloboquadrina incompta,Neogloboquadrina acostaensis,Globorotaloides hexagona,Globorotalia tosaensis,Globorotalia pumilio,Globorotalia bermudezi,Globigerinoides cyclostomus,Globigerinita glutinata,Globigerina quinqueloba,Globigerina falconensis,Globigerina calida,Globigerina bulloides,Globorotalia crassaformis crassaformis,Orbulina universa,Neogloboquadrina humerosa,Neogloboquadrina dutertrei,Neogloboquadrina blowi,Globorotalia scitula,Globorotalia obesa,Globorotalia inflata,Globorotalia hirsuta,Globigerinoides tenellus,Globigerinoides obliquus obliquus,Globigerinoides immaturus,Globigerinita uvula,Globigerinita iota,Globorotalia theyeri,Globorotalia ungulata,Globorotalia tumida,Globorotalia puncticulata,Globigerinoides sacculifer,Orbulina suturalis,Hastigerinopsis riedeli,Globigerina rubescens,Globigerinoides ruber alba,Globigerinoides quadrilobatus,Globoquadrina conglomerata,Globigerinella aequilateralis,Globigerina megastoma,Globorotalia neominutissima,Globorotalia minutissima,Beella praedigitata,Neogloboquadrina eggeri,Globorotalia ronda,Globigerinita minuta,Globigerina umbilicata,Sphaeroidinella dehiscens,Globorotalia cultrata menardii,Beella digitata,Globorotalia parkerae,Globorotalia anfracta,Globigerinoides elongatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  1,H, 1,  96.00,      0.9600,Glacon   ,Planktonic Foraminifers                      ,               ,                  ,                            ,                     ,                           ,                         ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,8                      ,                       ,                  ,3                    ,                                      ,                 ,                         ,                          ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 46 Table 1 p 675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  1,H, 3,  96.00,      3.9600,Glacon   ,Planktonic Foraminifers                      ,               ,                  ,                            ,                     ,                           ,                         ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,                       ,                       ,                  ,1                    ,                                      ,                 ,                         ,                          ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 46 Table 1 p 675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  1,H,CC,   0.00,      8.3000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,T                           ,                     ,                           ,                         ,                            ,                        ,                      ,T                   ,                      ,                           ,                       ,F                      ,C                      ,                  ,A                    ,                                      ,                 ,                         ,F                         ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  2,H, 1,  96.00,      9.2600,Glacon   ,Planktonic Foraminifers                      ,               ,                  ,                            ,                     ,                           ,                         ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,                       ,                       ,                  ,1                    ,                                      ,                 ,                         ,                          ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 46 Table 1 p 675
