Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Naviculopsis ponticula spinosa,Naviculopsis ponticula ponticula,Naviculopsis constricta,Naviculopsis biapiculata,Dictyocha spp.,Corbisema triacantha,Corbisema archangelskiana,Bachmannocena  diodon,Bachmannocena apiculata apiculata,Distephanus pseudofibula,Dictyocha pygmaea,Bachmannocena  borderlandensis,Bachmannocena dumitricae,Distephanus quinquangellus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  4,H, 1, 120.00,     26.9000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,                 ,-                             ,                        ,-                         ,from ODP Leg 114 SR Chapter 41 Table 3 p.760-763
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  4,H, 2, 120.00,     28.4000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,F             ,                    ,                         ,-                    ,                                 ,-                       ,                 ,-                             ,                        ,-                         ,from ODP Leg 114 SR Chapter 41 Table 3 p.760-763
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  4,H, 3, 120.00,     29.9000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,                 ,-                             ,                        ,-                         ,from ODP Leg 114 SR Chapter 41 Table 3 p.760-763
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  4,H, 4, 120.00,     31.4000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,                 ,-                             ,                        ,-                         ,from ODP Leg 114 SR Chapter 41 Table 3 p.760-763
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  4,H, 5, 120.00,     32.9000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,                 ,-                             ,                        ,-                         ,from ODP Leg 114 SR Chapter 41 Table 3 p.760-763
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 24,X, 1,  80.00,    214.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,S                    ,                                 ,-                       ,-                ,R                             ,rR                      ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
