Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia pseudoampliapertura/increbescens,Turborotalia pseudoampliapertura,Turborotalia increbescens,Tenuitella munda,Tenuitella gemma,Tenuitella clemenciae,Subbotina utilisindex,Subbotina praeturritilina,Subbotina gortanii,Subbotina angiporoides angiporoides,Subbotina angiporoides,Pseudohastigerina naguewichiensis,Pseudohastigerina micra,Pseudohastigerina barbadoensis,Paragloborotalia sp.,Paragloborotalia pseudocontinuosa,Paragloborotalia opima nana,Globorotaloides variabilis,Globorotaloides suteri,Globoquadrina tapuriensis,Globigerina venezuelana,Globigerina sp. aff. G. ampliapertura,Globigerina prasaepis,Globigerina praebulloides occlusa,Globigerina praebulloides,Globigerina ouachitaensis,Globigerina officinalis,Globigerina euapertura,Globigerina ampliapertura,Dentoglobigerina sp. aff. D. larmeui,Dentoglobigerina galavisi,Chiloguembelinid (unspecified taxon or taxa),Catapsydrax sp.,Catapsydrax martini,Catapsydrax dissimilis dissimilis,Cassigerinella chipolensis,Tenuitella angustiumbilicata,Globoquadrina tripartita,Globoquadrina sellii,Catapsydrax unicavus,Tenuitella clemenciae/munda,Paragloborotalia siakensis,Dentoglobigerina globularis,Globorotaloides sp. 1,Globigerina ciperoensis,Cassigerinella globulosa,Tenuitella munda/juvenilis,Dentoglobigerina larmeui,Globoquadrina rohri,Dentoglobigerina galavisi/baroemoenensis,Dentoglobigerina baroemoenensis,Cassigerinella martinezpicoi,Globorotaloides permicus,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina dutertrei,Globorotalia truncatulinoides,Globorotalia theyeri,Globorotalia scitula,Globorotalia menardii s.l.,Globorotalia crassaformis,Globoquadrina conglomerata,Globigerinoides ruber s.l.,Globigerinoides quadrilobatus s.l.,Globigerinoides elongatus,Globigerinoides conglobatus,Globigerinella siphonifera,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Neogloboquadrina humerosa,Globorotalia tumida tumida,Dentoglobigerina altispira altispira,Globorotalia ungulata,Globigerinella calida,Candeina nitida,Globigerinella adamsi    ,Beella digitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,115, 706,A,  1,H, 1,  80.00,      0.8000,Vincent  ,Planktonic Foraminifers                      ,               ,G                 ,                                             ,                                ,                         ,                ,                ,                     ,                     ,                         ,                  ,                                   ,                      ,                                 ,                       ,                              ,                    ,                                 ,                           ,                          ,                      ,                         ,                       ,                                     ,                     ,                                 ,                         ,                         ,                       ,                      ,                         ,                                    ,                         ,                                            ,               ,                   ,                                 ,                          ,                            ,                        ,                    ,                    ,                           ,                          ,                           ,                     ,                       ,                        ,                          ,                        ,                   ,                                        ,                               ,                            ,                        ,+                        ,+                           ,+                ,+                         ,+                            ,+                   ,+                   ,+                         ,+                        ,+                         ,+                         ,+                                 ,+                        ,+                          ,+                         ,                              ,                         ,                         ,+                         ,                                    ,+?                   ,+                    ,+              ,+                        ,+              ,benthic foraminifers few. mollusc fragments common. planktonic foraminifer fragments very rare. from 115 SR. Chapter 45. Table 4. page 802.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,115, 706,A,  1,H, 2,  73.00,      2.2300,Vincent  ,Planktonic Foraminifers                      ,               ,G                 ,                                             ,                                ,                         ,                ,                ,                     ,                     ,                         ,                  ,                                   ,                      ,                                 ,                       ,                              ,                    ,                                 ,                           ,                          ,                      ,                         ,                       ,                                     ,                     ,                                 ,                         ,                         ,                       ,                      ,                         ,                                    ,                         ,                                            ,               ,                   ,                                 ,                          ,                            ,                        ,                    ,                    ,                           ,                          ,                           ,                     ,                       ,                        ,                          ,                        ,                   ,                                        ,                               ,                            ,                        ,+                        ,+                           ,+                ,+                         ,+                            ,                    ,+                   ,+                         ,+                        ,+                         ,+                         ,+                                 ,+                        ,+                          ,+                         ,                              ,+?                       ,                         ,+                         ,                                    ,+?                   ,+                    ,+              ,                         ,               ,benthic foraminifers few. mollusc fragments common. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 4. page 802.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,115, 706,A,  1,H,CC,  14.00,      2.5400,Vincent  ,Planktonic Foraminifers                      ,               ,G                 ,                                             ,                                ,                         ,                ,                ,                     ,                     ,                         ,                  ,                                   ,                      ,                                 ,                       ,                              ,                    ,                                 ,                           ,                          ,                      ,                         ,                       ,                                     ,                     ,                                 ,                         ,                         ,                       ,                      ,                         ,                                    ,                         ,                                            ,               ,                   ,                                 ,                          ,                            ,                        ,                    ,                    ,                           ,                          ,                           ,                     ,                       ,                        ,                          ,                        ,                   ,                                        ,                               ,                            ,                        ,+                        ,+                           ,+                ,+                         ,+                            ,                    ,                    ,+                         ,+                        ,+                         ,+                         ,+                                 ,+                        ,+                          ,+                         ,+                             ,+?                       ,+?                       ,+                         ,+?                                  ,                     ,                     ,               ,                         ,               ,planktonic foraminifer fragments very rare. from 115 SR. Chapter 45. Table 4. page 802.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,115, 706,A,  2,H, 1,  80.00,      3.3000,Vincent  ,Planktonic Foraminifers                      ,               ,G                 ,                                             ,                                ,                         ,                ,                ,                     ,                     ,                         ,                  ,                                   ,                      ,                                 ,                       ,                              ,                    ,                                 ,                           ,                          ,                      ,                         ,                       ,                                     ,                     ,                                 ,                         ,                         ,                       ,                      ,                         ,                                    ,                         ,                                            ,               ,                   ,                                 ,                          ,                            ,                        ,                    ,                    ,                           ,                          ,                           ,                     ,                       ,                        ,                          ,                        ,                   ,                                        ,                               ,                            ,                        ,+                        ,+                           ,+                ,+                         ,+                            ,+                   ,+                   ,+                         ,+                        ,+                         ,+                         ,+                                 ,+                        ,+                          ,+                         ,                              ,                         ,                         ,                          ,                                    ,                     ,                     ,               ,                         ,               ,planktonic foraminifer fragments very rare. from 115 SR. Chapter 45. Table 4. page 802.
