Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerinelloides multispinus,Heterohelix globulosa,Hedbergella aff. monmouthensis,Hedbergella sp.,Heterohelix planata,Subbotina varianta,Subbotina sp.,Chiloguembelina sp.,Acarinina mckannai,Subbotina triloculinoides,Igorina pusilla,Acarinina esnaensis,Acarinina sp.,Globanomalina pseudomenardii,Globanomalina chapmani,Subbotina velascoensis,Subbotina triangularis,Subbotina quadrata,Morozovella tadjikistanensis,Igorina convexa,Igorina albeari,Acarinina acarinata,Acarinina soldadoensis,Planorotalites australiformis,Chiloguembelina wilcoxensis,Acarinina primitiva,Subbotina patagonica,Morozovella subbotinae,Morozovella gracilis,Acarinina wilcoxensis,Acarinina pseudotopilensis,Subbotina inaequispira,Pseudohastigerina wilcoxensis,Morozovella lensiformis,Igorina broedermanni,Acarinina pentacamerata,Acarinina angulosa,Morozovella aragonensis,Acarinina bullbrooki,Subbotina frontosa,Pseudohastigerina micra,Globigerinatheka senni,Subbotina linaperta,Subbotina angiporoides,Morozovella spinulosa,Globorotaloides turgida,Globigerinatheka index,Chiloguembelina cubensis,Acarinina spinuloinflata,Acarinina collactea,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,AP10              ,              ,120, 748,C,  1,R, 2, 142.00,    175.9200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                              ,                     ,                              ,               ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,F                  ,F                   ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,C                   ,                  ,R                      ,                      ,F                  ,R                     ,F                    ,C                      ,C                     ,F                       ,R                       ,R                  ,from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,AP9               ,              ,120, 748,C,  6,R,CC,  15.00,    220.6500,Berggren ,Planktonic Foraminifers                      ,C              ,M                 ,                              ,                     ,                              ,               ,                   ,                  ,             ,+                  ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,+                  ,                    ,                      ,                    ,                     ,                          ,                      ,+                            ,                       ,                    ,                       ,                  ,                       ,                    ,+                 ,+                      ,+                     ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,AP8               ,              ,120, 748,C, 10,R, 1,  14.00,    258.6400,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                              ,                     ,                              ,               ,                   ,                  ,             ,F                  ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,R                            ,                           ,C                  ,C                   ,                      ,                    ,                     ,F                         ,                      ,F                            ,                       ,                    ,                       ,F                 ,                       ,F                   ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,AP8               ,              ,120, 748,C, 10,R, 2,  97.00,    260.9700,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                              ,                     ,                              ,               ,                   ,                  ,             ,F                  ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,F              ,               ,                   ,                      ,R                            ,                           ,C                  ,C                   ,                      ,                    ,F                    ,F                         ,R                     ,F                            ,                       ,R                   ,F                      ,F                 ,R                      ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Chapter 31 Table Appendix D back pocket microfiche
