Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tanyosphaeridium sp. A,Tanyosphaeridium boletus,Systematophora palmula,Systematophora areolata,Spiniferites spp.,Sentusidinium spp.,Senoniasphaera sp. cf. S. ptomatis,Scriniodinium (?) campanula,Scriniodinium attadalense,Rigaudella aemula,Prolixosphaeridium parvispinum,Pareodinia spp.,Oligosphaeridium cf. O. asterigerum,Meiourogonyaulax sp. B,Meiourogonyaulax maculata,Leptodinium spp.,Kleithriasphaeridium fasciatum,Kallosphaeridium norvickii,Hystrichosphaeridium pachydermum,Gonyaulacysta jurassica,Eyrea nebulosa,Egmontodinium torynum,Dissiliodinium spp.,Dinocyst sp. nov. A,Cometodinium whitei,Cleistosphaeridium spp.,Circulodinium colliveri,Chytroeisphaeridia chytroeides,Batiacasphaera subtilis,Batiacasphaera spp.,Avellodinium spp. ,Apteodinium granulatum,Aldorfia (?)  sp. A,Aldorfia deflandrei,Achomosphaera (?) neptuni,Yalkalpodinium scutum,Tubotuberella vlamingii,Prolixosphaeridium inequiornatum,Oligosphaeridium sp. cf. O. poculum,Occisucysta tenuiceras,Micrhystridium spp.,Meiourogonyaulax stoveri,Leptodinium (?) sp. B,Leptodinium pinnosum,Leptodinium eumorphum,Hystrichosphaeridium petilum,Hystrichodinium spp.,Gonyaulacysta helicoidea,Gardodinium sp. cf. G. attenuatum,Exochosphaeridium robustum,Druggidium spp.,Dollidinium sinuosum,Dissimulidinium lobispinosum,Dinocyst sp. C,Dinocyst sp. B,Dingodinium jurassicum,Dapsilidinium warrenii,Circulodinium deflandrei,Chlamydophorella nyei,Cassiculosphaeridia magna,Canninginopsis tabulata,Canningia reticulata,Broomea simplex,Belodinium dysculum,Batioladinium reticulatum,Batioladinium micropodum,Batiacasphaera sp. A,Aprobolocysta (?) galeata,Kaiwaradinium scrutillinum,Sirmiodinium grossii,Phoberocysta neocomica,Muderongia tetracantha,Muderongia australis,Epitricysta sp. A,Cribroperidinium aparsium,Batiacasphaera imperfecta,Pterospermella australiensis,Impagidinium phlyctaena,Exochosphaeridium phragmites,Exochosphaeridium arnace,Epitricysta vinckensis,Epelidosphaeridia colligata,Cribroperidinium muderongense,Cribroperidinium leedervillense,Apteodinium maculatum,Meiourogonyaulax (?) sp. A,Leptodinium simplex,Herendeenia postprojecta,Dingodinium cerviculum,Carpodinium granulatum,Leptodinium asymmetricum,Kiokansium polypes,Cymatiosphaera spp.,Cribroperidinium sp. cf. C. asarotum,Cribroperidinium sp. A,Rhombodella paucispina,Pyxidiella tumida,Coronifera oceanica,Cleistosphaeridium ancoriferum,Fibradinium variculum,Exiguisphaera phragma,Odontochitina operculata,Kleithriasphaeridium simplicispinum,Exochosphaeridium sp. A,Cassiculosphaeridia reticulata,Wallodinium luna,Veryhachium spp.,Pterospermella aureolata,Platycystidia eisenackii,Nummus spp.,Muderongia macwhaei,Fromea monilifera,Fromea amphora,Circulodinium hirtellum,Cernicysta helbyi,Batioladinium jaegeri,Oligosphaeridium anthophorum,Escharisphaeridia sp. A,Cassiculosphaeridia sp. A,Oligosphaeridium pulcherrimum,Oligosphaeridium complex,Lanterna (?) sp. A,Kallosphaeridium sp. A,Cribroperidinium sp. B,Leptodinium tunellum,Batioladinium longicornutum,Pyxidinopsis challengerensis,Batiacasphaera scrobiculata,Angustidinium acribes,Leptodinium (?) sp. A,Florentinia mantellii,Elytrocysta circulata,Dinocyst sp. A,Diconodinium davidii,Ascodinium sp. A,Prolixosphaeridium spp.,Trichodinium castanea,Pseudoceratium turneri,Palaeoperidinium cretaceum,Hystrichosphaeropsis sp. A,Hapsocysta peridictya,Cribroperidinium edwardsii,Codoniella campanulata,Chichaouadinium boydii,Canninginopsis intermedia,Callaoisphaeridium asymmetricum,Ascodinium (?) sp. A,Adnatosphaeridium tutulosum,Wallodinium krutzschii,Schizocystia laevigata,Protoellipsodinium densispinum,Heslertonia striata,Diconodinium pusillum,Systematophora placacantha,Polysphaeridium zoharyi,Impagidinium aculeatum,Batiacasphaera micropapillata,Operculodinium janduchenei,Impagidinium patulum,Impagidinium paradoxum,Spiniferites ramosus,Spiniferites hyperacanthus,Spiniferites bulloideus,Pyxidinopsis sp.,Operculodinium israelianum,Operculodinium centrocarpum,Impagidinium strialatum,Tectatodinium sp.,Nematosphaeropsis lemniscata,Spiniferites mirabilis,Impletosphaeridium spp.,Achomosphaera sp.,Spiniferites rubinus,Operculodinium echigoense,Hystrichokolpoma rigaudiae,Dapsilidinium pastielsii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,123, 765,C,  2,R, 3,  69.00,    363.2900,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                        ,                      ,                       ,                 ,                  ,                                  ,                           ,                         ,                 ,                              ,               ,                                   ,                      ,                         ,                ,                              ,                          ,                                ,                       ,              ,                     ,                   ,                   ,                   ,                       ,                       ,                              ,                       ,                   ,                  ,                      ,                   ,                   ,                         ,                     ,                       ,                                ,                                   ,                      ,                   ,                        ,                     ,                    ,                     ,                            ,                    ,                        ,                                 ,                          ,               ,                    ,                            ,              ,              ,                      ,                      ,                        ,                     ,                         ,                       ,                    ,               ,                   ,                         ,                        ,                    ,                         ,                          ,                    ,                      ,                      ,                    ,                 ,                         ,                         ,                            ,                       ,                            ,                        ,                      ,                           ,                             ,                               ,                     ,                          ,                   ,                        ,                      ,                      ,                        ,                  ,                   ,                                    ,                      ,                      ,                 ,                   ,                              ,                     ,                     ,                        ,                                   ,                       ,                              ,                ,                ,                        ,                        ,           ,                   ,                 ,              ,                       ,                 ,                     ,                            ,                       ,                         ,                             ,                        ,                  ,                      ,                      ,                    ,                           ,                            ,                           ,                     ,                     ,                     ,                     ,              ,                    ,                ,                       ,                     ,                      ,                          ,                          ,                     ,                          ,                      ,                      ,                         ,                               ,                    ,                           ,                      ,                      ,                              ,                   ,                     ,                          ,14.4%                  ,.2%                   ,                             ,.2%                       ,1.1%                ,.5%                   ,4.8%                ,.7%                       ,59.5%                  ,.5%             ,6.9%                      ,1.4%                       ,                       ,                 ,.2%                         ,4.8%                  ,                       ,.2%              ,1.1%                ,2.5%                     ,.7%                       ,.2%                     ,total count = 436; from ODP Leg 123 SR Chapter 20 Table 2 p 424-426
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,123, 765,C,  3,R, 3,  41.00,    372.7100,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                        ,                      ,                       ,                 ,                  ,                                  ,                           ,                         ,                 ,                              ,               ,                                   ,                      ,                         ,                ,                              ,                          ,                                ,                       ,              ,                     ,                   ,                   ,                   ,                       ,                       ,                              ,                       ,                   ,                  ,                      ,                   ,                   ,                         ,                     ,                       ,                                ,                                   ,                      ,                   ,                        ,                     ,                    ,                     ,                            ,                    ,                        ,                                 ,                          ,               ,                    ,                            ,              ,              ,                      ,                      ,                        ,                     ,                         ,                       ,                    ,               ,                   ,                         ,                        ,                    ,                         ,                          ,                    ,                      ,                      ,                    ,                 ,                         ,                         ,                            ,                       ,                            ,                        ,                      ,                           ,                             ,                               ,                     ,                          ,                   ,                        ,                      ,                      ,                        ,                  ,                   ,                                    ,                      ,                      ,                 ,                   ,                              ,                     ,                     ,                        ,                                   ,                       ,                              ,                ,                ,                        ,                        ,           ,                   ,                 ,              ,                       ,                 ,                     ,                            ,                       ,                         ,                             ,                        ,                  ,                      ,                      ,                    ,                           ,                            ,                           ,                     ,                     ,                     ,                     ,              ,                    ,                ,                       ,                     ,                      ,                          ,                          ,                     ,                          ,                      ,                      ,                         ,                               ,                    ,                           ,                      ,                      ,                              ,                   ,                     ,                          ,19.6%                  ,                      ,                             ,                          ,6.5%                ,                      ,8.7%                ,                          ,26.1%                  ,                ,26.1%                     ,4.3%                       ,                       ,                 ,2.2%                        ,2.2%                  ,2.2%                   ,2.2%             ,                    ,                         ,                          ,                        ,total count = 47; from ODP Leg 123 SR Chapter 20 Table 2 p 424-426
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,123, 765,C,  5,R, 2,  41.00,    390.5100,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                        ,                      ,                       ,                 ,                  ,                                  ,                           ,                         ,                 ,                              ,               ,                                   ,                      ,                         ,                ,                              ,                          ,                                ,                       ,              ,                     ,                   ,                   ,                   ,                       ,                       ,                              ,                       ,                   ,                  ,                      ,                   ,                   ,                         ,                     ,                       ,                                ,                                   ,                      ,                   ,                        ,                     ,                    ,                     ,                            ,                    ,                        ,                                 ,                          ,               ,                    ,                            ,              ,              ,                      ,                      ,                        ,                     ,                         ,                       ,                    ,               ,                   ,                         ,                        ,                    ,                         ,                          ,                    ,                      ,                      ,                    ,                 ,                         ,                         ,                            ,                       ,                            ,                        ,                      ,                           ,                             ,                               ,                     ,                          ,                   ,                        ,                      ,                      ,                        ,                  ,                   ,                                    ,                      ,                      ,                 ,                   ,                              ,                     ,                     ,                        ,                                   ,                       ,                              ,                ,                ,                        ,                        ,           ,                   ,                 ,              ,                       ,                 ,                     ,                            ,                       ,                         ,                             ,                        ,                  ,                      ,                      ,                    ,                           ,                            ,                           ,                     ,                     ,                     ,                     ,              ,                    ,                ,                       ,                     ,                      ,                          ,                          ,                     ,                          ,                      ,                      ,                         ,                               ,                    ,                           ,                      ,                      ,                              ,                   ,                     ,                          ,25.0%                  ,25.0%                 ,25.0%                        ,25.0%                     ,                    ,                      ,                    ,                          ,                       ,                ,                          ,                           ,                       ,                 ,                            ,                      ,                       ,                 ,                    ,                         ,                          ,                        ,total count = 3; from ODP Leg 123 SR Chapter 20 Table 2 p 424-426
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,123, 765,C,  7,R, 3,  62.00,    411.6200,McMinn   ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                      ,                        ,                      ,                       ,                 ,                  ,                                  ,                           ,                         ,                 ,                              ,               ,                                   ,                      ,                         ,                ,                              ,                          ,                                ,                       ,              ,                     ,                   ,                   ,                   ,                       ,                       ,                              ,                       ,                   ,                  ,                      ,                   ,                   ,                         ,                     ,                       ,                                ,                                   ,                      ,                   ,                        ,                     ,                    ,                     ,                            ,                    ,                        ,                                 ,                          ,               ,                    ,                            ,              ,              ,                      ,                      ,                        ,                     ,                         ,                       ,                    ,               ,                   ,                         ,                        ,                    ,                         ,                          ,                    ,                      ,                      ,                    ,                 ,                         ,                         ,                            ,                       ,                            ,                        ,                      ,                           ,                             ,                               ,                     ,                          ,                   ,                        ,                      ,                      ,                        ,                  ,                   ,                                    ,                      ,                      ,                 ,                   ,                              ,                     ,                     ,                        ,                                   ,                       ,                              ,                ,                ,                        ,                        ,           ,                   ,                 ,              ,                       ,                 ,                     ,                            ,                       ,                         ,                             ,                        ,                  ,                      ,                      ,                    ,                           ,                            ,                           ,                     ,                     ,                     ,                     ,              ,                    ,                ,                       ,                     ,                      ,                          ,                          ,                     ,                          ,                      ,                      ,                         ,                               ,                    ,                           ,                      ,                      ,                              ,                   ,                     ,                          ,42.9%                  ,                      ,                             ,                          ,4.8%                ,9.5%                  ,                    ,                          ,28.6%                  ,                ,9.5%                      ,                           ,                       ,T                ,4.8%                        ,                      ,                       ,                 ,                    ,                         ,                          ,                        ,total count = 23; from ODP Leg 123 SR Chapter 20 Table 2 p 424-426
