Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudobolivina munda,Praecystammina globigeriniformis,Paratrochamminoides spp.,Hormosina ovulum ovulum,Hormosina ovuloides,Haplophragmoides multicamerus,Haplophragmoides fraudulentus,Haplophragmoides ex gr. perexplicatus-constictus,Glomospira irregularis,Ammodiscus cretaceus,Trochamminoides cf. proteus,Subreophax scalaris,Rhizammina/Dendrophrya excelsa group,Plectorecurvoides/Recurvoides (fragments),Plectorecurvoides parvus/rotundus,Paratrochamminoides semipellucidus,Paratrochamminoides dubius,Paratrochamminoides corpulentus,Paratrochamminoides (indeterminant fragments),Karrerulina cf. conversa,Hormosina/Hyperammina spp. (fragments),Hormosina crassa,Haplophragmoides spp. (fragments),Haplophragmoides biumbilicalis,Glomospira charoides,Buzasina pacifica,Bolivinopsis parvissimus,Haplophragmoides sp.,Glomospira serpens,Haplophragmoides decussatus,Aschemocella (?) (fragments),Hormosina ovulum gigantea,Paratrochamminoides intricatus,Glomospira gordialis,Kalamopsis grzybowskii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 800,A,  4,R, 1,  20.00,     20.4000,Wightman ,Benthic Foraminifers                         ,               ,                  ,                    ,                                ,                        ,                       ,                   ,                             ,                             ,                                                ,                      ,1                   ,                           ,                   ,2                                   ,                                         ,                                 ,                                  ,                          ,                               ,                                             ,                        ,3                                     ,                ,                                 ,                              ,                    ,                 ,                        ,                    ,                  ,                           ,                            ,                         ,                              ,                    ,                      ,Count of A. cretaceus includes fragment; Indeterminant agglutinated fragments = 8; Total agglutinated forams = 13; from ODP Leg 129 SR Chapter 13 Table 3 p 252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 800,A,  4,R, 1, 102.00,     21.2200,Wightman ,Benthic Foraminifers                         ,               ,                  ,                    ,                                ,                        ,                       ,                   ,                             ,                             ,                                                ,                      ,                    ,                           ,                   ,3                                   ,                                         ,                                 ,                                  ,                          ,                               ,                                             ,                        ,3                                     ,                ,                                 ,                              ,                    ,                 ,                        ,                    ,                  ,                           ,                            ,                         ,                              ,                    ,                      ,Indeterminant agglutinated fragments = 8; Total agglutinated forams = 11; from ODP Leg 129 SR Chapter 13 Table 3 p 252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 800,A,  4,R, 2,  30.00,     22.0000,Wightman ,Benthic Foraminifers                         ,               ,                  ,                    ,                                ,                        ,                       ,                   ,                             ,                             ,4                                               ,                      ,                    ,                           ,                   ,19                                  ,                                         ,                                 ,                                  ,                          ,                               ,2                                            ,                        ,7                                     ,1               ,                                 ,                              ,                    ,                 ,2                       ,                    ,                  ,                           ,                            ,                         ,                              ,1                   ,                      ,Indeterminant agglutinated fragments = 27; Total agglutinated forams = 63; from ODP Leg 129 SR Chapter 13 Table 3 p 252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 800,A,  4,R, 2, 100.00,     22.7000,Wightman ,Benthic Foraminifers                         ,               ,                  ,1                   ,                                ,1                       ,                       ,                   ,                             ,                             ,                                                ,                      ,                    ,                           ,                   ,1                                   ,                                         ,                                 ,                                  ,                          ,                               ,                                             ,                        ,9                                     ,                ,                                 ,                              ,                    ,                 ,                        ,1                   ,                  ,                           ,                            ,                         ,                              ,                    ,1                     ,Indeterminant agglutinated fragments = 2; Total agglutinated forams = 16; from ODP Leg 129 SR Chapter 13 Table 3 p 252
