Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys wolffii,Lithopera thornburgi,Lithopera renzae,Diartus petterssoni,Cyrtocapsella japonica,Cyrtocapsella cornuta,Carpocanopsis cristata,Botryostrobus miralestensis,Stichocorys delmontensis,Siphostichartus corona,Phormostichoartus doliolum,Diartus hughesi,Calocycletta caepa,Stichocorys johnsoni,Solenosphaera omnitubus omnitubus,Didymocyrtis penultima,Stichocorys peregrina,Lychnodictyum audax,Theocorythium vetulum,Stylatractus universus,Spongaster tetras,Pterocanium prismatium,Phormostichoartus fistula,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Anthocyrtidium pliocenica,Anthocyrtidium jenghisi,Amphirhopalum ypsilon,Theocalyptra davisiana,Anthocyrtidium angulare,Pterocorys minythorax,Lamprocyrtis nigriniae,Theocorythium trachelium trachelium,Collosphaera tuberosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 846,B,  1,H, 3, 110.00,      4.1000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,                     ,-                     ,R                ,                      ,                         ,                           ,                        ,                         ,                       ,R                    ,R                     ,                       ,F                    ,R                     ,R                                  ,R                    ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 846,B,  1,H, 5,  50.00,      6.5000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,                     ,-                     ,R                ,                      ,                         ,                           ,                        ,                         ,                       ,R                    ,R                     ,                       ,F                    ,R                     ,-                                  ,-                    ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 846,B,  1,H,CC,  14.00,      7.0200,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,                     ,-                     ,R                ,                      ,                         ,                           ,                        ,                         ,                       ,R                    ,R                     ,                       ,F                    ,R                     ,-                                  ,-                    ,Reworked older fauna = Trace; from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN16              ,              ,138, 846,B,  2,H, 3, 110.00,     11.1000,Moore    ,Radiolarians                                 ,A              ,M                 ,                   ,                    ,                ,                   ,                      ,                     ,                      ,                           ,                        ,                      ,                          ,               ,                  ,                    ,                                 ,                      ,                     ,                   ,                     ,-                     ,R                ,                      ,                         ,                           ,                        ,                         ,                       ,R                    ,R                     ,                       ,F                    ,R                     ,-                                  ,R                    ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
