Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra spp. (small),Gephyrocapsa spp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Dictyococcites spp. (small),Coccolithus pelagicus,Calcidiscus leptoporus,Pseudoemiliania lacunosa,Gephyrocapsa parallela,Helicosphaera carteri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  1,H, 1,  95.00,      0.9500,Sato     ,Nannofossils                                 ,               ,                  ,                             ,+                        ,                     ,                         ,                           ,                     ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  1,H, 2,  46.00,      1.9600,Sato     ,Nannofossils                                 ,               ,                  ,                             ,+                        ,                     ,+                        ,                           ,+                    ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  1,H, 2,  95.00,      2.4500,Sato     ,Nannofossils                                 ,               ,                  ,                             ,+                        ,                     ,+                        ,                           ,+                    ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  1,H, 2, 144.00,      2.9400,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                        ,                     ,+                        ,                           ,                     ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  1,H, 3,  46.00,      3.4600,Sato     ,Nannofossils                                 ,               ,                  ,                             ,+                        ,                     ,+                        ,                           ,                     ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  1,H, 3,  95.00,      3.9500,Sato     ,Nannofossils                                 ,               ,                  ,                             ,+                        ,                     ,+                        ,                           ,                     ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  1,H,CC,  19.00,      5.4500,Sato     ,Nannofossils                                 ,               ,                  ,                             ,+                        ,                     ,+                        ,                           ,+                    ,                      ,                        ,                      ,                     ,from Leg 151SR; Ch 3; Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,                  ,              ,151, 910,A,  2,H, 1,  45.00,      5.9500,Sato     ,Nannofossils                                 ,               ,                  ,+                            ,+                        ,+                    ,+                        ,                           ,+                    ,                      ,                        ,                      ,+                    ,from Leg 151SR; Ch 3; Table 2
