Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster variabilis,Discoaster bollii,Discoaster braarudii,Discoaster bellus,Sphenolithus neoabies,Reticulofenestra pseudoumbilica,Calcidiscus leptoporus,Umbilicosphaera sibogae,Triquetrorhabdulus rugosus,Thoracosphaera albatrosiana,Sphenolithus moriformis,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster challengeri,Discoaster brouweri,Discoaster berggrenii,Coccolithus pelagicus,Discoaster neohamatus,Calcidiscus macintyrei,Minylitha convallis,Umbilicosphaera maceria,Umbilicosphaera angustiforamen,Syracosphaera pulchra,Pseudoemiliania lacunosa,Helicosphaera sellii,Helicosphaera colombiana,Helicosphaera carteri,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Discoaster spp.,Ceratolithus cristatus,Rhabdosphaera clavigera,Helicosphaera kamptneri,Scapholithus fossilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,P. lacunosa       ,              ,156, 948,C,  1,H, 1,  20.00,      0.2000,Xu       ,Nannofossils                                 ,R              ,P                 ,                     ,                 ,                    ,                 ,                     ,                               ,                      ,                       ,                          ,                           ,                       ,                       ,                        ,                      ,                   ,                     ,                     ,                     ,                      ,                   ,rR                     ,                              ,                     ,+                       ,                    ,                        ,R                    ,R                    ,                         ,               ,                      ,                       ,                       ,                     ,From Leg 156SR Ch 3 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,P. lacunosa       ,              ,156, 948,C,  1,H, 2, 130.00,      2.8000,Xu       ,Nannofossils                                 ,A              ,M                 ,                     ,                 ,                    ,                 ,                     ,                               ,C                     ,C                      ,                          ,F                          ,                       ,                       ,                        ,                      ,                   ,                     ,R                    ,                     ,                      ,                   ,R                      ,F                             ,R                    ,F                       ,rR                  ,                        ,F                    ,A                    ,F                        ,               ,F                     ,R                      ,                       ,R                    ,From Leg 156SR Ch 3 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,P. lacunosa       ,              ,156, 948,C,  1,H, 3, 110.00,      4.1000,Xu       ,Nannofossils                                 ,A              ,P                 ,                     ,                 ,                    ,                 ,                     ,                               ,+                     ,                       ,                          ,                           ,                       ,                       ,                        ,                      ,                   ,                     ,                     ,                     ,                      ,                   ,                       ,                              ,                     ,                        ,                    ,                        ,R                    ,F                    ,                         ,               ,                      ,                       ,                       ,                     ,From Leg 156SR Ch 3 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pleistocene,                 ,P. lacunosa       ,              ,156, 948,C,  1,H, 4, 135.00,      5.8500,Xu       ,Nannofossils                                 ,T              ,M                 ,                     ,                 ,                    ,                 ,                     ,                               ,R                     ,R                      ,                          ,                           ,                       ,                       ,                        ,                      ,                   ,                     ,                     ,                     ,                      ,                   ,R                      ,+                             ,                     ,+                       ,                    ,                        ,                     ,A                    ,+                        ,+              ,R                     ,                       ,                       ,                     ,From Leg 156SR Ch 3 Table 1
