Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Gephyrocapsa (small),Calcidiscus leptoporus,Coccolithus pelagicus,Gephyrocapsa oceanica s.l.,Braarudosphaera spp.,Helicosphaera carteri,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1019,D,  1,H,CC,  25.00,      3.5600,Fornaciari,Nannofossils                                 ,C              ,G                 ,                        ,C                   ,R/F                   ,                     ,C                         ,                    ,R                    ,                 ,from IR. Ch 13. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1019,D,  2,H,CC,  25.00,     13.6400,Fornaciari,Nannofossils                                 ,C              ,M                 ,                        ,C                   ,                      ,C                    ,R                         ,R                   ,                     ,+                ,from IR. Ch 13. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1019,D,  4,H,CC,  33.00,     32.8100,Fornaciari,Nannofossils                                 ,A              ,G                 ,                        ,A                   ,R                     ,F                    ,                          ,R                   ,R                    ,                 ,from IR. Ch 13. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1019,D,  5,H,CC,   9.00,     41.3100,Fornaciari,Nannofossils                                 ,R              ,P                 ,                        ,+                   ,                      ,                     ,+                         ,                    ,                     ,                 ,from IR. Ch 13. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1019,D,  7,H,CC,  28.00,     61.0700,Fornaciari,Nannofossils                                 ,C              ,G                 ,RR                      ,A                   ,                      ,                     ,F/C                       ,                    ,                     ,                 ,from IR. Ch 13. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1019,D,  8,X,CC,  25.00,     67.4000,Fornaciari,Nannofossils                                 ,C/A            ,M/G               ,                        ,A                   ,                      ,F/C                  ,C                         ,RR                  ,R                    ,                 ,from IR. Ch 13. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1019,D,  9,X,CC,  32.00,     78.3200,Fornaciari,Nannofossils                                 ,A              ,G                 ,                        ,C/A                 ,                      ,F                    ,C                         ,RR                  ,                     ,                 ,from IR. Ch 13. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a             ,              ,167,1019,D, 10,X,CC,  16.00,     82.7600,Fornaciari,Nannofossils                                 ,A              ,G                 ,C                       ,A                   ,F                     ,                     ,R/F                       ,                    ,                     ,                 ,from IR. Ch 13. Table 5.
,,,,,,,,,,,,,,,,,,,,,,,,,
