Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylacontarium bispiculum,Cyrtocapsella tetrapera,Cyrtocapsella japonica,Carpocanistrum sp.,Axoprunum sp.,Cycladophora sp.,Theocorys spongoconus,Theocorys redondoensis,Stylosphaera timmsi,Stylodictya sp.,Stichocorys sp.,Stichocorys delmontensis,Spongodiscus sp.,Prunopyle antarctica,Peripyramis sp.,Nassellaria Form D,Lychnocanoma elongata,Lithopera neotera,Larcopyle sp.,Lamprocyclas maritalis maritalis,Eucyrtidium punctatum,Druppatractus sp.,Druppatractus irregularis,Didymocyrtis sp.,Cyrtocapsella cornuta,Carpocanopsis cingulata,Botryostrobus miralestensis,Phormostichoartus corbula,Collosphaera sp.,Sphaeropyle robusta,Lychnocanoma sp.,Lychnocanoma nipponica nipponica,Lithopera renzae,Hexacontium sp.,Eucyrtidium yatsuoense,Eucyrtidium cienkowskii,Euchitonia sp.,Cornutella profunda,Stylatractus neptunus,Botryostrobus sp.,Axoprunum angelinum,Thecosphaera sp.,Periphaena decora,Lophoconus biaurita (Form C),Didymocyrtis laticonus,Ceratocyrtis sp.,Actinomma sp.,Thecosphaera miocenica,Stichocorys peregrina,Stichocorys johnsoni,Lamprocyclas hannai,Eucyrtidium teuscheri teuscheri,Eucyrtidium calvertense,Dictyophimus hirundo,Spongodiscus osculosus,Lithelius sp.,Buryella tetradica,Stylatractus sp.,Dictyoprora mongolfieri,Tetrapyle octacantha,Theocorythium vetulum,Spongoplegma churchii,Heliodiscus asteriscus,Didymocyrtis sp. D,Didymocyrtis antepenultima,Diartus hughesi,Botryostrobus auritus/australis,Anthocyrtidium ehrenbergi,Larcospira sp.,Anthocyrtidium angulare,Spongaster tetras tetras,Dictyophimus sp.,Lychnocanoma sp. A,Lychnocanoma nipponica sakaii,Periphaena sp.,Didymocyrtis penultima,Pterocanium sp.,Lychnodictyum audax,Lychnocanoma parallelipes,Cycladophora bicornis bicornis,Prunopyle hayesi,Saturnalis circularis,Dictyophimus splendens,Pterocanium trilobum,Theocorys sp. A,Phormocyrtis striata striata,Gondwanaria dogieli,Eucyrtidium acuminatum,Cycladophora pliocenica,Carpocanopsis cristata,Amphymenium amphistylium,Lophophaena sp.,Lithopera bacca,Dictyomitra multicostata,Stylacontarium acquilonium,Spongotrochus glacialis,Didymocyrtis tetrathalamus tetrathalamus,Buryella foremanae,Sphaeropyle langii,Lamprocyrtis heteroporos,Botryostrobus aquilonaris,Amphipyndax stocki,Pterocanium praetextum praetextum,Phorticium clevei,Amphirhopalum ypsilon,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,B, 16,H, 6, 123.00,    145.1300,rads     ,Radiolarians                                 ,A              ,VG                ,C                        ,                       ,                      ,R                 ,             ,                ,                     ,                      ,                   ,F              ,C              ,                        ,C               ,T                   ,F              ,                  ,                     ,                 ,C            ,R                               ,                     ,                 ,                         ,                ,                     ,                       ,                           ,                         ,R               ,T                  ,R               ,                                ,                ,F              ,                      ,                       ,R             ,                   ,C                    ,                 ,F                  ,C               ,                 ,                            ,                      ,                ,C            ,                      ,C                    ,                    ,F                  ,R                              ,F                      ,R                   ,R                     ,             ,                  ,                ,                       ,R                   ,                     ,                     ,F                     ,                  ,                          ,               ,R                              ,R                        ,              ,                       ,                        ,                ,                  ,                             ,              ,                      ,               ,                   ,                         ,                              ,                ,R                    ,                      ,                    ,T              ,                            ,                   ,                      ,                       ,                      ,                        ,               ,T              ,                        ,                          ,                       ,                                        ,                  ,F                 ,                        ,                         ,                  ,                                 ,                 ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,B, 16,H,CC,   0.00,    145.7600,rads     ,Radiolarians                                 ,A              ,VG                ,F                        ,                       ,                      ,R                 ,             ,                ,                     ,                      ,                   ,C              ,C              ,R                       ,A               ,                    ,R              ,                  ,                     ,                 ,A            ,F                               ,                     ,                 ,                         ,R               ,                     ,                       ,                           ,                         ,R               ,                   ,                ,                                ,                ,F              ,                      ,                       ,C             ,                   ,R                    ,                 ,F                  ,F               ,                 ,                            ,                      ,                ,             ,                      ,C                    ,                    ,F                  ,R                              ,F                      ,                    ,R                     ,             ,                  ,                ,                       ,F                   ,C                    ,                     ,F                     ,                  ,                          ,               ,R                              ,F                        ,              ,                       ,                        ,                ,                  ,                             ,              ,                      ,               ,                   ,                         ,                              ,                ,                     ,                      ,R                   ,               ,                            ,R                  ,                      ,                       ,R                     ,                        ,               ,               ,                        ,R                         ,                       ,                                        ,                  ,F                 ,R                       ,                         ,                  ,                                 ,                 ,T                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,B, 17,H, 2,  64.00,    148.0400,rads     ,Radiolarians                                 ,A              ,G                 ,C                        ,                       ,                      ,R                 ,             ,                ,                     ,                      ,                   ,R              ,C              ,R                       ,A               ,                    ,R              ,                  ,                     ,                 ,C            ,R                               ,                     ,                 ,                         ,                ,                     ,                       ,                           ,                         ,R               ,                   ,                ,                                ,                ,C              ,                      ,                       ,C             ,R                  ,C                    ,                 ,F                  ,C               ,                 ,R                           ,                      ,R               ,             ,                      ,C                    ,                    ,R                  ,R                              ,C                      ,R                   ,R                     ,             ,                  ,                ,R                      ,F                   ,F                    ,                     ,R                     ,                  ,                          ,               ,                               ,R                        ,              ,                       ,                        ,                ,                  ,                             ,              ,                      ,               ,                   ,                         ,                              ,                ,R                    ,                      ,                    ,               ,                            ,R                  ,                      ,                       ,R                     ,                        ,               ,               ,                        ,                          ,R                      ,                                        ,                  ,R                 ,                        ,                         ,                  ,                                 ,                 ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,B, 17,H, 6, 127.00,    154.6700,rads     ,Radiolarians                                 ,A              ,M                 ,R                        ,R                      ,                      ,                  ,             ,R               ,                     ,                      ,                   ,R              ,R              ,R                       ,C               ,                    ,R              ,                  ,                     ,                 ,F            ,R                               ,                     ,                 ,                         ,R               ,                     ,                       ,                           ,                         ,R               ,                   ,F               ,                                ,                ,F              ,                      ,                       ,R             ,                   ,C                    ,                 ,F                  ,                ,                 ,F                           ,                      ,                ,             ,                      ,R                    ,                    ,R                  ,                               ,C                      ,                    ,R                     ,             ,                  ,                ,                       ,                    ,F                    ,                     ,R                     ,                  ,                          ,               ,R                              ,R                        ,              ,                       ,                        ,                ,                  ,R                            ,              ,                      ,               ,                   ,                         ,                              ,                ,R                    ,                      ,R                   ,               ,R                           ,                   ,                      ,R                      ,                      ,                        ,               ,               ,                        ,R                         ,                       ,                                        ,T                 ,T                 ,                        ,T                        ,                  ,                                 ,                 ,                     ,       
