Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rhabdammina spp.,Cibicidoides spp.,Nuttallides truempyi,Ammodiscus spp.,Oridorsalis umbonatus,Pullenia spp.,Nodosariid taxa,Glomospira charoides,Stilostomella spp.,Spirillina minima,Patellina corrugata,Hanzawaia ammophila,Bolivina spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D,  1,R,CC,  11.00,    236.7300,Holbourn ,Benthic Foraminifers                         ,               ,                  ,                ,                 ,                    ,               ,                     ,             ,R              ,                    ,F                 ,                 ,                   ,                   ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D,  2,R,CC,  10.00,    243.8700,Holbourn ,Benthic Foraminifers                         ,               ,                  ,                ,C                ,                    ,               ,                     ,             ,               ,                    ,                  ,R                ,F                  ,R                  ,A            ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D,  3,R,CC,  24.00,    254.2800,Holbourn ,Benthic Foraminifers                         ,               ,                  ,R               ,                 ,                    ,               ,                     ,             ,               ,                    ,R                 ,                 ,                   ,                   ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D,  5,R,CC,  11.00,    269.7100,Holbourn ,Benthic Foraminifers                         ,               ,                  ,R               ,R                ,                    ,               ,                     ,             ,               ,                    ,                  ,                 ,                   ,                   ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D,  6,R,CC,  19.00,    284.0300,Holbourn ,Benthic Foraminifers                         ,               ,                  ,A               ,C                ,R                   ,R              ,R                    ,F            ,R              ,R                   ,                  ,                 ,                   ,                   ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D,  7,R,CC,  11.00,    289.0100,Holbourn ,Benthic Foraminifers                         ,               ,                  ,F               ,F                ,R                   ,               ,R                    ,             ,               ,                    ,                  ,                 ,                   ,                   ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D,  8,R,CC,  17.00,    304.2100,Holbourn ,Benthic Foraminifers                         ,               ,                  ,R               ,                 ,                    ,               ,                     ,             ,               ,                    ,                  ,                 ,                   ,                   ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D, 10,R,CC,  12.00,    322.4600,Holbourn ,Benthic Foraminifers                         ,               ,                  ,A               ,                 ,                    ,R              ,                     ,             ,               ,                    ,                  ,                 ,                   ,                   ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D, 11,R,CC,  21.00,    332.2500,Holbourn ,Benthic Foraminifers                         ,               ,                  ,R               ,                 ,R                   ,               ,                     ,             ,               ,                    ,                  ,                 ,                   ,                   ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D, 12,R,CC,  20.00,    339.4300,Holbourn ,Benthic Foraminifers                         ,               ,                  ,R               ,                 ,F                   ,R              ,                     ,             ,               ,                    ,                  ,                 ,                   ,                   ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D, 16,R,CC,  11.00,    378.2600,Holbourn ,Benthic Foraminifers                         ,               ,                  ,R               ,                 ,                    ,               ,                     ,             ,               ,                    ,                  ,                 ,                   ,                   ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D, 17,R,CC,  18.00,    387.3300,Holbourn ,Benthic Foraminifers                         ,               ,                  ,R               ,                 ,                    ,               ,                     ,             ,               ,                    ,                  ,                 ,                   ,                   ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D, 18,R,CC,  15.00,    397.1800,Holbourn ,Benthic Foraminifers                         ,               ,                  ,R               ,R                ,                    ,               ,                     ,             ,               ,                    ,                  ,                 ,                   ,                   ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D, 19,R,CC,  18.00,    406.7800,Holbourn ,Benthic Foraminifers                         ,               ,                  ,R               ,                 ,                    ,               ,                     ,             ,               ,                    ,                  ,                 ,                   ,                   ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1128,D, 20,R,CC,  13.00,    416.9700,Holbourn ,Benthic Foraminifers                         ,               ,                  ,R               ,                 ,                    ,               ,                     ,             ,               ,                    ,                  ,                 ,                   ,                   ,             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
