Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra perplexa,Reticulofenestra gelida,Triquetrorhabdulus rugosus,Discoaster tamalis,Discoaster surculus,Reticulofenestra pseudoumbilica,Discoaster variabilis,Discoaster spp.,Coccolithus pelagicus,Calcidiscus leptoporus,Reticulofenestra minuta,Amaurolithus tricorniculatus,Amaurolithus delicatus,Calcidiscus macintyrei,Reticulofenestra spp.,Pseudoemiliania lacunosa,Pontosphaera spp.,Helicosphaera kamptneri,Gephyrocapsa spp. (small),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  1,H,CC,   9.00,      4.2100,nannos   ,Nannofossils                                 ,A              ,G                 ,                         ,                       ,                          ,                  ,                   ,                               ,                     ,               ,C                    ,                      ,                       ,                            ,                      ,                      ,                     ,                        ,                 ,                       ,A                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  2,H,CC,  15.00,     13.7900,nannos   ,Nannofossils                                 ,A              ,G                 ,                         ,                       ,                          ,                  ,                   ,                               ,                     ,               ,A                    ,C                     ,                       ,                            ,                      ,                      ,F                    ,F                       ,F                ,F                      ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  3,H,CC,  14.00,     23.1700,nannos   ,Nannofossils                                 ,A              ,G                 ,                         ,                       ,                          ,                  ,                   ,                               ,                     ,               ,C                    ,C                     ,                       ,                            ,                      ,C                     ,                     ,                        ,                 ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  4,H,CC,  13.00,     32.1900,nannos   ,Nannofossils                                 ,A              ,G                 ,                         ,                       ,                          ,                  ,                   ,                               ,                     ,               ,C                    ,C                     ,A                      ,                            ,                      ,C                     ,                     ,                        ,                 ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  5,H,CC,   4.00,     42.0300,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,                       ,                          ,                  ,                   ,                               ,                     ,               ,C                    ,C                     ,D                      ,                            ,                      ,                      ,                     ,                        ,                 ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  6,H,CC,  13.00,     52.0400,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,F                      ,                          ,                  ,                   ,                               ,                     ,               ,F                    ,A                     ,A                      ,R                           ,R                     ,                      ,                     ,                        ,                 ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  7,H,CC,  15.00,     60.7400,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,A                      ,                          ,                  ,F                  ,C                              ,R                    ,F              ,C                    ,C                     ,                       ,                            ,                      ,                      ,                     ,                        ,                 ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  8,H,CC,  14.00,     70.7500,nannos   ,Nannofossils                                 ,A              ,G                 ,                         ,A                      ,R                         ,                  ,R                  ,                               ,                     ,               ,                     ,                      ,                       ,                            ,                      ,                      ,                     ,                        ,                 ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B,  9,H,CC,   8.00,     80.2300,nannos   ,Nannofossils                                 ,A              ,G                 ,                         ,A                      ,                          ,R                 ,                   ,                               ,                     ,               ,                     ,                      ,                       ,                            ,                      ,                      ,                     ,                        ,                 ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B, 10,H,CC,  14.00,     89.7700,nannos   ,Nannofossils                                 ,A              ,G                 ,                         ,A                      ,                          ,                  ,                   ,                               ,                     ,               ,                     ,                      ,                       ,                            ,                      ,                      ,                     ,                        ,                 ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B, 11,H,CC,  13.00,     97.9300,nannos   ,Nannofossils                                 ,A              ,M                 ,                         ,A                      ,R                         ,                  ,                   ,                               ,                     ,               ,                     ,                      ,                       ,                            ,                      ,                      ,                     ,                        ,                 ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,B, 12,H,CC,  11.00,    109.0600,nannos   ,Nannofossils                                 ,A              ,M                 ,A                        ,A                      ,                          ,                  ,                   ,                               ,                     ,               ,                     ,                      ,                       ,                            ,                      ,                      ,                     ,                        ,                 ,                       ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
