Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongodiscus cruciferus,Lophocyrtis longiventer,Eucyrtidium spinosum,Theocorys saginata,Theocorys robusta,Lychnocanoma conica,Cyrtocapsella tetrapera,Lamprocyclas matakohe,Cyrtocapsella japonica,Cyrtocapsella aff. tetrapera,Cenosphaera coronataformis,Buryella aff. kaikoura,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  1,R,CC,  15.00,    250.2700,rads     ,Radiolarians                                 ,C              ,M                 ,                       ,                       ,                    ,                  ,                 ,F                  ,                       ,F                    ,T                     ,T                           ,T                         ,R                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  2,R,CC,  17.00,    260.6800,rads     ,Radiolarians                                 ,C              ,M                 ,                       ,                       ,                    ,                  ,F                ,F                  ,T                      ,                     ,                      ,                            ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  3,R,CC,  14.00,    271.3400,rads     ,Radiolarians                                 ,F              ,P                 ,C                      ,                       ,                    ,F                 ,F                ,                   ,                       ,                     ,                      ,                            ,                          ,                      ,2/3 FO C. tetrapera and FO L conica (32.8(
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  4,R,CC,  15.00,    280.5900,rads     ,Radiolarians                                 ,F              ,P                 ,F                      ,                       ,F                   ,C                 ,R                ,                   ,                       ,                     ,                      ,                            ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  7,R,CC,  15.00,    302.3000,rads     ,Radiolarians                                 ,F              ,G                 ,T                      ,                       ,                    ,                  ,                 ,                   ,                       ,                     ,                      ,                            ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D,  9,R,CC,  12.00,    318.7700,rads     ,Radiolarians                                 ,C              ,G                 ,                       ,R                      ,                    ,                  ,                 ,                   ,                       ,                     ,                      ,                            ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 10,R,CC,  12.00,    330.7800,rads     ,Radiolarians                                 ,C              ,G                 ,                       ,F                      ,R                   ,                  ,                 ,                   ,                       ,                     ,                      ,                            ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 11,R,CC,  12.00,    334.0200,rads     ,Radiolarians                                 ,C              ,P                 ,F                      ,                       ,                    ,                  ,                 ,                   ,                       ,                     ,                      ,                            ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 17,R,CC,  24.00,    398.4000,rads     ,Radiolarians                                 ,C              ,P                 ,F                      ,                       ,                    ,                  ,                 ,                   ,                       ,                     ,                      ,                            ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1171,D, 18,R,CC,   0.00,    401.2000,rads     ,Radiolarians                                 ,C              ,P                 ,F                      ,                       ,                    ,                  ,                 ,                   ,                       ,                     ,                      ,                            ,                          ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
