leg,site,hole,core,coretype,section,observer,top interval,piece number top,sub piece top,bottom interval,piece number bottom,sub piece bottom,lithology,color,color number,structures,drilling deformities,unusual occurrences,minerals,paleontology,other,induration,more data available,code,latitude,longitude,depth,top interval depth below sea floor,bottom interval depth below sea floor
108,660,A,001,Hydraulic (Advanced) Piston Core,01,MAZ,000,,,050,,,"siliceous-bearing, mud-bearing nannofossil ooze","brown (0-15cm), light yellowish brown (15-29cm), gray/light gray (31,40-50cm), yellowish brown (29-40cm)","10yr 5/3, 10yr 6/4, 10yr 6/1, 10yr 5/4 (29-40cm)",,highly (0-15cm) and moderately (15-50cm) disturbed,,,nannos,,,,H,10.01348,-19.24563,0000.00,0,50
108,660,A,001,Hydraulic (Advanced) Piston Core,01,MAZ,050,,,150,,,silty clay,"very dark gray mottled w/ yellowish brown @ 50-94,103-119cm and with greenish laminae @ 119-129cm","10yr 3/1 mottled w/ 10yr 5/4 @ 50-94,103-119cm","mottling (50-94,103-119cm), greenish laminae (119-129cm), moderate bioturbation (50-94,103-129cm)",moderately disturbed (129-150cm),,,,,,,H,10.01348,-19.24563,0000.00,50,150
108,660,A,001,Hydraulic (Advanced) Piston Core,02,MAZ,000,,,014,,,silty clay,"very dark gray (0-10cm), black (10-14cm)","10yr 3/1, 10yr 2/1",,moderately disturbed,,,,,,,H,10.01348,-19.24563,0001.50,150,164
108,660,A,001,Hydraulic (Advanced) Piston Core,CC,MAZ,000,,,018,,,silty clay,very dark gray mottled with olive gray,10yr 3/1 mottled with 5y 5/2,"mottling, minor bioturbation (5-18cm)",,,,,,,,H,10.01348,-19.24563,0001.65,164,182
108,660,A,002,Hydraulic (Advanced) Piston Core,01,MAZ,000,,,031,,,nannofossil silty clay,"olive gray (0-23cm), light olive gray (23-31cm)","5y 5/2, 5y 6/2",minor bioturbation,,,,nannos,,,,H,10.01348,-19.24563,0001.80,179,210
108,660,A,002,Hydraulic (Advanced) Piston Core,01,MAZ,031,,,053,,,silty clay,"very dark gray (48-49cm), olive gray (31-48,49-53cm)","intermottled 5y 5/2 and 10gy 3/2 (31-48cm); 5y 3/1 (48-49cm), 5y 5/2 (49-53cm)","minor bioturbation (49-53cm), laminae? (31-45cm), mottling (31-48cm)",,,,,,,,H,10.01348,-19.24563,0001.80,210,232
108,660,A,002,Hydraulic (Advanced) Piston Core,01,MAZ,053,,,150,,,"silty clay, void (147-150cm)","very dark gray with olive gray mottling (53-126cm), olive gray (126-147cm)","5y 3/1 with 5y 4/2 mottling (53-126cm), 5y 4/2 (126-147cm)","moderate (53-135cm) to minor (135-147cm) bioturbation, mottling (53-126cm)",,,,,,,,H,10.01348,-19.24563,0001.80,232,329
108,660,A,002,Hydraulic (Advanced) Piston Core,02,MAZ,000,,,083,,,silty clay,"very dark gray(0-6,19-49cm), dark gray(6-19cm) interbedded very dark gray & dark gray(49-68cm), olive gray(68-83cm)","5y 3/1, 5y 4/1, 5y 4/1 & 5y 3/1, w/ 5y 4/2, 10gy 3/2 @ 50,58cm","minor bioturbation (6-20cm), thin interbeds (49-68cm)",moderately disturbed (0-18cm),,,,,,,H,10.01348,-19.24563,0003.30,329,412
108,660,A,002,Hydraulic (Advanced) Piston Core,02,MAZ,083,,,150,,,nannofossil silty clay,"olive gray (80-104,110-122,128-142cm), gray (104-110,122-128,142-150cm)","5y 5/2, 5y 5/1","moderate bioturbation (83-90,110-115,128-135cm)",,,,nannos,,,,H,10.01348,-19.24563,0003.30,412,479
108,660,A,002,Hydraulic (Advanced) Piston Core,03,MAZ,000,,,040,,,silty clay,"olive gray(8-14cm),dark gray(20-30cm) mottled gray and dark gray (0-8cm), gray/light gray(30-40cm), dark greenish gray(14-20cm)","5y 5/2, 5y 4/1, 5y 5/1 & 5y 4/1 mottled, 5y 6/1, 5g 4/1","moderate bioturbation (0-8,20-40cm)",,,,,,,,H,10.01348,-19.24563,0004.80,480,520
