leg,site,hole,core,coretype,section,observer,top interval,piece number top,sub piece top,bottom interval,piece number bottom,sub piece bottom,lithology,color,color number,structures,drilling deformities,unusual occurrences,minerals,paleontology,other,induration,more data available,code,latitude,longitude,depth,top interval depth below sea floor,bottom interval depth below sea floor
108,665,B,001,Hydraulic (Advanced) Piston Core,01,KAT,000,,,150,,,"clay-bearing, foram-bearing, siliceous nannofossil ooze (0-72,100-126cm) alternating w/ diatom ooze (72-100,126-150cm)","brown (0-72,100-126cm), black (72-100,126-150cm)","7.5yr 5/4, 7.5yr 2/0",minor (30-126cm) to moderate? (126-150cm) bioturbation,highly disturbed (0-30cm),,,"diatoms (72-100,126-150cm), nannos & forams (0-72,100-126cm)",,,,H,2.95117,-19.66783,0000.00,0,150
108,665,B,001,Hydraulic (Advanced) Piston Core,02,KAT,000,,,038,,,"clay-bearing, foram-bearing, siliceous nannofossil alternating w/ diatom ooze",very dark gray grading down to brown/dark brown,10yr 3/1 grading down to 10yr 4/3,minor bioturbation,,,,"diatoms, nannos, forams",,,,H,2.95117,-19.66783,0001.50,150,188
108,665,B,001,Hydraulic (Advanced) Piston Core,02,KAT,038,,,137,,,foram/siliceous/clay-bearing nanno ooze to siliceous/mud/foram-bearing nanno ooze,"very pale brown (rest), light yellowish brown (68-78cm), yellowish brown (100-114cm), pink (114-137cm)","10yr 7/4 (40-68,83-100cm), 10yr 7/3 (78-83cm), 10yr 6/4, 10yr 5/4, 7.5yr 7/4",minor to moderate (100-125cm) bioturbation,,,,"nannos, forams",,,,H,2.95117,-19.66783,0001.50,188,287
108,665,B,001,Hydraulic (Advanced) Piston Core,02,KAT,137,,,150,,,foram/siliceous/clay-bearing nannofossil ooze to siliceous/mud/foraminifer-bearing nannofossil ooze,dark gray,10yr 3/1,minor bioturbation,,,,"forams, nannos",,,,H,2.95117,-19.66783,0001.50,287,300
108,665,B,001,Hydraulic (Advanced) Piston Core,03,KAT,000,,,076,,,"foram-bearing, siliceous-bearing, clay-bearing nannofossil ooze","very dark gray (0-8,15-48cm), light yellowish brown (8-15cm), very dark gray-light yellowish brown (48-76cm)","10yr 3/1 (0-8,15-48cm), 10yr 6/4 (8-15cm), 10yr 3/1 to 10yr 6/4 (48-76cm)","minor bioturbation (0-8,15-76cm), laminae? (56,66cm)",,,,"forams, nannos",,,,H,2.95117,-19.66783,0003.00,300,376
108,665,B,001,Hydraulic (Advanced) Piston Core,03,KAT,076,,,150,,,"foram/siliceous/clay-bearing nannofossil ooze (76-111cm), siliceous/mud/foram-bearing nannofossil ooze (111-150cm)","very dark gray (76-111cm), light gray mottled w/ very dark gray & light olive gray (111-150cm)","10yr 3/1 (76-111cm), 5y 7/1 to 5y 7/2 mottled w/ 10yr 3/1 & 5y 6/2 (111-150cm)","mottling (111-150cm), minor bioturbation",,,,"forams, nannos",,,,H,2.95117,-19.66783,0003.00,376,450
108,665,B,001,Hydraulic (Advanced) Piston Core,04,KAT,000,,,100,,,foram/siliceous/clay-bearing nanno ooze (82-100cm) to siliceous/mud/foram-bearing nanno ooze (0-82cm),"light yellowish brown(0-28cm),gray/light gray (28-48cm), pale brown down to gray/light gray(48-82cm),gray(82-100cm)","10yr 6/4, 10yr 6/1, 10yr 6/3 down to 10yr 6/1, 5y 5/1","minor (48-78,95-100cm) to moderate (10-48cm) bioturbation",,,,"nannos, forams",,,,H,2.95117,-19.66783,0004.50,450,550
108,665,B,001,Hydraulic (Advanced) Piston Core,04,KAT,100,,,122,,,"foraminifer-bearing, siliceous-bearing, clay-bearing nannofossil ooze","pale brown (100-112cm), very dark gray (112-122cm)","10yr 6/3, 10yr 3/1",minor bioturbation,,,,"forams, nannos",,,,H,2.95117,-19.66783,0004.50,550,572
108,665,B,001,Hydraulic (Advanced) Piston Core,CC,KAT,000,,,025,,,foram/siliceous/clay-bearing nanno ooze,"very pale brown (0-10cm), very dark gray (10-25cm)","10yr 7/3, 10yr 3/1",minor bioturbation (5-18cm),,,,"nannos, forams",,,,H,2.95117,-19.66783,0005.76,576,601
108,665,B,002,Hydraulic (Advanced) Piston Core,01,KAT,000,,,118,,,siliceous/mud/foram-bearing nanno ooze (0-88cm) alternating w/ nanno clay (88-118cm),"pale brown(0-61cm), olive(61-88cm), very dark gray(88-100cm),  gray/light gray(100-118cm), greenish bands (61-70cm)","10yr 6/3, 5y 5/4 - 5y 5/3, 5y 3/1, 5y 6/1, 5y 4/1 - 5y 3/1","laminae (61-70cm), minor bioturbation (61-70,90-118cm), bands (61-70cm)",highly disturbed (0-30cm),,,"nannos, forams (0-88cm)",turbidite mud (100-118cm),,,H,2.95117,-19.66783,0006.00,600,718
