leg,site,hole,core,coretype,section,observer,top interval,piece number top,sub piece top,bottom interval,piece number bottom,sub piece bottom,lithology,color,color number,structures,drilling deformities,unusual occurrences,minerals,paleontology,other,induration,more data available,code,latitude,longitude,depth,top interval depth below sea floor,bottom interval depth below sea floor
121,758,C,001,Hydraulic (Advanced) Piston Core,01,REA,000,,,150,,,clayey nannofossil ooze with foraminifers and nannofossil ooze with clay and foraminifers,brown (0-56cm); dark gray with brown mottles at 56-114cm and slightly lighter at 143-150cm (56-150cm); greenish band (120cm),10yr 5/3 (0-56cm); 10yr 4/1 with 10yr 5/3 mottles(56-114cm); 5y 4/1 (114-150cm),minor bioturbation; mottles; band (120cm),highly disturbed (0-10cm); moderately disturbed (10-56cm); slightly disturbed (56-150cm),,,nannos; forams,oxidized (0-56cm); clayey nanno ooze generally darker than nanno ooze,,,H,5.38400,90.36110,0000.00,0,150
121,758,C,001,Hydraulic (Advanced) Piston Core,02,REA,000,,,150,,,"clayey nannofossil ooze with foraminifers and nannofossil ooze with clay and foraminifers (0-8,34-150cm); volcanic ash/pumice/toba ash (8-34cm)","light gray with a few darker layers and a greenish layer/parting at 65-66cm (0-8,34-150cm); dark gray with faint green layers/bands at 22-23cm (8-34cm)","5y 7/1 (0-8,34-150cm); 5y 4/1 (8-34cm)",moderate (0-8cm) to minor (34-150cm) bioturbation; normal graded bedding/fining upward sequence (8-34cm); layer/parting (65-66cm); faint layers/bands (22-23cm),,volcanic ash/pumice/toba ash (8-34cm),volcanic ash/pumice/toba ash (8-34cm),nannos; forams,sharp contact(34cm);clayey nanno ooze generally darker than nanno ooze,,,H,5.38400,90.36110,0001.50,150,300
121,758,C,001,Hydraulic (Advanced) Piston Core,03,DEH,000,,,080,,,clayey nannofossil ooze with foraminifers and nannofossil ooze with clay and foraminifers,gray/light gray (0-2cm) grading into gray with lighter and darker patches of grays (light) and olive (dark) shades and 4 or 5 dark grayish green layers of ash with lighter gray mottles(2-80cm),"5y 6/1 (0-2cm); 5y 5/1 with 4 or 5 layers of 10y 4/2 ash at 25-27,33-35cm (2-80cm)","moderate (0-25,35-50cm) to minor (50-80cm) bioturbation; faint mottling (2-80cm); laminae? (27-30cm)",,"4-5 ash layers (25-27,33-35cm)","4-5 ash layers (25-27,33-35cm)",nannos; forams,"gradational contacts (2,80cm);clayey nanno ooze generally darker than nanno ooze",,,H,5.38400,90.36110,0003.00,300,380
121,758,C,001,Hydraulic (Advanced) Piston Core,03,DEH,080,,,113,,,clayey nannofossil ooze with foraminifers and nannofossil ooze with clay and foraminifers,light olive gray grading to greenish gray with greenish gray ash layers at 110-113cm and olive shades of mottling,5y 6/2 grading down to 5gy 6/1 with 5g 5/1 ash layers at 110-113cm,minor bioturbation; faint mottling; ash layers (110-113cm),,ash layers (110-113cm),ash layers (110-113cm),nannos; forams,gradational contact (80cm); clayey nanno ooze generally darker than nanno ooze,,,H,5.38400,90.36110,0003.00,380,413
121,758,C,001,Hydraulic (Advanced) Piston Core,03,DEH,113,,,150,,,clayey nannofossil ooze with foraminifers and nannofossil ooze with clay and foraminifers,light greenish gray (113-124cm) grading down into light gray (124-132cm) grading down into light olive gray with a gray deformed banding at 142-150cm (132-150cm),5gy 7/1 (113-124cm) grading down to 5y 7/1 (124-132cm) grading down to 5y 6/2 with 5y 5/1 deformed banding at 142-150cm (132-150cm),minor bioturbation; laminae? (113-115cm); deformed banding (142-150cm),slightly disturbed (132-150cm),,,nannos; forams,"gradational contacts (124,132cm);clayey nanno ooze generally darker than nanno ooze",,,H,5.38400,90.36110,0003.00,413,450
121,758,C,001,Hydraulic (Advanced) Piston Core,04,REA,000,,,150,,,clayey nannofossil ooze with foraminifers and nannofossil ooze with clay and foraminifers,"light gray (0-13cm); gray/light gray (13-75,120-137cm); dark gray (75-120cm); light olive gray (137-150cm); three prominant green bands (72-74cm); vertical gray streak (112-134cm); olive tinge (21-31cm)","5y 7/1 (0-13cm); 5y 6/1 (13-75,120-137cm); 5y 4/1 (75-120cm); 5y 6/2 (137-150cm)","minor (0-48,120-138cm) to moderate (48-120,138-150cm) bioturbation; mottling (prominant at 120-137cm); 3 prominant bands (72-74cm)",slightly disturbed (0-31cm),,,nannos; forams,clayey nanno ooze generally darker than nanno ooze,,,H,5.38400,90.36110,0004.50,450,600
121,758,C,001,Hydraulic (Advanced) Piston Core,05,FAR,000,,,053,,,clayey nannofossil ooze with foraminifers and nannofossil ooze with clay and foraminifers,gray/light gray with slightly darker band at 16-17cm (0-17cm); light gray with some olive rich mottles and a dark gray bleb at 25.5cm (17-53cm),5y 6/1 (0-17cm); 5y 7/2 (17-53cm),minor bioturbation?; mottling; band (16-17cm),,,,nannos; forams,clayey nanno ooze generally darker than nanno ooze,,,H,5.38400,90.36110,0006.00,600,653
121,758,C,001,Hydraulic (Advanced) Piston Core,05,FAR,053,,,150,,,clayey nannofossil ooze with foraminifers and nannofossil ooze with clay and foraminifers,light gray grading down to gray/light gray (53-106cm); gray  with 1/2 a black ash layer at 108cm (106-130cm); progressively lighter gray (130-150cm),5y 7/1 grading down to 5y 6/1 (53-106cm); 5y 5/1 (106-130cm),mottling (130-150cm),,1/2 ash layer (108cm),1/2 ash layer (108cm),nannos; forams,fairly distinct contact (106cm);clayey nanno ooze generally darker than nanno ooze,,,H,5.38400,90.36110,0006.00,653,750
121,758,C,001,Hydraulic (Advanced) Piston Core,06,FAR,000,,,061,,,clayey nannofossil ooze with foraminifers and nannofossil ooze with clay and foraminifers,mottled gray to gray/light gray (0-16cm); light gray grading to gray/light gray at 55-60cm (16-61cm),mottled 5y 5/1 to 5y 6/1 (0-16cm); 5y 7/1 grading down to 5y 6/1 at 55-60cm (16-61cm),mottling; minor bioturbation,,,,nannos; forams,clayey nanno ooze generally darker than nanno ooze,,,H,5.38400,90.36110,0007.50,750,811
121,758,C,001,Hydraulic (Advanced) Piston Core,06,FAR,061,,,128,,,clayey nannofossil ooze with foraminifers and nannofossil ooze with clay and foraminifers,gray with a few lighter mottles (61-100cm); dark mottles in lighter matrix (100-116cm); slightly olive with lighter mottles near base (116-128cm),5y 5/1 (61-100cm),mottling,,,,nannos; forams,clayey nanno ooze generally darker than nanno ooze,,,H,5.38400,90.36110,0007.50,811,878
