Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Rhabdammina spp.	Reticulophragmium amplectens	Reophax elongatus	Hyperammina sp. (large coarse)	Cyclammina placenta	Bathysiphon spp.	Psammosphaera sp.	Haplophragmoides walteri excavatus	Haplophragmoides eggeri	Trochammina variolaria	Saccammina grzybowskii	Rhizammina indivisa	Hormosina velascoensis	Ammodiscus latus	Hyperammina spp.	Haplophragmium walteri	Glomospira gordialis	Ammodiscus tenuissimus	Glomospira irregularis	Glomospira charoides	Ammodiscus peruvianus	Glomospira glomerata	Reophax  nodulosus	Trochammina sp.	Lituotuba lituiformis	Hormosinella sp.	Ammosphaeroidina pseudopauciloculata	Comment



  SR	Oligocene        	                 	                  	              	124	 767	B	 72	X	 3	  23.00	    678.5300	Kaminski 	Benthic Foraminifers                         	               	                  	                	F                           	                 	                              	                   	                	                 	                                  	                       	                      	                      	C                  	                      	                	R               	                      	                    	                      	                      	                    	                     	                    	R                 	R              	R                    	R               	F                                   	uncertain age assignment from ODP Leg 124 SR Chapter 12 Table 1 p 174

  SR	Oligocene        	                 	                  	              	124	 767	B	 74	X	 4	  69.00	    699.7900	Kaminski 	Benthic Foraminifers                         	               	                  	                	                            	                 	                              	                   	                	                 	                                  	                       	                      	                      	R                  	                      	                	                	                      	F                   	                      	                      	R                   	                     	R                   	R                 	               	                     	                	                                    	uncertain age assignment from ODP Leg 124 SR Chapter 12 Table 1 p 174

  SR	Oligocene        	                 	                  	              	124	 767	B	 75	X	 1	  45.00	    704.6500	Kaminski 	Benthic Foraminifers                         	               	                  	F               	R                           	                 	                              	                   	                	                 	                                  	                       	                      	                      	                   	                      	                	                	                      	F                   	R                     	                      	F                   	                     	R                   	                  	               	                     	                	                                    	from ODP Leg 124 SR Chapter 12 Table 1 p 174

  SR	Oligocene        	                 	                  	              	124	 767	B	 75	X	 4	  45.00	    709.1500	Kaminski 	Benthic Foraminifers                         	               	                  	C               	                            	R                	                              	                   	F               	                 	                                  	                       	                      	                      	                   	                      	F               	                	R                     	F                   	R                     	R                     	F                   	R                    	                    	                  	               	                     	                	                                    	from ODP Leg 124 SR Chapter 12 Table 1 p 174

  SR	Oligocene        	                 	                  	              	124	 767	B	 75	X	 6	  80.00	    712.5000	Kaminski 	Benthic Foraminifers                         	               	                  	                	R                           	                 	                              	                   	F               	                 	                                  	                       	                      	                      	F                  	                      	R               	                	                      	F                   	R                     	F                     	F                   	R                    	                    	                  	               	                     	                	                                    	from ODP Leg 124 SR Chapter 12 Table 1 p 174

  SR	Oligocene        	                 	                  	              	124	 767	B	 76	X	 2	 111.00	    716.1100	Kaminski 	Benthic Foraminifers                         	               	                  	C               	                            	                 	                              	                   	F               	                 	                                  	                       	                      	                      	                   	R                     	                	R               	R                     	R                   	R                     	                      	                    	                     	                    	                  	               	                     	                	                                    	from ODP Leg 124 SR Chapter 12 Table 1 p 174

  SR	Oligocene        	                 	                  	              	124	 767	B	 76	X	 6	   6.00	    721.0600	Kaminski 	Benthic Foraminifers                         	               	                  	F               	                            	                 	                              	                   	                	                 	                                  	                       	R                     	R                     	C                  	R                     	R               	                	                      	                    	                      	                      	                    	                     	                    	                  	               	                     	                	                                    	from ODP Leg 124 SR Chapter 12 Table 1 p 174

  SR	Oligocene        	                 	                  	              	124	 767	B	 77	X	 1	  88.00	    724.0800	Kaminski 	Benthic Foraminifers                         	               	                  	F               	                            	                 	                              	                   	F               	R                	R                                 	R                      	                      	                      	                   	                      	                	                	                      	                    	                      	                      	                    	                     	                    	                  	               	                     	                	                                    	from ODP Leg 124 SR Chapter 12 Table 1 p 174

  SR	Oligocene        	                 	                  	              	124	 767	B	 77	X	 2	  30.00	    725.0000	Kaminski 	Benthic Foraminifers                         	               	                  	C               	F                           	R                	R                             	R                  	F               	                 	                                  	                       	                      	                      	                   	                      	                	                	                      	                    	                      	                      	                    	                     	                    	                  	               	                     	                	                                    	from ODP Leg 124 SR Chapter 12 Table 1 p 174

