Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra pseudoumbilicus	Minylitha convallis	Discoaster quinqueramus/berggrenii	Amaurolithus spp.	Discoaster pentaradiatus	Discoaster brouweri	Ceratolithus telesmus	Ceratolithus spp.	Ceratolithus acutus	Calcidiscus leptoporus	Calcidiscus macintyrei (>11 um)	Discoaster tamalis	Discoaster surculus	Helicosphaera carteri	Coccolithus pelagicus	Pseudoemiliania lacunosa	Discoaster triradiatus	Gephyrocapsa sp. 3	Gephyrocapsa oceanica s.l.	Gephyrocapsa large	Gephyrocapsa (small)	Emiliania huxleyi	Comment



  IR	                 	                 	CN15              	              	167	1011	B	  1	H	CC	  18.00	      8.3600	Fornaciari	Nannofossils                                 	C              	M                 	                                	                   	                                  	                 	                        	                   	                     	                 	                   	R                     	                               	                  	                   	C                    	F                    	                        	                      	R                 	F                         	                  	A                   	A                	from IR. Ch 5. Table 5.

  IR	                 	                 	CN15              	              	167	1011	B	  2	H	CC	   6.00	     18.1700	Fornaciari	Nannofossils                                 	A              	G                 	                                	                   	                                  	                 	                        	                   	                     	                 	                   	                      	                               	                  	                   	                     	                     	                        	                      	                  	                          	                  	C                   	A                	from IR. Ch 5. Table 5.

  IR	                 	                 	CN14              	              	167	1011	B	  4	H	CC	  25.00	     37.1800	Fornaciari	Nannofossils                                 	A              	G                 	                                	                   	                                  	                 	                        	                   	                     	                 	                   	C                     	                               	                  	                   	R                    	C                    	C                       	                      	                  	                          	                  	A                   	                 	from IR. Ch 5. Table 5.

  IR	                 	                 	CN13b             	              	167	1011	B	  5	H	CC	  22.00	     46.7500	Fornaciari	Nannofossils                                 	A              	G                 	                                	                   	                                  	                 	                        	                   	R                    	F                	                   	R                     	                               	                  	                   	R                    	                     	C                       	                      	R                 	C                         	R                 	                    	                 	from IR. Ch 5. Table 5.

  IR	                 	                 	CN12d             	CN13a         	167	1011	B	  7	H	CC	  22.00	     65.7300	Fornaciari	Nannofossils                                 	A              	G                 	                                	                   	                                  	                 	                        	R                  	                     	                 	                   	C                     	C                              	                  	                   	C                    	                     	C                       	R                     	                  	                          	                  	                    	                 	from IR. Ch 5. Table 5.

  IR	                 	                 	CN12d             	              	167	1011	B	  8	H	 1	  40.00	     65.8000	Fornaciari	Nannofossils                                 	A              	M                 	                                	                   	                                  	                 	                        	F                  	                     	                 	                   	                      	+                              	                  	                   	                     	                     	C                       	F                     	                  	                          	                  	                    	                 	from IR. Ch 5. Table 5.

  IR	                 	                 	CN12d             	              	167	1011	B	  8	H	CC	  22.00	     75.1800	Fornaciari	Nannofossils                                 	A              	G                 	                                	                   	                                  	                 	                        	F/C                	                     	                 	                   	C                     	F                              	                  	                   	                     	                     	                        	                      	                  	                          	                  	                    	                 	from IR. Ch 5. Table 5.

