Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Melonis barleeanus	Globobulimina affinis	Chilostomella oolina	Hoeglundina elegans	Uvigerina peregrina	Gyroidinoides spp.	Fontbotia wuellerstorfi	Cibicidoides kullenbergi	Pullenia bulloides	Nodosaria spp.	Melonis pompilioides	Uvigerina auberiana	Pyrgo spp.	Bulimina marginata	Bulimina gr. costata	Valvulineria laevigata	Uvigerina senticosa	Stilostomella spp.	Oridorsalis umbonatus	Nuttallides umbonifera	Nonionella atlantica	Melonis sp.	Lagena spp.	Globocassidulina subglobosa	Gavelinopsis translucens	Epistominella exigua	Elphidium spp.	Eggerella bradyi	Cassidulina crassa	Cassidulina carinata	Bulimina alazanensis	Bulimina aculeata	Brizalina subaenariensis	Bolivinita quadrilatera	Bolivina pseudopunctata	Bolivina paula	Comment



  IR	                 	                 	                  	              	172	1058	A	  2	H	CC	  10.00	     19.2100	Poli     	Benthic Foraminifers                         	T              	M                 	+                 	-                    	+                   	+                  	-                  	+                 	-                      	-                       	-                 	-             	-                   	-                  	+         	+                 	+                   	-                     	-                  	-                 	-                    	-                     	-                   	-          	-          	-                          	-                       	-                   	-             	-               	-                 	-                   	-                   	-                	-                       	-                      	+                      	+             	       

  IR	                 	                 	                  	              	172	1058	A	  3	H	CC	  18.00	     28.8200	Poli     	Benthic Foraminifers                         	R              	M                 	F                 	R                    	-                   	-                  	C                  	T                 	T                      	-                       	-                 	-             	-                   	-                  	R         	-                 	-                   	-                     	-                  	-                 	-                    	-                     	-                   	-          	-          	-                          	-                       	-                   	-             	-               	-                 	-                   	-                   	-                	-                       	-                      	-                      	-             	       

  IR	                 	                 	                  	              	172	1058	A	  4	H	CC	  16.00	     38.4100	Poli     	Benthic Foraminifers                         	F              	M                 	R                 	C                    	-                   	-                  	C                  	-                 	-                      	-                       	-                 	-             	-                   	-                  	-         	R                 	-                   	-                     	-                  	-                 	-                    	-                     	-                   	-          	-          	-                          	-                       	-                   	-             	-               	-                 	-                   	-                   	-                	-                       	T                      	T                      	T             	       

  IR	                 	                 	                  	              	172	1058	A	  5	H	CC	  23.00	     48.0700	Poli     	Benthic Foraminifers                         	F              	M                 	-                 	C                    	-                   	-                  	-                  	-                 	-                      	-                       	-                 	-             	C                   	-                  	-         	-                 	-                   	R                     	-                  	-                 	-                    	-                     	F                   	-          	-          	-                          	-                       	-                   	-             	-               	-                 	-                   	-                   	-                	-                       	-                      	-                      	R             	       

  IR	                 	                 	                  	              	172	1058	A	  6	H	CC	  29.00	     57.6800	Poli     	Benthic Foraminifers                         	T              	P                 	                  	+                    	+                   	+                  	                   	                  	                       	                        	                  	              	                    	                   	          	                  	                    	                      	                   	                  	                     	                      	                    	           	           	                           	                        	                    	              	                	                  	                    	                    	                 	                        	                       	                       	              	       

