Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spongaster tetras tetras	Pterocanium trilobum	Phormostichoartus corbula	Lamprocyrtis neoheteroporos	Lamprocyrtis heteroporos	Lamprocyclas hannai	Eucyrtidium calvertense	Eucyrtidium anomalum	Didymocyrtis tetrathalamus tetrathalamus	Cycladophora davisiana	Cycladophora cornutoides	Axoprunum angelinum	Amphirhopalum ypsilon	Pterocanium praetextum eucolpum	Actinomma leptodermum	Lamprocyrtis nigriniae	Acanthodesmia viniculata	Theocorythium trachelium trachelium	Lithopera bacca	Pterocanium praetextum praetextum	Comment



  IR	                 	Pleistocene      	RN16              	B invaginata  	175	1075	A	  1	H	CC	  49.00	      1.4700	Motoyama 	Radiolarians                                 	A              	G                 	+                       	+                   	+                        	                           	                        	+                  	                       	+                   	+                                       	+                     	+                       	                   	                     	+                              	+                    	+                     	+                       	+                                  	               	                                 	       

  IR	                 	Pleistocene      	RN16              	B invaginata  	175	1075	A	  2	H	CC	  11.00	     11.2300	Motoyama 	Radiolarians                                 	A              	G                 	                        	+                   	+                        	1                          	                        	+                  	1                      	+                   	+                                       	+                     	+                       	                   	                     	+                              	+                    	+                     	                        	+                                  	               	                                 	       

  IR	                 	Pleistocene      	RN16              	B invaginata  	175	1075	A	  3	H	CC	  16.00	     20.9100	Motoyama 	Radiolarians                                 	A              	G                 	+                       	+                   	+                        	                           	                        	+                  	+                      	+                   	+                                       	1                     	+                       	                   	+                    	+                              	+                    	                      	+                       	+                                  	               	+                                	       

  IR	                 	Pleistocene      	RN16              	B invaginata  	175	1075	A	  4	H	CC	  19.00	     30.2900	Motoyama 	Radiolarians                                 	A              	G                 	                        	+                   	+                        	                           	                        	+                  	1                      	                    	+                                       	+                     	+                       	                   	+                    	+                              	+                    	                      	+                       	+                                  	               	                                 	       

  IR	                 	Pleistocene      	RN16              	B invaginata  	175	1075	A	  5	H	CC	  16.00	     39.9500	Motoyama 	Radiolarians                                 	A              	G                 	+                       	+                   	+                        	                           	                        	+                  	                       	+                   	+                                       	+                     	+                       	                   	+                    	+                              	                     	+                     	+                       	                                   	               	+                                	       

  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1075	A	  6	H	CC	  20.00	     49.4500	Motoyama 	Radiolarians                                 	A              	G                 	+                       	+                   	+                        	                           	                        	+                  	                       	+                   	+                                       	+                     	+                       	+                  	+                    	+                              	                     	+                     	                        	+                                  	+              	                                 	top of A angelinum

  IR	                 	Pleistocene      	A. angulare       	A. angelinum  	175	1075	A	  7	H	CC	  15.00	     59.0500	Motoyama 	Radiolarians                                 	A              	G                 	+                       	+                   	+                        	                           	                        	+                  	1                      	+                   	+                                       	+                     	+                       	+                  	                     	+                              	-                    	+                     	+                       	                                   	               	                                 	       

