Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,normalized_name,taxon_group,verbatim_name,initial_comments,comments
Trachyleberididae indet.,,,,,,,,,,Trachyleberididae indet.,ostracods,Sighted trachyleberidids,,
Trachyleberididae indet.,,,,,,,,,,Trachyleberididae indet.,ostracods,Blind trachyleberidids,,
,,Argilloecia,,,,spp.,,,,Argilloecia spp.,ostracods,Argilloecia spp.,,
,,Bairdoppilata,,,,spp.,,,,Bairdoppilata spp.,ostracods,Bairdoppilata spp.,,
,,Bradleya,,,,spp.,,,,Bradleya spp.,ostracods,Bradleya spp.,,
,,Cletocythereis,,,,rastromarginata,,,,Cletocythereis rastromarginata,ostracods,Cletocythereis rastromarginata,,
,,Cytheralison,,,,sp.,,,,Cytheralison sp.,ostracods,Cytheralison sp.,,
,,Cytherella,,,,sp.,,,,Cytherella sp.,ostracods,Cytherella sp.,,
,,Cytheropteron,,,,spp.,,,,Cytheropteron spp.,ostracods,Cytheropteron spp.,,
,?,Glencoeleberis,,,,sp.,,,,? Glencoeleberis sp.,ostracods,Glencoeleberis? sp.,,
,,Krithe,,,,spp.,,,,Krithe spp.,ostracods,Krithe spp.,,
,?,Oertliella,,,,sp.,,,,? Oertliella sp.,ostracods,Oertliella? sp.,,
,,Poseidonamicus,,,,spp.,,,,Poseidonamicus spp.,ostracods,Poseidonamicus spp.,,
,,Xestoleberis,,,,spp.,,,,Xestoleberis spp.,ostracods,Xestolebris spp.,,
