genus name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank
Rucinolithus,87736,Rucinolithus,genus
Melosira,71289,Melosira,genus
Dictyophyllidites,252445,Dictyophyllidites,genus
Cassidulinella,1066,Cassidulinella,genus
Conococcolithus,,,
Reticulofenestra,255392,Reticulofenestra,genus
Pterocorys,625,Pterocorys,genus
Helicopontosphaera,424493,Helicopontosphaera,genus
Hantkenina,1580,Hantkenina,genus
Lophophaena,566,Lophophaena,genus
Pontosphaera,87680,Pontosphaera,genus
Ceratolithus,424499,Ceratolithus,genus
Lithochytris,556,Lithochytris,genus
Thalassiphora,326018,Thalassiphora,genus
Plagiacantha,85234,Plagiacantha,genus
Gephyrocapsa,421973,Gephyrocapsa,genus
Gyroidina,1566,Gyroidina,genus
Engelhardtia,,,
Corbisema,71282,Corbisema,genus
Micrascidites,,,
Discoaster,87682,Discoaster,genus
Bolivina,995,Bolivina,genus
Theoconus,677,Theoconus,genus
Siphocampe,648,Siphocampe,genus
Miogypsinoides,1863,Miogypsinoides,genus
Distephanus,82180,Distephanus,genus
Cannopilus,82179,Cannopilus,genus
Amphora,387135,Amphora,genus
Leiotriletes,252471,Leiotriletes,genus
Lamprocyclas,544,Lamprocyclas,genus
Globoquadrina,1518,Globoquadrina,genus
Biplanispira,978,Biplanispira,genus
Ceratospyris,85760,Ceratospyris,genus
Spiroclypeus,2584,Spiroclypeus,genus
Lagena,1739,Lagena,genus
Pleurostomella,2162,Pleurostomella,genus
Areosphaeridium,,,
Stylacontarium,85204,Stylacontarium,genus
Islandiella,1679,Islandiella,genus
Nitzschia,82165,Nitzschia,genus
Oolina,1984,Oolina,genus
Stilostomella,2616,Stilostomella,genus
Globigerinoides,1504,Globigerinoides,genus
Helicosphaera,255396,Helicosphaera,genus
Pullenia,2324,Pullenia,genus
Cribrosphaerella,87838,Cribrosphaerella,genus
Denticula,,,
Cibicidoides,1109,Cibicidoides,genus
Tricolpites,250528,Tricolpites,genus
Crucella,84,Crucella,genus
Lenticulina,1763,Lenticulina,genus
Cocconeis,387121,Cocconeis,genus
Carpocanopsis,457,Carpocanopsis,genus
Cassidulina,168467,Cassidulina,suborder
Tholodiscus,84848,Tholodiscus,genus
Anthocyrtella,85907,Anthocyrtella,genus
Theocorythium,86224,Theocorythium,genus
Rhizosolenia,71270,Rhizosolenia,genus
Melonis,1836,Melonis,genus
Dorcadospyris,505,Dorcadospyris,genus
Stephanopyxis,71276,Stephanopyxis,genus
Globigerina,1498,Globigerina,genus
Pseudopyxilla,71219,Pseudopyxilla,genus
Spirillina,2582,Spirillina,genus
Asterolampra,432982,Asterolampra,genus
Ellipsoidella,1335,Ellipsoidella,genus
Dictyocha,71284,Dictyocha,genus
Compositae,54741,Compositae,family
Eucyrtidium,515,Eucyrtidium,genus
Deltoidospora,252475,Deltoidospora,genus
Coscinodiscus,71292,Coscinodiscus,genus
Dictyophimus,499,Dictyophimus,genus
Dentalina,1260,Dentalina,genus
Cenosphaera,64,Cenosphaera,genus
Globorotalia,1521,Globorotalia,genus
Lyramula,71285,Lyramula,genus
Acalypha,54674,Acalypha,genus
Suggrunda,2633,Suggrunda,genus
Cussia,82153,Cussia,genus
Trochoaster,416121,Trochoaster,genus
Denticulopsis,432810,Denticulopsis,genus
Turborotalia,2739,Turborotalia,genus
Alabamina,788,Alabamina,genus
Triceraspyris,111598,Triceraspyris,genus
Thecosphaera,367,Thecosphaera,genus
Nodosaria,1952,Nodosaria,genus
Astrophacus,34,Astrophacus,genus
Triceratium,71278,Triceratium,genus
