normalized_name,Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,comments,taxon_group
Dinoflagellata indet.,Dinoflagellata indet.,,,,,,,,,,calcispheres,nannofossils
Coccolithophyceae indet.,Coccolithophyceae indet.,,,,,,,,,,reworked taxa,nannofossils
Coccolithophyceae indet.,Coccolithophyceae indet.,,,,,,,,,,Nannofossil fragments,nannofossils
Coccolithophyceae indet.,Coccolithophyceae indet.,,,,,,,,,,Reworked species,nannofossils
Dinoflagellata indet.,Dinoflagellata indet.,,,,,,,,,,Calcisphere,nannofossils
Dinoflagellata indet.,Dinoflagellata indet.,,,,,,,,,,Calcispheres,nannofossils
Cyclicargolithus cf. floridanus,,,Cyclicargolithus,,,cf.,floridanus,,,,,nannofossils
Ahmuellerella octoradiata,,,Ahmuellerella,,,,octoradiata,,,,,nannofossils
Algirosphaera robusta,,,Algirosphaera,,,,robusta,,,,,nannofossils
Amaurolithus amplificus,,,Amaurolithus,,,,amplificus,,,,,nannofossils
Amaurolithus bizarrus,,,Amaurolithus,,,,bizarrus,,,,,nannofossils
Amaurolithus delicatus,,,Amaurolithus,,,,delicatus,,,,,nannofossils
Amaurolithus primus,,,Amaurolithus,,,,primus,,,,,nannofossils
Amaurolithus spp.,,,Amaurolithus,,,,spp.,,,,,nannofossils
Amaurolithus tricorniculatus,,,Amaurolithus,,,,tricorniculatus,,,,,nannofossils
Arkhangelskiella cymbiformis,,,Arkhangelskiella,,,,cymbiformis,,,,,nannofossils
Arkhangelskiella maastrichtiensis,,,Arkhangelskiella,,,,maastrichtiensis,,,,,nannofossils
Arkhangelskiella sp.,,,Arkhangelskiella,,,,sp.,,,,,nannofossils
Arkhangelskiella specillata,,,Arkhangelskiella,,,,specillata,,,,,nannofossils
Tunicata indet.,Tunicata indet.,,,,,,,,,,,nannofossils
Axopodorhabdus biramiculatus,,,Axopodorhabdus,,,,biramiculatus,,,,,nannofossils
Axopodorhabdus cylindratus,,,Axopodorhabdus,,,,cylindratus,,,,,nannofossils
Biantholithus sparsus,,,Biantholithus,,,,sparsus,,,,,nannofossils
? Biantholithus flosculus,,?,Biantholithus,,,,flosculus,,,,,nannofossils
Biscutum sp.,,,Biscutum,,,,sp.,,,,,nannofossils
Biscutum castrorum,,,Biscutum,,,,castrorum,,,,,nannofossils
Biscutum constans,,,Biscutum,,,,constans,,,,,nannofossils
Biscutum coronum,,,Biscutum,,,,coronum,,,,,nannofossils
Biscutum dissimilis,,,Biscutum,,,,dissimilis,,,,,nannofossils
Biscutum ellipticum,,,Biscutum,,,,ellipticum,,,,,nannofossils
Biscutum magnum,,,Biscutum,,,,magnum,,,,,nannofossils
Biscutum spp.,,,Biscutum,,,,spp.,,,,,nannofossils
Biscutum ubiquens,,,Biscutum,,,,ubiquens,,,,,nannofossils
Blackites amplus,,,Blackites,,,,amplus,,,,Blackites amplus bases,nannofossils
Blackites creber,,,Blackites,,,,creber,,,,,nannofossils
Blackites gladius,,,Blackites,,,,gladius,,,,,nannofossils
Blackites herculesii,,,Blackites,,,,herculesii,,,,,nannofossils
Blackites inflatus,,,Blackites,,,,inflatus,,,,,nannofossils
Blackites spinosus,,,Blackites,,,,spinosus,,,,,nannofossils
Blackites spp.,,,Blackites,,,,spp.,,,,,nannofossils
Blackites tenuis,,,Blackites,,,,tenuis,,,,,nannofossils
Bomolithus elegans,,,Bomolithus,,,,elegans,,,,,nannofossils
Bomolithus megastypus,,,Bomolithus,,,,megastypus,,,,,nannofossils
Braarudosphaera bigelowii,,,Braarudosphaera,,,,bigelowii,,,,,nannofossils
Bramletteius serraculoides,,,Bramletteius,,,,serraculoides,,,,,nannofossils
Broinsonia enormis,,,Broinsonia,,,,enormis,,,,,nannofossils
Broinsonia furtiva,,,Broinsonia,,,,furtiva,,,,,nannofossils
Broinsonia galloisii,,,Broinsonia,,,,galloisii,,,,,nannofossils
Broinsonia parca constricta,,,Broinsonia,,,,parca,,constricta,,,nannofossils
Broinsonia parca parca,,,Broinsonia,,,,parca,,parca,,,nannofossils
Broinsonia parca ssp expansa,,,Broinsonia,,,,parca,,expansa,,Broinsonia parca ssp expansa,nannofossils
Broinsonia signata,,,Broinsonia,,,,signata,,,,,nannofossils
Broinsonia viriosa,,,Broinsonia,,,,viriosa,,,,,nannofossils
Calcicalathina alta,,,Calcicalathina,,,,alta,,,,,nannofossils
Calcidiscus carlae,,,Calcidiscus,,,,carlae,,,,,nannofossils
Calcidiscus leptoporus,,,Calcidiscus,,,,leptoporus,,,,,nannofossils
Calcidiscus leptoporus (5-8 microns),,,Calcidiscus,,,,leptoporus,,,5-8 microns,,nannofossils
Calcidiscus leptoporus (<5 microns),,,Calcidiscus,,,,leptoporus,,,<5 microns,,nannofossils
Calcidiscus leptoporus (>8 micron),,,Calcidiscus,,,,leptoporus,,,>8 microns,,nannofossils
Calcidiscus macintyrei,,,Calcidiscus,,,,macintyrei,,,,,nannofossils
