leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
15,149,,2,1,0.0,150.0,1.00,1.00,2.50,, PTEROPOD FORAM OOZE, 10YR6/4-LIGHT YELLOWISH BROW N,, SLIGHTLY DISTURBED 0-50 CM,, MN.OX," PTEROPOD SH ELLS PATICULARLY ABUNDANT AT 50 CM,SOME SLIGHTLY COV ERED WITH MN.OX",, VERY SOFT, 11111210.1221
15,149,,2,2,0.0,105.0,1.00,2.50,3.55,, FORAM OOZE, 10YR6/4-LIGHT YELLOWISH BROWN,,,,,," SEDIM ENT IS HOMOGENOUS THROUGHOUT,BELOW 105 CM IS GEOCHEM SAMPLE", VERY SOFT IN UPPER PART TO SOFT IN BOTTOM, 00000000
15,149,,2,3,0.0,150.0,1.00,4.00,5.50,, FORAM OOZE," 10YR7/4-GREYISH ORANGE,10YR5/4-MODERA TE YELLOWISH BROWN",,,, MANGANESE,," GRAYISH ORANGE TO Y ELLOWISH BROWN ASSOCIATED WITH ABUNDANT MANGANESE BL OTCHES,98-121 AND 138-150 IS 10YR5/4 WHILE 121-138 C M IS 10YR7/4", VERY SOFT, 00000000
15,149,,2,4,0.0,150.0,1.00,5.50,7.00,, FORAM OOZE," 10YR7/4-GRAYISH ORANGE,10YR6/4-YELLOW ISH BROWN",, SLIGHTLY DISTURBED,,,, 0-51 AND 82-150 CM IS 10YR7/4 WHILE 51-82 CM IS 10YR6/4, VERY SOFT, 00000000
15,149,,2,5,0.0,105.0,1.00,7.00,8.05,, FORAM OOZE," 10YR7/4-GRAYISH ORANGE,10YR6/4-MODERA TE YELLOWISH BROWN",,, MN.OX BLOTCHES THROUGHOUT, MN. OX,, BELOW 105 GEOCHEM SAMPLE, SOFT, 00000000
15,149,,2,6,0.0,150.0,1.00,8.50,10.00,, FORAM OOZE," 10YR7/4-GRAYISH ORANGE,10YR5/4-MODERA TE YELLOWISH BROWN",,, MN.OXIDE SPRECKLES IN LOWER ZON E,,, TWO 10YR5/4 BANDS AT 29-31 AND 107-109 CM, SOFT, 00000000
15,149,,3,1,72.0,150.0,10.00,10.72,11.50,, FORAM OOZE, 10YR7/4-GRAYISH ORANGE,,, MN.OX BLOTCH ES IN UPPER ZONE,,, GEOCHEM SAMPLE 0-72 CM, VERY SOF T, 00000000
15,149,,3,2,0.0,150.0,10.00,11.50,13.00,, FORAM OOZE," 10YR7/4-GRAYISH ORANGE,5Y6/1-LIGHT OL IVE GRAY",,,,,, HOMOGENOUS, VERY SOFT, 00000000
15,149,,3,3,40.0,150.0,10.00,13.40,14.50,, FORAM OOZE, 10YR7/4-GRAYISH ORANGE,,,,,," VERY SLIGHTL Y GREENISH IN UPPER PART,HOMOGENOUS,GEOCHEMICAL SAMP LE 0-40CM", VERY SOFT, 00000000
15,149,,3,4,0.0,150.0,10.00,14.50,16.00,, FORAM OOZE, 10YR7/4-GRAYISH ORANGE,,,,,, HOMOGENOUS T HROUGHOUT, VERY SOFT, 00000000
15,149,,3,5,0.0,75.0,10.00,16.00,16.75,, FORAM OOZE, 10YR6/4-GRAYISH ORANGE,,,,,," HOMOGENOUS,G EOCHEM SAMPLE 75-150 CM", VERY SOFT, 00000000
15,149,,3,6,0.0,150.0,10.00,17.50,19.00,, FORAM OOZE, 10YR7/4-GRAYISH ORANGE,,,,,," INTERBEDDED ZONES SLIGHTLY PINKISH AND FIRMER,GRAYISH SHADE BELO W 90 CM"," SOFT,PLASTIC", 00000000
15,149,,4,1,42.0,150.0,19.00,19.42,20.50,, FORAM OOZE," 10YR8/4-GRAYISH ORANGE,10YR6/4",, SLIG HTLY DISTURBED,,,, 42-78 AND 118-150 CM IS 10YR8/4 WHI LE 78-118 IS 10YR6/4, SOFT, 00000000
15,149,,4,2,0.0,150.0,19.00,20.50,22.00,, FORAM OOZE," 10YR7/4-GRAYISH ORANGE,10YR5/4-MODERA TE YELLOWISH BROWN,-SLIGHTLY GREENISH", FAINT BURROW MOTTLING IN LOWER 20CM,,,,, SLIGHT SHADE CHANGE TOWARD MODERATE YELLOWISH BROWN AND SLIGHTLY GREENISH BY Z ONES, SOFT, 00000000
15,149,,4,3,0.0,105.0,19.00,22.00,23.05,, FORAM OOZE, 10YR7/4-GRAYISH ORANGE,,,,,," HOMOGENOUS,F EW PLACES RICHER IN FORAM 58-65 CM,GEOCHEM SAMPLE 10 5-150 CM", MODERATELY SOFT, 00000000
15,149,,4,4,0.0,150.0,19.00,23.50,25.00,, FORAM OOZE," 10YR7/4-GRAYISH ORANGE,-SLIGHTLY GREE NISH",,,,,, INTERBEDDED GREENISH ZONES," SOFT,PLASTIC", 00000000
15,149,,4,5,0.0,150.0,19.00,25.00,26.50,, FORAM OOZE," 10YR7/4-GRAYISH ORANGE,-LIGHT OLIVE G RAY",,,, HYDRO,," GRAYISH ORANGE CHANGING TOWARD LIGHT O LIVE GRAY,LIGHTER ZONES VERY RICH IN HYDRO IN UPPER AND BOTTOM SEC BELOW 60 CM",, 00000000
15,149,,5,1,60.0,138.0,28.00,28.60,29.38,, FORAM OOZE," 10YR7/4-GRAYISH ORANGE,-GREENISH GRAY ZONES",, SLIGHTLY DISTURBED,, HYDRO,," ABUNDANT HYDRO IN LOWER ZONE BELOW 122CM,INTERBEDDED SLIGHTLY GREE NISH GRAY ZONES", MODERATELY SOFT, 00000000
15,149,,5,2,0.0,150.0,28.00,29.50,31.00,, FORAM OOZE," 10YR7/4-GRAYISH ORANGE,5GY6/1-GREENIS H GRAY",,,, HYDRO,," HYDRO STAINING IS ABUNDANT IN BOTTO M 40 CM,MUCH LESS TOWARD UPPER ZONE"," SOFT,PLASTIC", 00000000
15,149,,5,3,0.0,105.0,28.00,31.00,32.05,, FORAM OOZE," 10YR7/4-GRAYISH ORANGE,5GY6/1-GREENIS H GRAY",,,, HYDRO,," COLOR CLOSER TO GREENISH GRAY,BELOW 105CM GEOCHEM SAMPLE,HYDRO STAINING ABUNDANT THROUG HOUT", SOFT, 00000000
15,149,,5,4,0.0,141.0,28.00,32.50,33.91,, FORAM CHALK," 5Y5/2-LIGHT OLIVE GRAY,5GY6/1-GREENI SH GRAY",,,, HYDRO,," HYDRO ABUNDANT ESPECIALLY AT 50-60 94-100 AND 133-138CM,GEOCHEM SAMPLE 138-150 CM"," SO FT,PLASTIC", 00000000
15,149,,5,5,0.0,150.0,28.00,34.00,35.50,, FORAM CHALK," 5Y5/2-LIGHT OLIVE GRAY,5GY6/1-GREENI SH GRAY",,,, HYDRO,," HOMOGENOUS,HYDRO STAINING OCCURS I N ABUNDANCE"," SOFT,PLASTIC", 00000000
15,149,,6,1,0.0,37.0,37.00,37.00,37.37,, FORAM CHALK," 5Y6/2-LIGHT OLIVE GRAY,5GY6/1-GREENI SH GRAY",,,, HYDRO,," LIGHT OLIVE GRAY TO GREENISH GRAY, HYDRO STAINING 28-30 CM"," SOFT,PLASTIC", 00000000
15,149,,6,2,8.0,150.0,37.00,38.58,40.00,, FORAM CHALK," 5Y6/2-LIGHT OLIVE GRAY,-DUSKY BLUE",,,, HYDRO, FORAM RICH LAYER 84-86CM, INTERBEDDED DUSK Y BLUE LAMINAE OF HYDRO THROUGHOUT,, 11121221
15,149,,6,3,0.0,150.0,37.00,40.00,41.50,, FORAM CHALK," 5Y6/2-LIGHT OLIVE GRAY,5Y6/4-DUSKY Y ELLOW",,,, HYDRO,," SLIGHTLY DUSKY YELLOW IN OXIDIZED HY DRO RICH ZONE,HYDRO VERY EVIDENT AT 49-51 CM",, 11121221
15,149,,6,4,0.0,150.0,37.00,41.50,43.00,, FORAM CHALK, 5Y6/2-LIGHT OLIVE GRAY,,,, HYDRO,, HYD RO STAINING OCCURS THROUGHOUT," FIRM,PLASTIC", 11121221
15,149,,6,5,0.0,146.0,37.00,43.00,44.46,, FORAM CHALK," 5Y5/2-LIGHT OLIVE GRAY,5GY6/1-GREENI SH GRAY,5Y6/4-DUSKY YELLOW",, SLIGHT DISTURBANCES 20- 34 CM,,,, DUSKY YELLOW TOWARDS BOTTOM DUE TO DIFUSED H YDRO," FIRM,PLASTIC", 11121221
15,149,,6,6,0.0,150.0,37.00,44.50,46.00,, FORAM CHALK," 5Y6/2-LIGHT OLIVE GRAY,5Y6/1,5PB3/2- DUSKY BLUE",, SLIGHTLY DISTURBED,, HYDRO,," DUSKY BLUE HYDRO RICH ZONES,DUSKY YELLOW RUSTED HYDRO BLOTCHES THROUGHOUT"," FIRM,PLASTIC", 11121221
15,149,,7,1,0.0,105.0,46.00,46.00,47.05,, FORAM CHALK," 5Y6/2-LIGHT OLIVE GRAY,5Y6/1-LIGHT O LIVE GRAY",, DISTURBED THROUGHOUT,,,,, SOFT, 11121221
15,149,,7,2,0.0,105.0,46.00,47.50,48.55,, FORAM CHALK, 5Y6/2-LIGHT OLIVE GRAY,, DISTURBED,, HYDRO,," FLOW IN VERY SLIGHTLY APPARENT THROUGHOUT,G EOCHEM SAMPLE BELOW 105 CM"," SOFT,PLASTIC", 11121221
15,149,,7,3,0.0,150.0,46.00,49.00,50.50,, FORAM CHALK, 5Y6/2-LIGHT OLIVE GRAY,, DISTURBED I N FLOW IN PATTERN THROUGHOUT,, HYDRO,, ABUNDANT HYDR O LAMINAE ARE DISTORTED ALONG WITH THE DISTURBANCES," SOFT,PLASTIC", 11121221
15,149,,7,4,0.0,25.0,46.00,50.50,50.75,, FORAM CHALK, 5Y6/2-LIGHT OLIVE GRAY,, VERY DISTUR BED THROUGHOUT,,,,," SOFT,PLASTIC", 11121221
15,149,,7,5,0.0,150.0,46.00,52.00,53.50,, FORAM CHALK, 5Y6/2-LIGHT OLIVE GRAY,, VERY DISTUR BED THROUGHOUT,, HYDRO," PLANKTONIC FORAM,OSTRAEOD A ND ETHINOID SPINES VERY NEGLIGABLE",, SOFT TO SOUPY P LASTIC, 11121221
15,149,,7,6,0.0,150.0,46.00,53.50,55.00,, FORAM CHALK, 5Y6/2-LIGHT OLIVE GRAY,, VERY DISTUR BED,, HYDRO,, DISPERSED HYDRO ABUNDANT," SOFT,PLASTI C", 11121221
