leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
18,176,,1,1,60.0,62.0,0.00,0.61, 4,"INGLE,J.C.",06/1973,18,PLANKTONIC FORAMINIFERA,COMMON,,,GOOD,NO AGE GIVEN,548,FGLOG0115,Globigerina bulloides bulloides,21%,  ,1
18,176,,1,1,60.0,62.0,0.00,0.61, 4,"INGLE,J.C.",06/1973,18,PLANKTONIC FORAMINIFERA,COMMON,,,GOOD,NO AGE GIVEN,548,FGLOG0130,Globigerina bulloides quadrilatera,10%,  ,1
18,176,,1,1,60.0,62.0,0.00,0.61, 4,"INGLE,J.C.",06/1973,18,PLANKTONIC FORAMINIFERA,COMMON,,,GOOD,NO AGE GIVEN,548,FGLOG0575,Globigerina pachyderma,66%,  ,1
18,176,,1,1,60.0,62.0,0.00,0.61, 4,"INGLE,J.C.",06/1973,18,PLANKTONIC FORAMINIFERA,COMMON,,,GOOD,NO AGE GIVEN,548,FGLOG0670,Globigerina quinqueloba,3%,  ,1
18,176,,1,1,62.0,64.0,0.00,0.63, 1,"INGLE,J.C.",06/1973,18,PLANKTONIC FORAMINIFERA,RARE,,,GOOD,NO AGE GIVEN,548,FGLOG0575,Globigerina pachyderma,PRESENT,  ,1
18,176,,1,3,56.0,58.0,0.00,3.57, 5,"INGLE,J.C.",06/1973,18,PLANKTONIC FORAMINIFERA,COMMON,,,GOOD,NO AGE GIVEN,548,FGLOG0115,Globigerina bulloides bulloides,22%,  ,1
18,176,,1,3,56.0,58.0,0.00,3.57, 5,"INGLE,J.C.",06/1973,18,PLANKTONIC FORAMINIFERA,COMMON,,,GOOD,NO AGE GIVEN,548,FGLOG0130,Globigerina bulloides quadrilatera,9%,  ,1
18,176,,1,3,56.0,58.0,0.00,3.57, 5,"INGLE,J.C.",06/1973,18,PLANKTONIC FORAMINIFERA,COMMON,,,GOOD,NO AGE GIVEN,548,FGLOG0140,Globigerina bulloides umbilicata,3%,  ,1
18,176,,1,3,56.0,58.0,0.00,3.57, 5,"INGLE,J.C.",06/1973,18,PLANKTONIC FORAMINIFERA,COMMON,,,GOOD,NO AGE GIVEN,548,FGLOG0575,Globigerina pachyderma,44%,  ,1
18,176,,1,3,56.0,58.0,0.00,3.57, 5,"INGLE,J.C.",06/1973,18,PLANKTONIC FORAMINIFERA,COMMON,,,GOOD,NO AGE GIVEN,548,FGLOG0670,Globigerina quinqueloba,23%,  ,1
