leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
54,420,,4,5,123.0,125.0,23.50,30.74, 2,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0013,Dictyocha aculeata subaculeata,PRESENT,  ,1
54,420,,4,5,123.0,125.0,23.50,30.74, 2,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SMESO0280,Mesocena quadrangula,PRESENT,  ,1
54,420,,5,2,122.0,124.0,33.00,35.73, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0118,Dictyocha calida ampliata,PRESENT,  ,1
54,420,,5,2,122.0,124.0,33.00,35.73, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0119,Dictyocha calida calida,PRESENT,  ,1
54,420,,5,2,122.0,124.0,33.00,35.73, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0520,Dictyocha perlaevis perlaevis,PRESENT,  ,1
54,420,,5,2,122.0,124.0,33.00,35.73, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0690,Dictyocha stapedia stapedia,PRESENT,  ,1
54,420,,5,2,122.0,124.0,33.00,35.73, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SMESO0280,Mesocena quadrangula,PRESENT,  ,1
54,420,,6,1,121.0,123.0,42.50,43.72, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0013,Dictyocha aculeata subaculeata,22%,  ,1
54,420,,6,1,121.0,123.0,42.50,43.72, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0520,Dictyocha perlaevis perlaevis,2%,  ,1
54,420,,6,1,121.0,123.0,42.50,43.72, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDICT0690,Dictyocha stapedia stapedia,20%,  ,1
54,420,,6,1,121.0,123.0,42.50,43.72, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SDIST0580,Distephanus speculum speculum,1%,  ,1
54,420,,6,1,121.0,123.0,42.50,43.72, 5,"BUKRY,D.",12/1980,54,SILICOFLAGELLATES,,,,,NO AGE GIVEN,548,SMESO0280,Mesocena quadrangula,55%,  ,1
