leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BANGL0012,Angulogerina carinata,1%,  ,1
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0011,Bolvina sp. (q),1%,  ,1
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0157,Bolivina humilis,1%,  ,1
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0222,Bolivina peirsonae,1%,  ,1
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0227,Bolivina plicata,1%,  ,1
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0294,Bolivina seminuda (q),6%,  ,1
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0294,Bolivina seminuda (q),6%,  ,1
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0311,Bolivina subadvena,4%,  ,1
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0312,Bolivina subadvena(q),7%,  ,1
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0348,Bolivina tongi filacostata,1%,  ,1
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBRIZ0022,Brizalina argentea,5%,  ,2
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBRIZ0023,Brizalina argentea (q),2%,  ,2
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBRIZ0050,Brizalina interjuncta bicostata,6%,  ,2
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBRIZ0150,Brizalina spissa,1%,  ,2
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBULI0118,Bulimina denudata,1%,  ,2
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBULI0275,Bulimina mexicana,2%,  ,2
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBULM0018,Buliminella curta,4%,  ,2
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBULM0110,Buliminella tenuata,5%,  ,2
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BCANC0002,Cancris sp.,1%,  ,2
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BCASD0009,Cassidulinoides sp. (q),1%,  ,2
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BCASI0011,Cassidulina sp. (q),1%,  ,3
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BCASI0177,Cassidulina subcarinita,2%,  ,3
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BCASI0223,Cassidulina tumida,4%,  ,3
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BELPI0010,Elphidium sp.,1%,  ,3
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BEPIT0065,Epistominella smithi,4%,  ,3
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BFURS0015,Fursenkoina cornuta,4%,  ,3
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BFURS0042,Fursenkoina rotundata,1%,  ,3
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BGLOB0011,Globobulimina affinis (q),1%,  ,3
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BGYRO0008,Gyroidina sp. (q),1%,  ,3
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BGYRO0145,Gyroidina multilocula,1%,  ,3
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BHANZ0027,Hanzawaia nitidula,1%,  ,4
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BISLA0002,Islandiella cushmani,9%,  ,4
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BLOXS0030,Loxostomum pseudobeyrichi,5%,  ,4
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BNONO0043,Nonionella basiloba,1%,  ,4
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BORID0030,Oridorsalis umbonatus,1%,  ,4
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BPARG0010,Paraglobobulimina barbate,1%,  ,4
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BPLAL0085,Planulina sp.,1%,  ,4
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BPSEI0003,Pseudononion basispinatum,1%,  ,4
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BPSER0010,Pseudoparrella bradyana,1%,  ,4
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BPSER0020,Pseudoparrella exigua,2%,  ,4
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BPSER0030,Pseudoparrella obesa,1%,  ,5
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BPSER0040,Pseudoparrella sp.,1%,  ,5
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BROSA0010,Rosalina sp.,1%,  ,5
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BSIGM0050,Sigmoilina tenuis,1%,  ,5
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BSUGG0020,Suggrunda eekisi,1%,  ,5
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BUVIG0140,Uvigerina peregrina,5%,  ,5
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BVALL0011,,1%,  ,5
64,481,A,1,1,36.0,38.0,42.00,42.37,48,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BVALL0065,Valvulineria inflata,1%,  ,5
64,481,A,1,CC,,,42.00,45.10,10,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0157,Bolivina humilis,4%,  ,1
64,481,A,1,CC,,,42.00,45.10,10,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0294,Bolivina seminuda (q),9%,  ,1
64,481,A,1,CC,,,42.00,45.10,10,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0294,Bolivina seminuda (q),5%,  ,1
64,481,A,1,CC,,,42.00,45.10,10,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0312,Bolivina subadvena(q),5%,  ,1
64,481,A,1,CC,,,42.00,45.10,10,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBULI0118,Bulimina denudata,2%,  ,1
64,481,A,1,CC,,,42.00,45.10,10,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBULM0018,Buliminella curta,60%,  ,1
64,481,A,1,CC,,,42.00,45.10,10,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BFURS0015,Fursenkoina cornuta,3%,  ,1
64,481,A,1,CC,,,42.00,45.10,10,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BGLOB0075,Globobulimina sp.,2%,  ,1
64,481,A,1,CC,,,42.00,45.10,10,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BISLA0002,Islandiella cushmani,2%,  ,1
64,481,A,1,CC,,,42.00,45.10,10,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BORID0030,Oridorsalis umbonatus,2%,  ,1
64,481,A,2,1,75.0,77.0,51.50,52.26,49,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BAMMN0022,Ammonia beccarii (q),2%,  ,1
64,481,A,2,1,75.0,77.0,51.50,52.26,49,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0157,Bolivina humilis,1%,  ,1
64,481,A,2,1,75.0,77.0,51.50,52.26,49,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0222,Bolivina peirsonae,2%,  ,1
64,481,A,2,1,75.0,77.0,51.50,52.26,49,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0294,Bolivina seminuda (q),6%,  ,1
64,481,A,2,1,75.0,77.0,51.50,52.26,49,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0294,Bolivina seminuda (q),9%,  ,1
64,481,A,2,1,75.0,77.0,51.50,52.26,49,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0294,Bolivina seminuda (q),8%,  ,1
64,481,A,2,1,75.0,77.0,51.50,52.26,49,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBOLI0312,Bolivina subadvena(q),1%,  ,1
64,481,A,2,1,75.0,77.0,51.50,52.26,49,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBRIZ0017,Brizalina acutuula,1%,  ,1
64,481,A,2,1,75.0,77.0,51.50,52.26,49,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBRIZ0022,Brizalina argentea,2%,  ,1
64,481,A,2,1,75.0,77.0,51.50,52.26,49,MATOBA,10/1982,64,BENTHIC FORAMINIFERA,,,,,NO AGE GIVEN,1043,BBUCC0020,Buccella frigida,1%,  ,1
