leg,site,hole,core,section,top interval depth(cm),top of core depth(cm),top of section(m),sample midpoint depth(m),describer,rock name,piece numbers,texture data,structure data,alteration data,other information data,vesicle data,phenocryst data,groundmass mineral data,replacement mineral data,comments,unknown code
64,481,A,14,4,0.0,165.50,170.00,  170.55,"SAUNDERS, A.",SEDIMENT,,,,,,,,,,,
64,481,A,14,4,55.0,165.50,170.55,  170.86,"SAUNDERS, A.",APHYRIC BASALT,PCE A (55-86),"QUENCHED BASALT(NOT GLASSY),2-3MM SELVAGE OF DEVITRIFIED(?) GLASS AT 55CM,APHYRIC,APHANITIC",MINOR CLAY & RARE CALCITE VEINING NORMAL & PARALLEL TO CONTACT,MOD 10% OF ROCK PROBABLY ALTERATION ZONES,"2-3MM BLACK PATCHES,PCE A IS INTRUSIVE UNIT 1",,,,CLAY | CALCITE  RARE,,
64,481,A,14,4,86.0,165.50,170.86,  170.95,"SAUNDERS, A.",INTERCALATED SEDIMENT,,,,,,,,,,,
64,481,A,14,4,96.0,165.50,170.96,  171.24,"SAUNDERS, A.",BASALT,PCE B (96-124),"APHANITIC TO FINE-GRAINED,GRADATIONAL GRAINSIZE FROM APHANITIC TO FINE-GRAINED TO APHANITIC WHICH INDICATES CHILLING AGAINST INTERCALATED SEDIMENT",ONE CALCITE VEIN,,PCE B IS INTRUSIVE UNIT 2,,,,CALCITE,,
64,481,A,14,4,125.0,165.50,171.25,  171.35,"SAUNDERS, A.",SEDIMENT,,,,,,,,,,,
64,481,A,14,CC,0.0,165.50,171.45,  171.55,"SAUNDERS, A.",APHYRIC BASALT OR DOLERITE,PCE NO PCE NUMBERS ASSIGNED,"MEDIUM TO COARSE-GRAINED(GRAINSIZE 1-2MM),APHYRIC",,"comments: FELDSPAR GREEN-TINTED INDICATING ALTERATION, DEVELOPMENT OF FIBROUS TEXTURE IN ALTERED MINERALS",0-20CM BEGINNING OF INTRUSIVE UNIT 3,,,CHLOR comments : ID CHLOR UNCERTAIN | PYX comments : APPEAR FRESH,CHLOR,,
64,481,A,15,1,0.0,175.00,175.00,  175.52,"SAUNDERS, A.",APHYRIC BASALTDOLERITE,"PCE 1A (0-10), 1B (10-16), 1C (15-21), 1D (22-25), 1E (27-30), 1F (30-36), 1G (36-44), 1H (43-50)","PCE 1A APHYRIC BASALT GRADING TO DOLERITE AT BOTTOM, PCES 1B-1F SIMILAR TO BASAL PORTION OF PCE 1A WITH GRAINSIZE INCREASING TO MAXIMUM OF 2-3MM IN PCE 1F, PCES 1G-1I GRADATIONAL FROM DOLERITE TO APHANITIC (CHILLED) BASALT WITH A SEDIMENT-BASALT CONTACT AT PCE 1I","PCE 1A 1-2MM LIGHT GRAY VEIN FILLED WITH CLAY(?) & ZEOL(NO CALCITE),PCES 1B-1F MINOR VEINS COMMON BUT NO CALCITE",SLIGHTLY PCE 1A SLIGHT ALTERATION TO CLAY MINERAL | MOD INCREASING ALTERATION DOWNWARD,"MEDIUM-LIGHT GRAY(N5-DRY),PCES 1A-1I ARE CONTINUATION OF INTRUSIVE UNIT 3",,,PYX | PLAG,CLAY comments :  ID CLAY UNCERTAIN | ZEOL,,
64,481,A,15,1,52.0,175.00,175.52,  175.64,"SAUNDERS, A.",SEDIMENT,,,,,,,,,,,
64,481,A,15,1,64.0,175.00,175.64,  176.10,"SAUNDERS, A.",APHYRIC BASALTAPHYRIC DOLERITE,"PCES 1K (64-71), 1L (72-76), 1M (75-83), 1N (82-91), 1O (91-105), 1P (102-110)",APYRIC BASALT GRADING FROM APHANITIC ADJACENT TO SEDIMENT TO DOLERITE IN CENTER(PCES 1L-1O),VEINED(WITHOUT CALCITE),MOD ES 1K-1P MAKE UP INTRUSIVE UNIT 4,,,,,,,
64,481,A,15,1,109.0,175.00,176.09,  176.18,"SAUNDERS, A.",SEDIMENT,,,,,,,,,,,
