leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
7,63,B,1,1,0.0,150.0,11.00,11.00,12.50,, CALCAREOUS SILICEOUS PELAGIC CLAY," 5Y5/4-OLIVE BR OWN,5Y6-5/3-DUSKY YELLOW,5Y4/2-DARK OLIVE BROWN", MO TTLES," 0-82 CM SOMEWHAT CONTORTED,82-150 CM SEVEREL Y CONTORTED",,, RADIOLARIANS ?," OLIVE BROWN WITH STRO NG MOTTLING OF DUSKY YELLOW AND DARK OLIVE BROWN,RAT HER SUGAREY TEXTURE BELOW 97 CM DUE TO MORE RADIOLAR IANS ?", SOFT, 00000000
7,63,B,1,2,0.0,150.0,11.00,12.50,14.00,, CALCAREOUS SILICEOUS PELAGIC CLAY," 5Y7/3-YELLOWIS H GREY,5Y5-5/3-DUSKY YELLOW,2.5Y4/2-BROWN,5Y5/3-OLIV E YELLOW", MOTTLING, DISTURBED THROUGHOUT,,,," 0-53 CM ABOUT EQUAL PARTS OF YELLOWISH GREY AND DUSKY YELLO W WITH MINOR BROWN,53-110 CM DOMINANTLY DUSKY YELLOW WITH MODERATE MOTTLING OF COLORS IN 0-53 CM SECTION ,110-150 CM OLIVE YELLOW WITH LESSER BROWN AND YELLO WISH GREY,PROBABLY STRONGLY MOTTLED ORIGINALLY,5-53 CM AND 98-150 CM INTENSELY DEFORMED", SOFT, 00000000
7,63,B,1,3,0.0,150.0,11.00,14.00,15.50,, PELAGIC CLAY," 5Y6/2-LIGHT OLIVE,2.5Y6/4-DUSKY YEL LOW,5Y7/3-DUSKY YELLOW,5Y2/2-DARK OLIVE GREY", MOTTL ES, INTENSELY DEFORMED 0-10 CM AND 25-135 CM,,,," PATC H OF LIGHT OLIVE 35-50 CM,PATCH OF DARK OLIVE GREY 9 5-100 CM,BASICALLY CONTORTED,ORIGINALLY GREATLY MOTT LED DUSKY YELLOW AND DUSKY YELLOW", SOFT, 00000000
7,63,B,1,4,0.0,150.0,11.00,15.50,17.00,, PELAGIC CLAY," 5Y6/2-LIGHT OLIVE,2.5Y6/4-DUSKY YEL LOW,5Y7/3-DUSKY YELLOW,5Y2/2-DARK OLIVE", MOTTLES,,,,," PATCH OF LIGHT OLIVE 0-5 CM,SEE PREVIOUS SECTION FOR INFORMATION", SOFT, 00000000
7,63,B,2,1,0.0,150.0,20.00,20.00,21.50,, PELAGIC BROWN CLAY AND NANNO MARL OOZE," 5Y6/4-DUS KY YELLOW,5Y4/4-MODERATE OLIVE BROWN,5Y6/1-GREENISH GREY,5GY6/2-YELLOW GREEN", CONTACT NEAR 75 CM, INTE NSELY DEFORMED,,,," UPPER PART MAINLY DUSKY YELLOW TO M ODERATE OLIVE BROWN CLAY IN CONTORTED NEAR/VERTICAL FLOW BANDS CAUSED BY CORING PROCESS,BOTTOM PART MAIN LY GREENISH GREY TO MODERATE YELLOW GREEN CALCAREOUS MUD OR MARL OOZE AND ALSO HIGHLY CONTORTED,CONTACT NEAR 75 CM IS STRETCHED",, 00000000
7,63,B,2,2,0.0,150.0,20.00,21.50,23.00,, NANNO MARL OOZE," 10Y5/2-LIGHT OLIVE GREY,5GY4/1-D ARK GREENISH GREY,5P2/1-PURPLISH BLACK,10Y6/2-PALE O LIVE,10YR6/6-DARK YELLOWISH ORANGE"," STREAKS,MOTTLES ,BEDDING", INTENSELY TO MODERATELY DEFORMED,, PYRITE,," 0-17 CM MAINLY LIGHT OLIVE GREY,17-150 CM MAINLY DARK GREENISH GREY WITH STREAKS OF PURPLISH BLACK MO TTLED WITH PALE OLIVE AND SOME MINOR AMOUNTS OF DARK YELLOWISH ORANGE,MOTTLES AND BEDDING DEFORMED BY CO RING PROCESS,PYRITE ? ON X-RAY RADIOGRAPH AT 45 CM", VERY SOFT BETWEEN 115 AND 135 CM, 00000000
7,63,B,2,3,0.0,150.0,20.00,23.00,24.50,, NANNO MARL OOZE," 5GY4/1-DARK GREENISH GREY,5GY6/1 -GREENISH GREY,5P2/1-5P5/2-PURPLE,5GY7/2-GREYISH YEL LOW GREEN"," MOTTLES,LAYERING", INTENSELY DEFORMED 65 -85 CM AND 140-150 CM,,,," MAINLY DARK GREENISH GREY AT TOP GRADING TO GREENISH GREY AT BOTTOM WITH MOTTLES OF THE TWO SHADES IN EACH OTHER AND MINOR AMOUNTS O F PURPLE SHADES AND OF GREYISH YELLOW GREEN,LAYERING VISIBLE ON X-RAY RADIOGRAPH 20-35CM,1-5 MM ANGULAR CHIPS (RUST SCALES?) VISIBLE ON X-RADIOGRAPH 115-150 CM,FRAGMENTED 67-83 CM", SOFT 67-83 CM, 00000000
7,63,B,2,4,0.0,150.0,20.00,24.50,26.00,, NANNO MARL OOZE," 5GY5/2-DUSKY YELLOW GREEN,5P2/1- PURPLISH BLACK,5P5/2-GREYISH PURPLE,5GY7/2-GREYISH Y ELLOW GREEN,10Y6/2-PALE OLIVE"," STREAKS,MOTTLES,FLOW FOLDS", MODERATELY DEFORMED BY THE CORING PROCESS,,,," MAINLY DUSKY YELLOW GREEN BUT ALSO ABUNDANT AREAS O F PURPLISH BLACK TO GREYISH PURPLE AND GREYISH YELLO W GREEN AND PALE OLIVE ALL IN VERTICAL STREAKS AND F LOW FOLDS,PROBABLY ORIGINAL MOTTLES DEFORMED BY CORI NG PROCESS",, 00000000
7,63,B,2,6,0.0,141.0,20.00,27.50,28.91,, NANNO MARL OOZE," 5GY4/1-DARK GREENISH GREY,5P5/2- GREYISH PURPLE,10Y6/2-PALE OLIVE"," MOTTLES,FRAGMENTS", DEFORMED BY CORING PROCESS,,,," DARK GREENISH GREY A ND GREYISH PRUPLE AND PALE OLIVE FORM MOTTLES,STRETC HED VERTICALLY FROM 1-50 CM AND 110-133 CM,PORTION O F CRUMBLY FRAGMENTS 50-110 CM AND 133-142 CM,ALL DEF ORMED BY CORING PROCESS,141-150 CM VOID",, 00000000
7,63,B,3,1,15.0,150.0,30.00,30.15,31.50,, NANNO MARL OOZE," 5GY5/1-GREENISH GREY,5Y6/1-LIGHT OLIVE GREY"," MOTTLES,STREAKS"," INTENSELY DEFORMED 1 5-30 CM,30-150 CM MODERATELY DEFORMED",,,," MAINLY GREEN ISH GREY AND LIGHT OLIVE GREY IN MOTTLES AND STREAKS THAT PROBABLY WERE MOTTLES BUT NOW DEFORMED BY CORI NG PROCESS,PURPLISH BLACK SPECKS AND STREAKS AT 142 CM,15-30 CM CAVINGS ?",, 12211110.3551
