leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
86,576,A,1,1,12.0,75.0,0.00,0.12,0.75,AUD, CLAY," DARK YELLOWISH BROWN,DARK GRAY", MOTTLING, SLIGHTLY DISTURBED,, MANGANESE,,, SOFT, 31210000
86,576,A,1,2,15.0,95.0,0.00,1.65,2.45,AUD, CLAY, DARK YELLOWISH BROWN, MOTTLING, SLIGHTLY DISTURBED,, MANGANESE,,, SOFT, 31210000
86,576,A,1,4,15.0,45.0,0.00,4.65,4.95,AUD, CLAY, BROWN,, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,1,5,0.0,25.0,0.00,6.00,6.25,AUD, CLAY, BROWN, MOTTLING, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,1,5,100.0,125.0,0.00,7.00,7.25,AUD, CLAY, BROWN, MOTTLING, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,1,6,30.0,80.0,0.00,7.80,8.30,AUD, CLAY, BROWN, MOTTLING, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,2,1,45.0,100.0,8.70,9.15,9.70,AUD, CLAY," YELLOWISH BROWN,DARK BROWN", MOTTLING, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,2,1,125.0,140.0,8.70,9.95,10.10,AUD, CLAY, DARK TO DARK BROWN,, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,2,2,50.0,70.0,8.70,10.70,10.90,AUD, CLAY, BROWN TO YELLOWISH BROWN,, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,2,3,25.0,50.0,8.70,11.95,12.20,AUD, CLAY, BROWN TO DARK BROWN,, SLIGHTLY DISTURBED,, MANGANESE,,, SOFT, 31210000
86,576,A,2,4,0.0,15.0,8.70,13.20,13.35,ROSS, CLAY," REDDISH YELLOW,BROWN", MOTTLING, SLIGHTLY DISTURBED, VOLCANOGENIC DEPOSITS, VOLCANIC ASH,,, SOFT, 31210000
86,576,A,2,5,0.0,30.0,8.70,14.70,15.00,ROSS, CLAY," BROWN TO DARK BROWN,YELLOWISH BROWN", MOTTLING, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,2,7,0.0,6.0,8.70,17.70,17.76,ROSS, CLAY, DARK BROWN,, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,2,CC,0.0,19.0,8.70,17.86,17.95,LK, CLAY, BROWN TO DARK BROWN,, UNDISTURBED,,,,, SOFT, 31210000
86,576,A,3,1,0.0,25.0,18.20,18.20,18.45,LK, CLAY," DARK YELLOWISH BROWN,REDDISH YELLOW", MOTTLING, UNDISTURBED,,,,, SOFT, 31210000
86,576,A,3,1,25.0,75.0,18.20,18.45,18.95,LK, CLAY," DARK YELLOWISH BROWN,REDDISH YELLOW", MOTTLING, UNDISTURBED,,,,, SOFT, 31210000
86,576,A,3,2,90.0,105.0,18.20,20.60,20.75,ROSS, CLAY," DARK YELLOWISH BROWN,REDDISH YELLOW",, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,3,3,95.0,120.0,18.20,22.15,22.40,ROSS, CLAY, DARK GRAYISH BROWN,, GREATLY DISTURBED,,,,, SOFT, 31210000
86,576,A,3,4,0.0,15.0,18.20,22.70,22.85,ROSS, CLAY, DARK GRAYISH BROWN,, GREATLY DISTURBED,, MANGANESE,,, SOFT, 31210000
86,576,A,3,5,0.0,12.0,18.20,24.20,24.32,ROSS, CLAY, DARK GRAYISH BROWN,, MODERATELY DISTURBED,, MANGANESE,,, SOFT, 31210000
86,576,A,3,5,120.0,130.0,18.20,25.40,25.50,ROSS, CLAY, DARK GRAYISH BROWN,, SLIGHTLY DISTURBED,, MANGANESE,,, SOFT, 31210000
86,576,A,3,6,0.0,30.0,18.20,25.70,26.00,ROSS, CLAY, DARK GRAYISH BROWN, MOTTLING, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,3,CC,0.0,38.0,18.20,27.80,28.08,LK, CLAY, REDDISH BROWN,, UNDISTURBED,,,,, SOFT, 31210000
86,576,A,4,1,25.0,75.0,27.70,27.95,28.45,ROSS, CLAY, DARK BROWN,, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,4,2,103.0,123.0,27.70,30.23,30.43,ROSS, CLAY, DARK BROWN,, GREATLY DISTURBED,,,,, SOFT, 31210000
86,576,A,4,3,73.0,98.0,27.70,31.43,31.68,ROSS, CLAY," DARK BROWN,REDDISH YELLOW", MOTTLING, GREATLY DISTURBED,,,,, SOFT, 31210000
86,576,A,4,4,0.0,27.0,27.70,32.20,32.47,ROSS, CLAY," DARK BROWN,REDDISH YELLOW", MOTTLING, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,4,4,50.0,77.0,27.70,32.70,32.97,ROSS, CLAY," DARK BROWN,REDDISH YELLOW", MOTTLING, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,4,4,77.0,140.0,27.70,32.97,33.60,ROSS, CLAY," DARK BROWN,REDDISH YELLOW", MOTTLING, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,4,5,0.0,70.0,27.70,33.70,34.40,ROSS, CLAY," DARK BROWN,REDDISH YELLOW", MOTTLING, UNDISTURBED,,,,, SOFT, 31210000
86,576,A,4,6,15.0,35.0,27.70,35.35,35.55,ROSS, CLAY," DARK BROWN,REDDISH YELLOW,DARK GRAY", MOTTLING, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,4,6,102.0,127.0,27.70,36.22,36.47,ROSS, CLAY," DARK BROWN,REDDISH YELLOW,DARK GRAY", MOTTLING, SLIGHTLY DISTURBED TO GREATLY DISTURBED,,,,, SOFT, 31210000
86,576,A,4,CC,0.0,40.0,27.70,36.58,36.88,LK, CLAY, DARK REDDISH BROWN,, SLIGHTLY DISTURBED TO GREATLY DISTURBED,,,,, SOFT, 31210000
86,576,A,5,1,0.0,25.0,37.20,37.20,37.45,LK, CLAY," BROWN,DARK GRAY", MOTTLING, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,5,1,65.0,115.0,37.20,37.85,38.35,LK, CLAY," BROWN,DARK GRAY", MOTTLING, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,5,2,40.0,65.0,37.20,39.10,39.35,ROSS, CLAY, DARK BROWN,, GREATLY DISTURBED,,,,, SOFT, 31210000
86,576,A,5,2,120.0,150.0,37.20,39.90,40.20,ROSS, CLAY, DARK BROWN,, GREATLY DISTURBED,,,,, SOFT, 31210000
86,576,A,5,5,0.0,10.0,37.20,43.20,43.30,ROSS, CLAY, DARK BROWN, MOTTLING, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
86,576,A,5,5,25.0,40.0,37.20,43.45,43.60,ROSS, CLAY, DARK BROWN, MOTTLING, SLIGHTLY DISTURBED,,,,, SOFT, 31210000
