leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NCALD0010,Calcidiscus leptoporus,FEW,  ,1
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NCOCO0058,Cocoolithus crassipons,RARE,  ,1
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NCOCO0300,Coccolithus pelagicus,PRESENT,  ,1
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NCOCO0368,Coccolithus sp.,PRESENT,  ,1
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NCOCO0395,Cocoolithus streckeri,PRESENT,  ,1
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NDISL0071,Discolithina japonica (q),PRESENT,  ,1
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NEMIL0020,Emiliania huxleyi,ABUNDANT,  ,1
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NGEPH0020,Gephyrocapsa caribbeanica,COMMON,  ,1
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NGEPH0060,Gephyrocapsa oceanica,FEW,  ,1
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NGEPH0075,Gephyrocapsa parallela,RARE,  ,1
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NHELC0010,Helicosphaera ampliaperta,RARE,  ,2
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NHELC0060,Helicosphaera hyalina,PRESENT,  ,2
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NHELC0170,Helicosphaera wallichi,PRESENT,  ,2
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NOOLI0010,Oolithotus antillarum,RARE,  ,2
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NRHAO0010,Rhabdosphaera clavigera,PRESENT,  ,2
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NRHAO0080,Rhabdosphaera stylifera,PRESENT,  ,2
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NSCAP0020,Scapholithus fossilis,RARE,  ,2
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NSYRA0070,Syracosphaera pulchra,RARE,  ,2
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NTHOR0080,Thoracosphaera saxea,PRESENT,  ,2
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NUMBE0017,Umbellosphaera sp.,RARE,  ,2
94,609,B,1,CC,0.0,0.0,0.00,3.51,21,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NUMBI0030,Umbilicosphaera mirabilis,PRESENT,  ,3
94,609,B,2,CC,0.0,0.0,3.60,12.97,22,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NCALD0010,Calcidiscus leptoporus,COMMON,  ,1
94,609,B,2,CC,0.0,0.0,3.60,12.97,22,TAKAYAMA,,94,NANNOFOSSILS,,,,GOOD,NO AGE GIVEN,674,NCOCO0058,Cocoolithus crassipons,RARE,  ,1
