leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
94,611,C,15,6,0.0,0.0,118.00,125.50, 8,MUDIE,00/1900,94,DINOFLAGELLATES,,,,,NO AGE GIVEN,797,CBRIG0050,Brigantedinium simplex,PRESENT,  ,1
94,611,C,15,6,0.0,0.0,118.00,125.50, 8,MUDIE,00/1900,94,DINOFLAGELLATES,,,,,NO AGE GIVEN,797,CFILI0010,Filisphaera filifera,PRESENT,  ,1
94,611,C,15,6,0.0,0.0,118.00,125.50, 8,MUDIE,00/1900,94,DINOFLAGELLATES,,,,,NO AGE GIVEN,797,CIMPA0015,Impagidinium aculeatum,PRESENT,  ,1
94,611,C,15,6,0.0,0.0,118.00,125.50, 8,MUDIE,00/1900,94,DINOFLAGELLATES,,,,,NO AGE GIVEN,797,CIMPL0010,Impletosphaeridium sp.,PRESENT,  ,1
94,611,C,15,6,0.0,0.0,118.00,125.50, 8,MUDIE,00/1900,94,DINOFLAGELLATES,,,,,NO AGE GIVEN,797,CNEMA0020,Nematosphaeropsis labyrinthea,PRESENT,  ,1
94,611,C,15,6,0.0,0.0,118.00,125.50, 8,MUDIE,00/1900,94,DINOFLAGELLATES,,,,,NO AGE GIVEN,797,COPER0020,Operculodinium centrocarpum,PRESENT,  ,1
94,611,C,15,6,0.0,0.0,118.00,125.50, 8,MUDIE,00/1900,94,DINOFLAGELLATES,,,,,NO AGE GIVEN,797,COPER0030,Operculodinium israelianum,PRESENT,  ,1
94,611,C,15,6,0.0,0.0,118.00,125.50, 8,MUDIE,00/1900,94,DINOFLAGELLATES,,,,,NO AGE GIVEN,797,COPER0060,Operculodinium psilatum,PRESENT,  ,1
94,611,C,16,3,0.0,0.0,127.60,130.60,13,MUDIE,00/1900,94,DINOFLAGELLATES,,,,,NO AGE GIVEN,797,CBRIG0010,Brigantediunum sp.,PRESENT,  ,1
94,611,C,16,3,0.0,0.0,127.60,130.60,13,MUDIE,00/1900,94,DINOFLAGELLATES,,,,,NO AGE GIVEN,797,CIMPA0010,Impagidinium sp.,PRESENT,  ,1
