Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
133, 813,A,Post Moratorium          ,       2.630,    0.275000,FO Emiliania huxleyi
,,,,,,
133, 813,A,Post Moratorium          ,       9.830,    0.470000,LO Pseudoemiliania lacunosa
,,,,,,
133, 813,A,Post Moratorium          ,      23.820,    0.930000,Small Gephyrocapsa Acme top
,,,,,,
133, 813,A,Post Moratorium          ,      33.320,    1.460000,LO Calcidiscus macintyrei
,,,,,,
133, 813,A,Post Moratorium          ,      39.810,    1.890000,LO Discoaster brouweri
,,,,,,
133, 813,A,Post Moratorium          ,      53.810,    2.410000,LO Discoaster surculus
,,,,,,
133, 813,A,Post Moratorium          ,      57.310,    2.600000,LO Discoaster tamalis
,,,,,,
133, 813,A,Post Moratorium          ,      79.310,    3.460000,LO Sphenolithus abies
,,,,,,
133, 813,A,Post Moratorium          ,      80.810,    3.510000,LO Reticulofenestra pseudoumbilica
,,,,,,
133, 813,A,Post Moratorium          ,      99.810,    5.430000,LO Discoaster quinqueramus
,,,,,,
133, 813,A,Post Moratorium          ,     196.290,   10.400000,LO Catinaster coalitus
,,,,,,
