Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
154, 928,B,Initial Reports          ,     160.220,    7.300000,B Amaurolithus primus
,,,,,,
154, 928,B,Initial Reports          ,     168.950,    8.400000,B Discoaster berggrenii
,,,,,,
154, 928,B,Initial Reports          ,     205.500,   13.200000,T Cyclicargolithus floridanus
,,,,,,
154, 928,B,Initial Reports          ,     208.500,   13.600000,T Sphenolithus heteromorphus
,,,,,,
154, 928,B,Initial Reports          ,     211.210,   14.600000,B Fohsella peripheroronda
,,,,,,
154, 928,B,Initial Reports          ,     214.550,   14.700000,B Fohsella peripheroacuta
,,,,,,
154, 928,B,Initial Reports          ,     214.560,   15.100000,B Orbulina suturalis
,,,,,,
154, 928,B,Initial Reports          ,     223.240,   15.500000,B Globorotalia archeomenardii
,,,,,,
154, 928,B,Initial Reports          ,     226.860,   16.100000,B Praeorbulina glomerosa
,,,,,,
154, 928,B,Initial Reports          ,     240.290,   16.400000,B Praeorbulina sicana
,,,,,,
154, 928,B,Initial Reports          ,     240.300,   17.299999,T Catapsydrax dissimilis
,,,,,,
154, 928,B,Initial Reports          ,     257.350,   18.100000,B Sphenolithus heteromorphus
,,,,,,
154, 928,B,Initial Reports          ,     262.280,   18.400000,T Sphenolithus belemnos
,,,,,,
154, 928,B,Initial Reports          ,     270.880,   19.700001,B Sphenolithus belemnos
,,,,,,
154, 928,B,Initial Reports          ,     285.960,   21.600000,T Paragloborotalia kugleri
,,,,,,
154, 928,B,Initial Reports          ,     320.760,   23.299999,T Paragloborotalia pseudokugleri
,,,,,,
154, 928,B,Initial Reports          ,     344.980,   23.700001,T Sphenolithus delphix
,,,,,,
154, 928,B,Initial Reports          ,     346.890,   23.700001,B Paragloborotalia kugleri
,,,,,,
154, 928,B,Initial Reports          ,     348.750,   24.400000,B Sphenolithus delphix
,,,,,,
154, 928,B,Initial Reports          ,     372.000,   24.700001,T Sphenolithus ciperoensis
,,,,,,
154, 928,B,Initial Reports          ,     384.290,   26.299999,B Paragloborotalia pseudokugleri
,,,,,,
154, 928,B,Initial Reports          ,     426.220,   26.500000,T Sphenolithus distentus
,,,,,,
154, 928,B,Initial Reports          ,     430.490,   27.100000,T Paragloborotalia opima
,,,,,,
154, 928,B,Initial Reports          ,     432.090,   28.100000,B Sphenolithus ciperoensis
,,,,,,
154, 928,B,Initial Reports          ,     434.580,   28.500000,T common Chiloguembelina cubensis
,,,,,,
154, 928,B,Initial Reports          ,     472.480,   29.700001,B Globigerina angulisuturalis
,,,,,,
154, 928,B,Initial Reports          ,     481.400,   30.299999,T Turborotalia ampliapertura
,,,,,,
154, 928,B,Initial Reports          ,     485.050,   30.600000,B Paragloborotalia opima
,,,,,,
