Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Syracosphaera pulchra,Gephyrocapsa caribbeanica,Gephyrocapsa (small),Emiliania huxleyi,Coccolithus pelagicus,Calcidiscus leptoporus,Pontosphaera japonica,Helicosphaera wallichii,Helicosphaera kamptneri,Gephyrocapsa Group 3,Gephyrocapsa Group 2,Gephyrocapsa Group 1,Crenalithus doronicoides,Coccolithus crassipons,Gephyrocapsa Group 4,Braarudosphaera bigelowii,Pontosphaera sp.,Emiliania pujosae,Coccolithus streckerii,Umbilicosphaera mirabilis,Thoracosphaera sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,A,  1,R, 1,   0.00,      0.0000,Mao      ,Nannofossils                                 ,A              ,M                 ,R                    ,                         ,C                   ,F                ,C                    ,C                     ,                     ,                       ,                       ,                    ,                    ,                    ,                        ,                      ,                    ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,NN21B             ,              ,139, 855,A,  1,R, 1,  91.00,      0.9100,Mao      ,Nannofossils                                 ,A              ,M                 ,                     ,                         ,                    ,C                ,R                    ,                      ,                     ,                       ,                       ,                    ,                    ,C                   ,F                       ,                      ,                    ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,NN21B             ,              ,139, 855,A,  1,R, 2,  88.00,      2.3800,Mao      ,Nannofossils                                 ,A              ,M                 ,                     ,                         ,                    ,C                ,C                    ,                      ,R                    ,                       ,                       ,                    ,                    ,A                   ,                        ,                      ,C                   ,F                        ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Holocene         ,                 ,NN21B             ,              ,139, 855,A,  1,R, 3,  91.00,      3.9100,Mao      ,Nannofossils                                 ,C              ,M                 ,                     ,                         ,                    ,F                ,C                    ,                      ,                     ,                       ,                       ,                    ,                    ,C                   ,                        ,                      ,F                   ,R                        ,R               ,R                ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
