Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spiniferites ramosus multibrevis,Cerodinium sp.,Acritarch forma A,Manumiella sp.,Spiniferites ramosus ramosus,Spinidinium sp.,Palaeohystrichophora infusoriodes,Leiosphaeridia sp.,Isabelidinium cooksoniae,Fibrocysta sp.,Exochosphaeridium sp.,Dinogymnium undolosum,Dinogymnium sp.,Dinogymnium acuminatum,Cerodinium? sp.,Alisogymnium euclaense,Achomosphaera ramosus  ramosus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 960,A, 21,R, 1,  43.00,    184.5300,Oboh-Ikuenobe,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                               ,              ,                 ,              ,15                          ,+              ,120                              ,15                ,3                       ,5             ,+                    ,25                   ,+              ,36                    ,+              ,6                     ,6                             ,From Leg 159SR Ch 25 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 960,A, 40,R, 1,  31.00,    348.6100,Oboh-Ikuenobe,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                                ,              ,                 ,+             ,                            ,               ,                                 ,                  ,                        ,              ,                     ,                     ,               ,                      ,               ,                      ,                              ,From Leg 159SR Ch 25 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 960,A, 41,R, 2,  18.00,    352.6800,Oboh-Ikuenobe,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                                ,              ,+                ,              ,                            ,               ,                                 ,                  ,                        ,              ,                     ,                     ,               ,                      ,               ,                      ,                              ,From Leg 159SR Ch 25 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 960,A, 42,R, 2,  35.00,    355.3500,Oboh-Ikuenobe,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                               ,+             ,                 ,              ,                            ,               ,                                 ,                  ,                        ,              ,                     ,                     ,               ,                      ,               ,                      ,                              ,From Leg 159SR Ch 25 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
