Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Helicosphaera sellii,Gephyrocapsa spp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Crenalithus doronicoides,Coccolithus pelagicus,Calcidiscus macintyrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1079,A,  1,H,CC,  23.00,      5.2900,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,F                        ,A                    ,C                        ,D                ,-                       ,-                    ,-                     ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1079,A,  2,H,CC,  22.00,     15.1600,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,F                        ,C                    ,F                        ,D                ,-                       ,-                    ,                      ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21B         ,175,1079,A,  3,H, 3, 130.00,     19.1000,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,F                        ,C                    ,C                        ,D                ,-                       ,-                    ,                      ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1079,A,  3,H, 5, 130.00,     22.1000,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,D                        ,C                    ,F                        ,C                ,-                       ,-                    ,                      ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1079,A,  3,H,CC,  15.00,     24.7800,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,D                        ,C                    ,C                        ,A                ,-                       ,-                    ,                      ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1079,A,  4,H,CC,  17.00,     34.0400,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,D                        ,F                    ,C                        ,R                ,-                       ,-                    ,                      ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21A         ,175,1079,A,  5,H,CC,  27.00,     43.5700,Giraudeau,Nannofossils                                 ,A              ,G                 ,-                      ,-                       ,-                   ,D                        ,F                    ,C                        ,R                ,-                       ,+                    ,                      ,Nannos very abundant
,,,,,,,,,,,,,,,,,,,,,,,,,,,
