leg,site,hole,core,coretype,section,observer,top interval,piece number top,sub piece top,bottom interval,piece number bottom,sub piece bottom,lithology,color,color number,structures,drilling deformities,unusual occurrences,minerals,paleontology,other,induration,more data available,code,latitude,longitude,depth,top interval depth below sea floor,bottom interval depth below sea floor
117,722,B,001,Hydraulic (Advanced) Piston Core,01,AND,000,,,150,,,interbedded foram-bearing nannofossil ooze and foram nannofossil ooze,"light olive gray (0-66 cm), olive (66-150 cm)","5y 6/2 (0-66 cm), 5y 5/4 (66-150 cm)","mottling, minor bioturbation",,,,"forams, nannos","fossil-rich layers (65, 77, 132 cm), gradational contact between colors",,,H,16.62180,59.79528,0000.00,0,150
117,722,B,001,Hydraulic (Advanced) Piston Core,02,RIC,000,,,096,,,interbedded foram-bearing nannofossil ooze and foram nannofossil ooze,"olive (0-88 cm), pale olve (88-96 cm)","5y 5/3(0-64cm), 5y 5/4(64-76cm), 5y 4/3(76-88cm), 5y 6/3",minor bioturbation,,,pyrite filling forams,"forams, nannos",gradational contacts between colors,,,H,16.62180,59.79528,0001.50,150,246
117,722,B,001,Hydraulic (Advanced) Piston Core,02,RIC,096,,,150,,,interbedded foram-bearing nannofossil ooze and foram nannofossil ooze,"olive (96 -124 cm), pale olive (124-150 cm), very dark gray (149 cm)","5y 5/3 (96-124 cm), 5y 6/3 (124-150 cm), 5y 3/1 (149 cm)",minor bioturbation,,pyrite nodules,pyrite nodules (149 cm) and filling forams,"forams, nannos",gradational contacts between colors,,,H,16.62180,59.79528,0001.50,246,300
117,722,B,001,Hydraulic (Advanced) Piston Core,03,MUR,000,,,150,,,interbedded foram-bearing nannofossil ooze and foram nannofossil ooze,"olive gray (0-7 cm), light greenish gray (7-43, 54-150 cm), olive (43-54 cm)","5y 5/2,10y 6/2(7-43,79-96,133-150cm),10y 5/2, 5y 4/3",minor bioturbation,,,,"forams, nannos",43-54 cm - more terrigenous silty clay than lighter layers; gradational contacts between colors,,,H,16.62180,59.79528,0003.00,300,450
117,722,B,001,Hydraulic (Advanced) Piston Core,04,MUR,000,,,079,,,interbedded foram-bearing nannofossil ooze and foram nannofossil ooze,"light greenish gray (0-64 cm), dark greenish gray with light greenish gray mottling (64-79 cm)","10y 6/2 (0-64 cm), 10y 5/2 (64-79 cm)","minor to moderate (60-65 cm) bioturbation, mottling",,,,"forams, nannos",gradational contact between colors,,,H,16.62180,59.79528,0004.50,450,529
117,722,B,001,Hydraulic (Advanced) Piston Core,CC,AND,000,,,019,,,interbedded foram-bearing nannofossil ooze and foram nannofossil ooze,olive,5y 5/4,"minor bioturbation, mottling",slightly disturbed,,,"forams, nannos",,,,H,16.62180,59.79528,0005.29,528,547
117,722,B,002,Hydraulic (Advanced) Piston Core,01,AND,000,,,150,,,interbedded nannofossil ooze and foram-bearing nannofossil ooze,"olive (0-55 cm), olive gray (55-150 cm), black flecks","5y 5/4 (0-55 cm), 5y 5/2 (55-150 cm)","minor bioturbation, mottling",soupy (0-6 cm),,pyrite rich (1 cm diameter) regions,"forams, nannos",gradational contact between colors,,,H,16.62180,59.79528,0005.50,550,700
117,722,B,002,Hydraulic (Advanced) Piston Core,02,WEE,000,,,150,,,interbedded nannofossil ooze and foram-bearing nannofossil ooze,"olive (0-33 cm), light olive gray (33-69 cm), olive gray (69-119cm), gray/light gray(119-150cm)","5y 5/3, 5y 6/2, 5y 5/2, 5y 6/1, black flecks","minor bioturbation, mottling",,,,"forams (esp. 72-79 cm), nannos",gradational contact between colors,,,H,16.62180,59.79528,0007.00,700,850
117,722,B,002,Hydraulic (Advanced) Piston Core,03,AND,000,,,150,,,interbedded nannofossil ooze and foram-bearing nannofossil ooze,"pale olive (0-50, 89-119 cm), light olive gray (50-89, 119-150 cm), black flecks",alternating 5y 6/3 and 5y 6/2,"minor bioturbation, mottling",,,,"forams, nannos",gradational contact between colors,,,H,16.62180,59.79528,0008.50,850,1000
117,722,B,002,Hydraulic (Advanced) Piston Core,04,AND,000,,,150,,,interbedded nannofossil ooze and foram-bearing nannofossil ooze,"gray/light gray (0-22, 121-150 cm), olive (22-121 cm)",alternating 5y 6/1 and 5y 5/3,"minor bioturbation, mottling",,,,"forams, nannos","dark layers have firmer, coarser texture; gradational contact between colors",,,H,16.62180,59.79528,0010.00,1000,1150
