leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FCAND0020,Candeina nitida nitida,PRESENT,  ,1
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOA0012,Globorotalia acostaensis pseudopima,PRESENT,  ,1
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOA0120,Globorotalia crassaformis crassaformis,PRESENT,  ,1
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOA0156,Globorotalia cultrata menardii,PRESENT,  ,1
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOA0246,Globorotalia inflata,PRESENT,  ,1
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOA0352,Globorotalia obesa,PRESENT,  ,1
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOA0546,Globorotalia truncatulinoides pachytheca,PRESENT,  ,1
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOA0550,Globorotalia truncatulinoides truncatulinoides,PRESENT,  ,1
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOD0110,Globigerinoides conglobatus conglobatus,PRESENT,  ,1
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOD0380,Globigerinoides quadrilobatus sacculifer,PRESENT,  ,1
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOD0410,Globigerinoides ruber,PRESENT,  ,2
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOG0290,Globigerina falconensis,PRESENT,  ,2
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOG0337,Globigerina glutinata (q),PRESENT,  ,2
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOG0685,Globigerina rubescens,PRESENT,  ,2
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOT0255,Globigerinita sp.,PRESENT,  ,2
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FHAST0040,Hastigerina pelagica,PRESENT,  ,2
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FHAST0090,Hastigerina siphonifera siphonifera,PRESENT,  ,2
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FORBU0025,Orbulina sp.,PRESENT,  ,2
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FPULL0030,Pulleniatina obliquiloculata finalis,PRESENT,  ,2
1,2,,1,2,50.0,51.0,19.50,21.51,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FTURB0475,Turborotalia sp.,PRESENT,  ,2
1,2,,2,1,74.0,75.0,57.60,58.35,12,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOA0008,Globorotalia acostaensis acostaensis,PRESENT,  ,1
1,2,,2,1,74.0,75.0,57.60,58.35,12,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOA0010,Globorotalia acostaensis humerosa,PRESENT,  ,1
1,2,,2,1,74.0,75.0,57.60,58.35,12,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOA0137,Globorotalia crassula crassula,PRESENT,  ,1
1,2,,2,1,74.0,75.0,57.60,58.35,12,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOA0156,Globorotalia cultrata menardii,PRESENT,  ,1
1,2,,2,1,74.0,75.0,57.60,58.35,12,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOA0550,Globorotalia truncatulinoides truncatulinoides,PRESENT,  ,1
1,2,,2,1,74.0,75.0,57.60,58.35,12,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOD0073,Globigerinoides bollii (q),PRESENT,  ,1
1,2,,2,1,74.0,75.0,57.60,58.35,12,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOD0140,Globigerinoides elongatus,PRESENT,  ,1
1,2,,2,1,74.0,75.0,57.60,58.35,12,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOD0340,Globigerinoides quadrilobatus immaturus,PRESENT,  ,1
1,2,,2,1,74.0,75.0,57.60,58.35,12,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOG0290,Globigerina falconensis,PRESENT,  ,1
1,2,,2,1,74.0,75.0,57.60,58.35,12,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FGLOG0672,Globigerina quadrilobatus,PRESENT,  ,1
1,2,,2,1,74.0,75.0,57.60,58.35,12,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FORBU0025,Orbulina sp.,PRESENT,  ,2
1,2,,2,1,74.0,75.0,57.60,58.35,12,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FSPHA0020,Sphaeroidinella dehiscens dehiscens,PRESENT,  ,2
1,2,,2,1,75.0,76.0,57.60,58.36,20,"BLOW,W.H.",,1,PLANKTONIC FORAMINIFERA,,,,,NO AGE GIVEN,395,FCAND0020,Candeina nitida nitida,PRESENT,  ,1
