leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
16,155,,1,1,48.0,115.0,434.00,434.48,435.15,, MARL," 10Y5/2-OLIVE,5Y5/2-LT.OLIVE GREY"," MOTTLED WITH ABUNDANT WORM BURROWS OF LT .OLIVE GREY,LOWER CONTACT GRADATIONAL",,,,, VERY FIN E-GRAINED, SEMI-INDURAT ED, 12210000
16,155,,1,1,115.0,125.0,434.00,435.15,435.25,, NANNO MARL, 5YR3/1-BROWNISH GREYISH BLACK,,,,,,, SEMI- INDURATED, 12210000
16,155,,1,1,125.0,134.0,434.00,435.25,435.34,, MARL," 10Y5/2-OLIVE,5Y5/2-LT.OLIVE GREY", MOTTLED WITH ABUNDANT WORM BURROWS OF 5Y 5/2,,,,, VERY FIN E-GRAINED, SEMI-INDURATED, 12210000
16,155,,1,1,134.0,135.0,434.00,435.34,435.35,, NANNO MARL, 5YR3/1-BROWNISH GREYISH BLACK, SUBHORIZONTAL,,,,,, SEMI- INDURATED, 12210000
16,155,,1,1,135.0,150.0,434.00,435.35,435.50,, MARL," 10Y5/2-OLIVE,5Y5/2-LT.OLIVE GREY", MOTTLED WITH ABUNDANT WORM BURROWS OF 5Y 5/2,,,,, VERY FIN E-GRAINED, SEMI-INDURATED, 12210000
16,155,,1,2,0.0,150.0,434.00,435.50,437.00,, NANNO MARL," 10Y5/2-OLIVE,5Y5/2"," MOTTLED WITH ABUNDANT 5Y5/2 BURROWS,95-120 CM 5Y5/2 IS PREDOMINANT COLOR-OTHERWISE A SINGLE UNIT",,,,,, SEMI-INDURATED, 12210000
16,155,,1,3,0.0,130.0,434.00,437.00,438.30,, MARL," 10Y5/2-OLIVE,5Y5/2-LT.OLIVE GREY", MOTTLED WITH ABUNDANT 5Y5/2 BURROWS,,,,,, SEMI-IND URATED, 12210000
16,155,,1,3,130.0,135.0,434.00,438.30,438.35,, PYRITIC MUDSTONE, 5YR3/1-BROWNISH GREYISH BLACK,,, 0.5 CM PYRITE NODULE, PYRITE,,, INDURATE D, 12210000
16,155,,1,3,135.0,150.0,434.00,438.35,438.50,, MARL," 10Y5/2-OLIVE,5Y5/2-LT.OLIVE GREY", MOTTLED WITH ABUNDANT 5Y5/2 BURROWS,,,,,, SEMI-IND URATED, 12210000
16,155,,1,4,0.0,150.0,434.00,438.50,440.00,, NANNO MARL," 10Y5/2-OLIVE,5Y5/2-LT.OLIVE GREY,5YR3/1-BROWNISH GREYISH BLACK", ABUNDANT 5Y5/2 BURROWS 15-20/98-101 C M 5YR3/1 MUDSTONE INTERCALATION,,,,, VERY FINE-GRAINED, SEMI-INDURATED, 12210000
