leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
16,158,,10,CC,0.0,0.0,81.00,90.10, 6,"BUKRY,D.;FOSTER,J.",04/1973,16,SILICOFLAGELLATES,,,,,NO AGE GIVEN,820,SDICT0020,Dictyocha aspera,75%,  ,1
16,158,,10,CC,0.0,0.0,81.00,90.10, 6,"BUKRY,D.;FOSTER,J.",04/1973,16,SILICOFLAGELLATES,,,,,NO AGE GIVEN,820,SDICT0170,Dictyocha fibula,5%,  ,1
16,158,,10,CC,0.0,0.0,81.00,90.10, 6,"BUKRY,D.;FOSTER,J.",04/1973,16,SILICOFLAGELLATES,,,,,NO AGE GIVEN,820,SDIST0110,Distephanus crux,5%,  ,1
16,158,,10,CC,0.0,0.0,81.00,90.10, 6,"BUKRY,D.;FOSTER,J.",04/1973,16,SILICOFLAGELLATES,,,,,NO AGE GIVEN,820,SDIST0230,Distephanus minutus,5%,  ,1
16,158,,10,CC,0.0,0.0,81.00,90.10, 6,"BUKRY,D.;FOSTER,J.",04/1973,16,SILICOFLAGELLATES,,,,,NO AGE GIVEN,820,SDIST0420,Distephanus speculum,5%,  ,1
16,158,,10,CC,0.0,0.0,81.00,90.10, 6,"BUKRY,D.;FOSTER,J.",04/1973,16,SILICOFLAGELLATES,,,,,NO AGE GIVEN,820,SMESO0100,Mesocena elliptica,5%,  ,1
16,158,,11,CC,0.0,0.0,90.00,99.20, 5,"BUKRY,D.;FOSTER,J.",04/1973,16,SILICOFLAGELLATES,,,,,NO AGE GIVEN,820,SDICT0020,Dictyocha aspera,14%,  ,1
16,158,,11,CC,0.0,0.0,90.00,99.20, 5,"BUKRY,D.;FOSTER,J.",04/1973,16,SILICOFLAGELLATES,,,,,NO AGE GIVEN,820,SDICT0170,Dictyocha fibula,29%,  ,1
16,158,,11,CC,0.0,0.0,90.00,99.20, 5,"BUKRY,D.;FOSTER,J.",04/1973,16,SILICOFLAGELLATES,,,,,NO AGE GIVEN,820,SDICT0430,Dictyocha navicula,36%,  ,1
16,158,,11,CC,0.0,0.0,90.00,99.20, 5,"BUKRY,D.;FOSTER,J.",04/1973,16,SILICOFLAGELLATES,,,,,NO AGE GIVEN,820,SDIST0110,Distephanus crux,1%,  ,1
16,158,,11,CC,0.0,0.0,90.00,99.20, 5,"BUKRY,D.;FOSTER,J.",04/1973,16,SILICOFLAGELLATES,,,,,NO AGE GIVEN,820,SDIST0420,Distephanus speculum,20%,  ,1
16,158,,12,CC,0.0,0.0,99.00,108.10, 5,"BUKRY,D.;FOSTER,J.",04/1973,16,SILICOFLAGELLATES,,,,,NO AGE GIVEN,820,SDICT0020,Dictyocha aspera,15%,  ,1
16,158,,12,CC,0.0,0.0,99.00,108.10, 5,"BUKRY,D.;FOSTER,J.",04/1973,16,SILICOFLAGELLATES,,,,,NO AGE GIVEN,820,SDICT0170,Dictyocha fibula,77%,  ,1
16,158,,12,CC,0.0,0.0,99.00,108.10, 5,"BUKRY,D.;FOSTER,J.",04/1973,16,SILICOFLAGELLATES,,,,,NO AGE GIVEN,820,SDIST0230,Distephanus minutus,2%,  ,1
