leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
18,173,,2,5,70.0,71.0,5.50,12.51, 1,"BUKRY,D.",06/1973,18,SILICOFLAGELLATES,,,,,NO AGE GIVEN,822,SCORB0354,Corbisema sp.,1%,  ,1
18,173,,14,3,20.0,21.0,119.50,122.71, 1,"BUKRY,D.",,32,SILICOFLAGELLATES,,,,,NO AGE GIVEN,696,SDIST0070,Distephanus boliviensis frugalis,PRESENT,  ,1
18,173,,15,2,25.0,26.0,129.00,130.76, 1,"BUKRY,D.",06/1973,18,SILICOFLAGELLATES,,,,,NO AGE GIVEN,822,SDIST0200,Distephanus longispinus,1%,  ,1
18,173,,18,1,140.0,141.0,157.50,158.91, 1,"BUKRY,D.",06/1973,18,SILICOFLAGELLATES,,,,,NO AGE GIVEN,822,SDIST0200,Distephanus longispinus,3%,  ,1
18,173,,19,4,20.0,21.0,167.00,171.71, 1,"BUKRY,D.",06/1973,18,SILICOFLAGELLATES,,,,,NO AGE GIVEN,822,SDIST0200,Distephanus longispinus,3%,  ,1
18,173,,20,3,20.0,21.0,176.50,179.71, 1,"BUKRY,D.",06/1973,18,SILICOFLAGELLATES,,,,,NO AGE GIVEN,822,SDIST0200,Distephanus longispinus,2%,  ,1
18,173,,21,1,90.0,90.0,186.00,186.90, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,,,,,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,21,1,102.0,103.0,186.00,187.03, 1,"BUKRY,D.",06/1973,18,SILICOFLAGELLATES,,,,,NO AGE GIVEN,822,SDIST0200,Distephanus longispinus,3%,  ,1
18,173,,21,1,129.0,129.0,186.00,187.29, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,COMMON,,,POOL,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,21,3,20.0,21.0,186.00,189.21, 1,"BUKRY,D.",06/1973,18,SILICOFLAGELLATES,,,,,NO AGE GIVEN,822,SDIST0200,Distephanus longispinus,10%,  ,1
18,173,,21,3,90.0,90.0,186.00,189.90, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,FEW,,,POOL,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,22,1,90.0,90.0,195.50,196.40, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,RARE,,,POOL,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,22,2,90.0,90.0,195.50,197.90, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,FEW,,,MODERATE,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,22,3,90.0,90.0,195.50,199.40, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,FEW,,,MODERATE,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,23,1,130.0,130.0,205.00,206.30, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,FEW,,,POOL,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,23,2,94.0,94.0,205.00,207.44, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,FEW,,,POOL,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,23,3,20.0,21.0,205.00,208.21, 1,"BUKRY,D.",06/1973,18,SILICOFLAGELLATES,,,,,NO AGE GIVEN,822,SDIST0200,Distephanus longispinus,3%,  ,1
18,173,,23,3,112.0,112.0,205.00,209.12, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,FEW,,,POOL,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,24,3,90.0,90.0,214.50,218.40, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,,,,,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,24,5,20.0,21.0,214.50,220.71, 1,"BUKRY,D.",06/1973,18,SILICOFLAGELLATES,,,,,NO AGE GIVEN,822,SDIST0200,Distephanus longispinus,33%,  ,1
18,173,,25,2,93.0,93.0,224.00,226.43, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,RARE,,,POOL,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,25,4,90.0,90.0,224.00,229.40, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,FEW,,,POOL,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,25,5,20.0,21.0,224.00,230.21, 1,"BUKRY,D.",06/1973,18,SILICOFLAGELLATES,,,,,NO AGE GIVEN,822,SDIST0200,Distephanus longispinus,4%,  ,1
18,173,,25,5,90.0,90.0,224.00,230.90, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,RARE,,,POOL,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,25,CC,0.0,0.0,224.00,231.60, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,COMMON,,,MODERATE,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,26,1,130.0,130.0,233.50,234.80, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,RARE,,,POOL,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,26,2,90.0,90.0,233.50,235.90, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,RARE,,,POOL,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
18,173,,26,4,20.0,21.0,233.50,238.21, 1,"BUKRY,D.",06/1973,18,SILICOFLAGELLATES,,,,,NO AGE GIVEN,822,SDIST0200,Distephanus longispinus,26%,  ,1
18,173,,27,1,135.0,135.0,243.00,244.35, 1,"WISE,S.",06/1973,18,SILICOFLAGELLATES,FEW,,,POOL,NO AGE GIVEN,579,SCORB0380,Corbisema triacantha,PRESENT,  ,1
