leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FGLOA0118,Globorotalia crassaformis,RARE,  ,1
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FGLOA0298,Globorotalia menardii,COMMON,  ,1
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FGLOA0486,Globorotalia scitula,RARE,  ,1
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FGLOA0562,Globorotalia tumida tumida,COMMON,  ,1
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FGLOD0070,Globigerinoides bollii,COMMON,  ,1
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FGLOD0380,Globigerinoides quadrilobatus sacculifer,ABUNDANT,  ,1
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FGLOD0410,Globigerinoides ruber,COMMON,  ,1
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FGLOG0105,Globigerina bulloides,RARE,  ,1
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FGLOG0685,Globigerina rubescens,RARE,  ,1
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FGLOG0755,Globigerina tenella,RARE,  ,1
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FGLON0035,Globigerirella siphonifera,RARE,  ,2
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FGLOQ0120,Globoquadrina conglomerata,COMMON,  ,2
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FGLOS0030,Globorotaloides hexagonus,RARE,  ,2
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FGLOT0100,Globigerinita glutinata,COMMON,  ,2
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FNEOG0040,Neogloboquadrina dutertrei,COMMON,  ,2
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FORBU0040,Orbulina universa,RARE,  ,2
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FPULL0020,Pulleniatina obliquiloculata,ABUNDANT,  ,2
24,238,,2,1,85.0,87.0,9.50,10.36,18,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,RARE,,,MODERATE,NO AGE GIVEN,840,FSPHA0020,Sphaeroidinella dehiscens dehiscens,RARE,  ,2
24,238,,2,3,80.0,82.0,9.50,13.31,19,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,ABUNDANT,,,POOL,NO AGE GIVEN,840,FGLOA0118,Globorotalia crassaformis,RARE,  ,1
24,238,,2,3,80.0,82.0,9.50,13.31,19,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,ABUNDANT,,,POOL,NO AGE GIVEN,840,FGLOA0298,Globorotalia menardii,COMMON,  ,1
24,238,,2,3,80.0,82.0,9.50,13.31,19,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,ABUNDANT,,,POOL,NO AGE GIVEN,840,FGLOA0486,Globorotalia scitula,RARE,  ,1
24,238,,2,3,80.0,82.0,9.50,13.31,19,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,ABUNDANT,,,POOL,NO AGE GIVEN,840,FGLOA0544,Globorotalia truncatulinoides,RARE,  ,1
24,238,,2,3,80.0,82.0,9.50,13.31,19,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,ABUNDANT,,,POOL,NO AGE GIVEN,840,FGLOA0562,Globorotalia tumida tumida,COMMON,  ,1
24,238,,2,3,80.0,82.0,9.50,13.31,19,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,ABUNDANT,,,POOL,NO AGE GIVEN,840,FGLOD0070,Globigerinoides bollii,COMMON,  ,1
24,238,,2,3,80.0,82.0,9.50,13.31,19,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,ABUNDANT,,,POOL,NO AGE GIVEN,840,FGLOD0380,Globigerinoides quadrilobatus sacculifer,ABUNDANT,  ,1
24,238,,2,3,80.0,82.0,9.50,13.31,19,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,ABUNDANT,,,POOL,NO AGE GIVEN,840,FGLOD0410,Globigerinoides ruber,COMMON,  ,1
24,238,,2,3,80.0,82.0,9.50,13.31,19,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,ABUNDANT,,,POOL,NO AGE GIVEN,840,FGLOG0105,Globigerina bulloides,RARE,  ,1
24,238,,2,3,80.0,82.0,9.50,13.31,19,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,ABUNDANT,,,POOL,NO AGE GIVEN,840,FGLOG0685,Globigerina rubescens,RARE,  ,1
24,238,,2,3,80.0,82.0,9.50,13.31,19,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,ABUNDANT,,,POOL,NO AGE GIVEN,840,FGLOG0755,Globigerina tenella,RARE,  ,2
24,238,,2,3,80.0,82.0,9.50,13.31,19,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,ABUNDANT,,,POOL,NO AGE GIVEN,840,FGLON0035,Globigerirella siphonifera,RARE,  ,2
24,238,,2,3,80.0,82.0,9.50,13.31,19,"VINCENT,E.;FRERICHS,W.E.",10/1974,24,PLANKTONIC FORAMINIFERA,ABUNDANT,,,POOL,NO AGE GIVEN,840,FGLOQ0210,Globoquadrina hexagona,COMMON,  ,2
