leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
32,310,A,1,1,0.0,150.0,95.00,95.00,96.50,, NANNO OOZE," 10YR8/2-VERY PALE ORANGE,N9-WHITE", W HITE STREAKS 30-50 CM, INTENSE DEFORMATION,,,,, SOFT T O STIFF, 11111210
32,310,A,1,2,0.0,150.0,95.00,96.50,98.00,, NANNO OOZE," 10YR8/2-VERY PALE ORANGE,N9-WHITE", W HITE STREAKS 38-42 AND 100 CM, INTENSE DEFORMATION,,,,, SOFT TO STIFF, 00000000
32,310,A,1,3,0.0,150.0,95.00,98.00,99.50,, NANNO OOZE, 10YR8/2-VERY PALE ORANGE,, INTENSE DE FORMATION,,,,, SOFT TO STIFF, 00000000
32,310,A,1,4,0.0,150.0,95.00,99.50,101.00,, NANNO OOZE, 10YR8/2-VERY PALE ORANGE,, INTENSE DE FORMATION,,,,, SOFT TO STIFF, 00000000
32,310,A,1,5,0.0,145.0,95.00,101.00,102.45,, NANNO OOZE," 10YR8/2-VERY PALE ORANGE,N9-WHITE", W HITE CIRCLE 90 CM, INTENSE DEFORMATION,,,,, SOFT TO ST IFF, 00000000
32,310,A,1,6,7.0,150.0,95.00,102.57,104.00,, NANNO OOZE," 10YR8/2-VERY PALE ORANGE,N9-WHITE", W HITE STREAKS 112-122 AND 133-146 CM, INTENSE DEFORM ATION,,,,, SOFT TO STIFF, 00000000
32,310,A,2,1,0.0,150.0,104.50,104.90,106.40,, NANNO OOZE," 10YR8/2-VERY PALE ORANGE,7.5YR3/2-DAR K BROWN,10YR6/4-YELLOW BROWN"," DARK BROWN LAYER 4MM THICK 103 CM,SLIGHTLY FERRUGENOUS 103-150 CM"," INTEN SE DEFORMATION 0-76 CM,MODERATE DEFORMATION 76-150 C M",,,," VERY PALE ORANGE 0-103 CM,YELLOW BROWN 103-150 C M"," SOFT TO STIFF 0-103 CM,STIFF 103-150 CM", 00000000
32,310,A,2,2,0.0,150.0,104.50,106.40,107.90,, NANNO OOZE," 7.5YR3/2-DARK BROWN,10YR6/4-YELLOW BR OWN", DARK BROWN MOTTLING, INTENSE DEFORMATION,,,,,, 00000000
32,310,A,2,3,0.0,150.0,104.50,107.90,109.40,, NANNO OOZE," 10YR6/4-YELLOW BROWN,7.5YR3/2-DARK BR OWN"," SLIGHTLY FERRUGENOUS,DARK BROWN LAYERS 2-4 MM THICK 93 AND 98 AND 110 AND 130 CM", MODERATE DEFORM ATION,,,, DARK BROWN SECTION 60-82 CM,, 00000000
32,310,A,2,4,0.0,150.0,104.50,109.40,110.90,, NANNO OOZE," 10YR6/4-YELLOW BROWN,7.5R3/2-DARK BRO WN"," THIN DARK BROWN LAYERS 55 AND 78 AND 105 AND 15 0 CM,SLIGHTLY FERRUGENOUS", MODERATE DEFORMATION,,,,,, 00000000
