leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
57,438,A,1,1,30.0,34.0,0.00,0.32, 4,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,GOOD,NO AGE GIVEN,814,FGLOG0105,Globigerina bulloides,15%,  ,1
57,438,A,1,1,30.0,34.0,0.00,0.32, 4,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,GOOD,NO AGE GIVEN,814,FGLOG0660,Globigerina quadrilatera,03%,  ,1
57,438,A,1,1,30.0,34.0,0.00,0.32, 4,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,GOOD,NO AGE GIVEN,814,FNEOG0112,Neogloboquadrina pachyderma (right-coiling),TRACE,  ,1
57,438,A,1,1,30.0,34.0,0.00,0.32, 4,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,GOOD,NO AGE GIVEN,814,FNEOG0114,Neogloboquadrina pachyderma (left-coiling),82%,  ,1
57,438,A,2,4,68.0,70.0,23.00,28.19, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,GOOD,NO AGE GIVEN,814,FGLOA0246,Globorotalia inflata,08%,  ,1
57,438,A,2,4,68.0,70.0,23.00,28.19, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,GOOD,NO AGE GIVEN,814,FGLOG0105,Globigerina bulloides,12%,  ,1
57,438,A,2,4,68.0,70.0,23.00,28.19, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,GOOD,NO AGE GIVEN,814,FGLOG0580,Globigerina parabulloides,01%,  ,1
57,438,A,2,4,68.0,70.0,23.00,28.19, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,GOOD,NO AGE GIVEN,814,FGLOG0660,Globigerina quadrilatera,02%,  ,1
57,438,A,2,4,68.0,70.0,23.00,28.19, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,GOOD,NO AGE GIVEN,814,FGLOG0670,Globigerina quinqueloba,03%,  ,1
57,438,A,2,4,68.0,70.0,23.00,28.19, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,GOOD,NO AGE GIVEN,814,FNEOG0110,Neogloboquadrina pachyderma,01%,  ,1
57,438,A,2,4,68.0,70.0,23.00,28.19, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,GOOD,NO AGE GIVEN,814,FNEOG0112,Neogloboquadrina pachyderma (right-coiling),08%,  ,1
57,438,A,2,4,68.0,70.0,23.00,28.19, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,GOOD,NO AGE GIVEN,814,FNEOG0114,Neogloboquadrina pachyderma (left-coiling),65%,  ,1
57,438,A,2,4,68.0,70.0,23.00,28.19, 9,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,GOOD,NO AGE GIVEN,814,FORBU0040,Orbulina universa,TRACE,  ,1
57,438,A,4,CC,,,42.00,50.83,13,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,MODERATE,NO AGE GIVEN,814,FGLOA0246,Globorotalia inflata,01%,  ,1
57,438,A,4,CC,,,42.00,50.83,13,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,MODERATE,NO AGE GIVEN,814,FGLOA0454,Globorotalia puncticulata,04%,  ,1
57,438,A,4,CC,,,42.00,50.83,13,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,MODERATE,NO AGE GIVEN,814,FGLOA0486,Globorotalia scitula,02%,  ,1
57,438,A,4,CC,,,42.00,50.83,13,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,MODERATE,NO AGE GIVEN,814,FGLOG0105,Globigerina bulloides,09%,  ,1
57,438,A,4,CC,,,42.00,50.83,13,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,MODERATE,NO AGE GIVEN,814,FGLOG0580,Globigerina parabulloides,02%,  ,1
57,438,A,4,CC,,,42.00,50.83,13,"KELLER,G.",11/1980,57,PLANKTONIC FORAMINIFERA,,,,MODERATE,NO AGE GIVEN,814,FGLOG0660,Globigerina quadrilatera,10%,  ,1
