leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
6,55,,1,1,17.0,18.0,0.00,0.17, 1,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NGEPH0060,Gephyrocapsa oceanica,ABUNDANT,  ,1
6,55,,1,1,105.0,106.0,0.00,1.05, 3,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NCERO0050,Ceratolithus cristatus,PRESENT,  ,1
6,55,,1,1,105.0,106.0,0.00,1.05, 3,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NGEPH0060,Gephyrocapsa oceanica,PRESENT,  ,1
6,55,,1,1,105.0,106.0,0.00,1.05, 3,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NHELI0100,Helicopontosphaera kamptneri,PRESENT,  ,1
6,55,,1,2,14.0,15.0,0.00,1.65, 2,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NDISC0080,Discoaster brouweri,PRESENT,  ,1
6,55,,1,2,14.0,15.0,0.00,1.65, 2,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NGEPH0060,Gephyrocapsa oceanica,PRESENT,  ,1
6,55,,1,3,11.0,12.0,0.00,3.12, 3,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NCYCC0100,Cyclococcolithus leptoporus,PRESENT,  ,1
6,55,,1,3,11.0,12.0,0.00,3.12, 3,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NGEPH0050,Gephyrocapsa lumina,PRESENT,  ,1
6,55,,1,3,11.0,12.0,0.00,3.12, 3,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NGEPH0060,Gephyrocapsa oceanica,PRESENT,  ,1
6,55,,1,4,11.0,12.0,0.00,4.62, 3,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NCYCC0100,Cyclococcolithus leptoporus,PRESENT,  ,1
6,55,,1,4,11.0,12.0,0.00,4.62, 3,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NGEPH0050,Gephyrocapsa lumina,PRESENT,  ,1
6,55,,1,4,11.0,12.0,0.00,4.62, 3,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NGEPH0060,Gephyrocapsa oceanica,PRESENT,  ,1
6,55,,1,5,14.0,15.0,0.00,6.15, 3,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NCYCC0100,Cyclococcolithus leptoporus,PRESENT,  ,1
6,55,,1,5,14.0,15.0,0.00,6.15, 3,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NGEPH0050,Gephyrocapsa lumina,PRESENT,  ,1
6,55,,1,5,14.0,15.0,0.00,6.15, 3,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NGEPH0060,Gephyrocapsa oceanica,PRESENT,  ,1
6,55,,1,5,110.0,111.0,0.00,7.11, 6,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NCERO0050,Ceratolithus cristatus,PRESENT,  ,1
6,55,,1,5,110.0,111.0,0.00,7.11, 6,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NCOCO0092,Coccolithus doronocoides (q),PRESENT,  ,1
6,55,,1,5,110.0,111.0,0.00,7.11, 6,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NCYCC0100,Cyclococcolithus leptoporus,PRESENT,  ,1
6,55,,1,5,110.0,111.0,0.00,7.11, 6,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NCYCT0010,Cyclolithella annula,PRESENT,  ,1
6,55,,1,5,110.0,111.0,0.00,7.11, 6,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NHELI0100,Helicopontosphaera kamptneri,PRESENT,  ,1
6,55,,1,5,110.0,111.0,0.00,7.11, 6,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NRHAO0010,Rhabdosphaera clavigera,PRESENT,  ,1
6,55,,1,6,13.0,14.0,0.00,7.64, 3,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NCYCC0100,Cyclococcolithus leptoporus,PRESENT,  ,1
6,55,,1,6,13.0,14.0,0.00,7.64, 3,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NGEPH0050,Gephyrocapsa lumina,PRESENT,  ,1
6,55,,1,6,13.0,14.0,0.00,7.64, 3,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NGEPH0060,Gephyrocapsa oceanica,PRESENT,  ,1
6,55,,1,CC,0.0,0.0,0.00,9.10, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NCERO0050,Ceratolithus cristatus,PRESENT,  ,1
6,55,,1,CC,0.0,0.0,0.00,9.10, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NCERO0080,Ceratolithus rugosus,PRESENT,  ,1
6,55,,1,CC,0.0,0.0,0.00,9.10, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NCYCC0100,Cyclococcolithus leptoporus,PRESENT,  ,1
6,55,,1,CC,0.0,0.0,0.00,9.10, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NCYCC0130,Cyclococcolithus macintyrei,PRESENT,  ,1
6,55,,1,CC,0.0,0.0,0.00,9.10, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NDISC0080,Discoaster brouweri,PRESENT,  ,1
6,55,,1,CC,0.0,0.0,0.00,9.10, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NDISC0350,Discoaster pentaradiatus,PRESENT,  ,1
6,55,,1,CC,0.0,0.0,0.00,9.10, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NDISC0465,Discoaster surculus,PRESENT,  ,1
6,55,,1,CC,0.0,0.0,0.00,9.10, 8,"BUKRY,D.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,981,NHELI0100,Helicopontosphaera kamptneri,PRESENT,  ,1
6,55,,2,1,0.0,1.0,9.10,9.11, 3,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NCYCC0100,Cyclococcolithus leptoporus,ABUNDANT,  ,1
6,55,,2,1,0.0,1.0,9.10,9.11, 3,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NGEPH0020,Gephyrocapsa caribbeanica,PRESENT,  ,1
6,55,,2,1,0.0,1.0,9.10,9.11, 3,"HAY,W.W.",,6,NANNOFOSSILS,,,,,NO AGE GIVEN,1009,NPSEU0010,Pseudoemiliania lacunosa,PRESENT,  ,1
