leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
67,500,A,1,CC,11.0,13.0,95.50,103.12, 8,WESTBERG,11/1982,67,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,412,RAMPR0020,Amphirhopalum ypsilon,RARE,  ,1
67,500,A,1,CC,11.0,13.0,95.50,103.12, 8,WESTBERG,11/1982,67,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,412,RANTY0020,Anthocyrtidium angulare,RARE,  ,1
67,500,A,1,CC,11.0,13.0,95.50,103.12, 8,WESTBERG,11/1982,67,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,412,RAXOP0010,Axoprunum angelinum,RARE,  ,1
67,500,A,1,CC,11.0,13.0,95.50,103.12, 8,WESTBERG,11/1982,67,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,412,RDIDY0040,Didymocyrtis penultima,RARE,  ,1
67,500,A,1,CC,11.0,13.0,95.50,103.12, 8,WESTBERG,11/1982,67,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,412,RDIDY0060,Didymocyrtis tetrathalamus,RARE,  ,1
67,500,A,1,CC,11.0,13.0,95.50,103.12, 8,WESTBERG,11/1982,67,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,412,RLAMR0050,Lamprocyrtis nigriniae,TRACE,  ,1
67,500,A,1,CC,11.0,13.0,95.50,103.12, 8,WESTBERG,11/1982,67,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,412,RPHOO0030,Phormostichoartus corbula,FEW,  ,1
67,500,A,1,CC,11.0,13.0,95.50,103.12, 8,WESTBERG,11/1982,67,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,412,RSPON0050,Spongaster tetras,RARE,  ,1
67,500,A,2,CC,,,114.50,114.60, 7,WESTBERG,11/1982,67,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,412,RAMPR0020,Amphirhopalum ypsilon,RARE,  ,1
67,500,A,2,CC,,,114.50,114.60, 7,WESTBERG,11/1982,67,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,412,RANTY0020,Anthocyrtidium angulare,RARE,  ,1
67,500,A,2,CC,,,114.50,114.60, 7,WESTBERG,11/1982,67,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,412,RAXOP0010,Axoprunum angelinum,RARE,  ,1
67,500,A,2,CC,,,114.50,114.60, 7,WESTBERG,11/1982,67,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,412,RDIDY0040,Didymocyrtis penultima,RARE,  ,1
67,500,A,2,CC,,,114.50,114.60, 7,WESTBERG,11/1982,67,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,412,RDIDY0060,Didymocyrtis tetrathalamus,RARE,  ,1
67,500,A,2,CC,,,114.50,114.60, 7,WESTBERG,11/1982,67,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,412,RPHOO0030,Phormostichoartus corbula,FEW,  ,1
67,500,A,2,CC,,,114.50,114.60, 7,WESTBERG,11/1982,67,RADIOLARIA,,,,MODERATE,NO AGE GIVEN,412,RSPON0050,Spongaster tetras,RARE,  ,1
