leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
85,573,,1,1,8.0,10.0,0.00,0.09,10,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RAMPR0020,Amphirhopalum ypsilon,PRESENT,  ,1
85,573,,1,1,8.0,10.0,0.00,0.09,10,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RBOTS0015,Botryostrobus aquilonaris,PRESENT,  ,1
85,573,,1,1,8.0,10.0,0.00,0.09,10,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RBUCC0010,Buccinosphaera invaginata,PRESENT,  ,1
85,573,,1,1,8.0,10.0,0.00,0.09,10,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RCALC0090,Calocycletta tuberosa,PRESENT,  ,1
85,573,,1,1,8.0,10.0,0.00,0.09,10,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RDIDY0060,Didymocyrtis tetrathalamus,PRESENT,  ,1
85,573,,1,1,8.0,10.0,0.00,0.09,10,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RLAMR0050,Lamprocyrtis nigriniae,PRESENT,  ,1
85,573,,1,1,8.0,10.0,0.00,0.09,10,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RPHOO0030,Phormostichoartus corbula,PRESENT,  ,1
85,573,,1,1,8.0,10.0,0.00,0.09,10,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RPTEC0020,Pterocorys hertwigii,PRESENT,  ,1
85,573,,1,1,8.0,10.0,0.00,0.09,10,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RSPON0050,Spongaster tetras,PRESENT,  ,1
85,573,,1,1,8.0,10.0,0.00,0.09,10,NIGRINI,10/1985,85,RADIOLARIA,,,,,NO AGE GIVEN,541,RTHEY0020,Theocorythium trachelium,PRESENT,  ,1
85,573,,1,1,30.,33.0,0.00,0.32, 7,LABRACHERIE,10/1985,85,RADIOLARIA,,,,GOOD,NO AGE GIVEN,503,RAMPR0020,Amphirhopalum ypsilon,TRACE,  ,1
85,573,,1,1,30.,33.0,0.00,0.32, 7,LABRACHERIE,10/1985,85,RADIOLARIA,,,,GOOD,NO AGE GIVEN,503,RBUCC0010,Buccinosphaera invaginata,TRACE,  ,1
85,573,,1,1,30.,33.0,0.00,0.32, 7,LABRACHERIE,10/1985,85,RADIOLARIA,,,,GOOD,NO AGE GIVEN,503,RCOLL0050,Collosphaera tuberosa,RARE,  ,1
85,573,,1,1,30.,33.0,0.00,0.32, 7,LABRACHERIE,10/1985,85,RADIOLARIA,,,,GOOD,NO AGE GIVEN,503,RDISO0015,Disolenia sp.,COMMON,  ,1
85,573,,1,1,30.,33.0,0.00,0.32, 7,LABRACHERIE,10/1985,85,RADIOLARIA,,,,GOOD,NO AGE GIVEN,503,RLAMR0050,Lamprocyrtis nigriniae,TRACE,  ,1
85,573,,1,1,30.,33.0,0.00,0.32, 7,LABRACHERIE,10/1985,85,RADIOLARIA,,,,GOOD,NO AGE GIVEN,503,RPTEC0020,Pterocorys hertwigii,FEW,  ,1
85,573,,1,1,30.,33.0,0.00,0.32, 7,LABRACHERIE,10/1985,85,RADIOLARIA,,,,GOOD,NO AGE GIVEN,503,RTHEY0020,Theocorythium trachelium,TRACE,  ,1
85,573,,1,1,70.0,72.0,0.00,0.71, 7,LABRACHERIE,10/1985,85,RADIOLARIA,,,,GOOD,NO AGE GIVEN,503,RAMPR0020,Amphirhopalum ypsilon,TRACE,  ,1
