Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
115, 709,C,Post Moratorium          ,     200.050,   23.400000,Sphenolithus ciperoensis top
,,,,,,
115, 709,C,Post Moratorium          ,     201.550,   23.700001,Dictyococcites bisectus top
,,,,,,
115, 709,C,Post Moratorium          ,     207.660,   24.799999,Crassidiscus backmanii top
,,,,,,
115, 709,C,Post Moratorium          ,     209.190,   25.000000,Crassidiscus backmanii base
,,,,,,
115, 709,C,Post Moratorium          ,     214.050,   26.000000,Sphenolithus distentus top
,,,,,,
115, 709,C,Post Moratorium          ,     236.690,   30.200001,Sphenolithus ciperoensis base
,,,,,,
115, 709,C,Post Moratorium          ,     244.580,   31.200001,Sphenolithus distentus base
,,,,,,
115, 709,C,Post Moratorium          ,     255.370,   32.400002,Sphenolithus aff. distentus top
,,,,,,
115, 709,C,Post Moratorium          ,     269.070,   34.200001,Bramletteius serraculoides top
,,,,,,
115, 709,C,Post Moratorium          ,     269.080,   34.200001,Reticulofenestra umbilica top
,,,,,,
115, 709,C,Post Moratorium          ,     275.120,   34.900002,Ericsonia formosa top
,,,,,,
115, 709,C,Post Moratorium          ,     276.210,   35.099998,Hayella situriformis top
,,,,,,
115, 709,C,Post Moratorium          ,     276.220,   35.099998,Sphenolithus aff. distentus base
,,,,,,
115, 709,C,Post Moratorium          ,     278.780,   35.799999,Chiasmolithus titus top
,,,,,,
115, 709,C,Post Moratorium          ,     283.280,   36.700001,Discoaster saipanensis top
,,,,,,
