Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
117, 724,C,Initial Reports          ,      62.140,    0.730000,Bruhnes/Matuyama
,,,,,,
117, 724,C,Initial Reports          ,      71.740,    0.910000,Top of Jaramillo
,,,,,,
117, 724,C,Initial Reports          ,      76.240,    0.980000,Bottom of Jaramillo
,,,,,,
117, 724,C,Initial Reports          ,     137.000,    1.660000,Top of Olduvai
,,,,,,
117, 724,C,Initial Reports          ,     146.840,    1.880000,Bottom of Olduvai
,,,,,,
117, 724,C,Initial Reports          ,     185.210,    2.470000,Matuyama/Gauss
,,,,,,
