Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
145, 887,C,Post Moratorium          ,     234.750,   11.400000,D20; LCO Denticulopsis praedimorpha
,,,,,,
145, 887,C,Post Moratorium          ,     241.250,   12.400000,D21; FO Simonseniella barboi
,,,,,,
145, 887,C,Post Moratorium          ,     244.400,   12.800000,D22; FO Denticulopsis praedimorpha
,,,,,,
145, 887,C,Post Moratorium          ,     244.900,   13.100000,D23; FCO Denticulopsis hustedtii
,,,,,,
145, 887,C,Post Moratorium          ,     265.260,   16.900000,D25; FO Crucidenticula kanayae
,,,,,,
145, 887,C,Post Moratorium          ,     267.830,   17.250000,R21; FO Cycladophora cosma cosma
,,,,,,
145, 887,C,Post Moratorium          ,     272.850,   18.400000,D26; FO Crucidenticula sawamurae
,,,,,,
145, 887,C,Post Moratorium          ,     273.800,   20.100000,D27; FO Thalassiosira fraga
,,,,,,
