Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulina spinosa,Uvigerina spp.,Uvigerina spinicostata,Uvigerina hispidocostata,Uvigerina havanensis,Uvigerina graciliformis,Uvigerina elongata,Turrilina robertsi/brevispira,Turrilina alsatica,Tritaxia spp.,Trifarina sp.,Tappanina selmensis,Stilostomella spp.,Stensioina beccariiformis,Spiroplectammina spectabilis,Siphotextularia sp.,Rhabdammina/Hyperammina (unspecified taxon or taxa),Rectuvigerina sp.,Rectuvigerina multicostata,Quadrimorphina spp.,Pyramidina rudita,Pullenia subcarinata,Pullenia quinqueloba,Pullenia eocaenica,Pullenia coryelli,Pullenia bulloides,Pleurostomella sp.,Plectofrondicularia sp.,Plectina elongata,Osangularia velascoensis,Osangularia mexicana,Osangularia culter,Orthomorphina sp.,Oridorsalis umbonatus,Nuttallides umbonifera,Nuttallides truempyi,Nonion sp. 6,Nonion havanensis,Nodosaria sp.,Neoeponides hillebrandti,Neoeponides cf. lunata,Melonis affinis,Martinottiella nodulosa,Marginulina spp.,Lenticulina whitei,Lenticulina spp.,Lenticulina sp. 1,Laticarinina pauperata,Lagena sp.,Karreriella subglabra,Karreriella spp.,Karreriella chapapotensis,Karreriella bradyi,Hanzawaia spp.,Hanzawaia cushmani,Gyroidinoides spp.,Gyroidinoides soldanii,Gyroidina spp.,"Gyroidina sp. ""small""",Gyroidina lamarckiana,Glomospira charoides,Globocassidulina subglobosa,Gavelinella danica,Gaudryina cf. laevigata,Fursenkoina spp.,Fissurina spp.,Eponides sp. 31,Epistominella exigua,Eggerella sp.,Eggerella bradyi,Dentalina spp.,Coryphostoma midwayensis,Cibicidoides velascoensis,Cibicidoides subspiratus,Cibicidoides sp.,Cibicidoides praemundulus,Cibicidoides pachyderma,Cibicidoides mundulus,Cibicidoides micrus,Cibicidoides laurisae,Cibicidoides eocaenus,Cibicidoides cicatricosus,Cibicidoides bradyi,Cassidulina havanensis,Cassidulina cf. havanense,Buliminella grata,Bulimina trinitatensis,Bulimina trihedra,Bulimina thanetensis,Bulimina striata,Bulimina spp.,Bulimina semicostata,Bulimina navarroensis,Bulimina macilenta,Bulimina jarvisi,Bulimina elongata,Bulimina bradburyi,Bulimina alazanensis,Bolivinoides delicatulus,Bolivina spp.,Astrononion pusillum,Aragonia velascoensis,Aragonia aragonensis,Anomalinoides spp.,Anomalinoides spissiformis,Anomalinoides semicribratus,Anomalinoides capitatus,Anomalina praeacuta,Alabamina dissonata,Alabamina creta,Abyssamina poagi,Lenticulina sp. 5,Bolivina cf. thalmanni,Tritaxia? sp.,Saccorhiza ramosa,Fursenkoina sp. 27,Cassidulina ?cressa or ?crassa,Karreriella sp.,Turrilina robertsi,Trilarina sp. 18,Melonis sp.,Karreriella alticamerata,Gavelinopsis lobatulus,Cibicidoides sp. 50,rugosa rugosa,Valvulineria mexicana,Bulimina sp. 3 (kant),Melonis spp.,Pullenia sp. 52,Orthomorphina glandigena,Astrononion stelligerum,Reophax sp.,Cyclammina spp.,Cribrostomoides subglobosus,Fursenkoina earlandi,Bolivina silvestri,Nonionella iridea & spp.iridea & spp.,Cibicides ?boueana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B,  8,H,CC,  14.00,     67.1800,Mackensen,Benthic Foraminifers                         ,               ,                  ,.0%              ,.0%           ,                      ,18.1%                   ,.0%                 ,1.9%                   ,.0%               ,.0%                          ,.0%               ,.0%          ,.0%          ,.0%                ,33.5%             ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,2.6%                ,                    ,.0%               ,.0%              ,.0%               ,1.9%              ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,1.3%                 ,.0%                   ,.0%                 ,.0%         ,.0%              ,.0%          ,.0%                     ,.0%                   ,.0%            ,1.3%                   ,.0%             ,.0%               ,.0%             ,                 ,10.3%                 ,.6%       ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,.0%               ,.0%               ,.0%                   ,4.5%          ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,.6%           ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                     ,.0%                      ,.0%                     ,.0%             ,.0%                      ,.0%                    ,9.0%                 ,.0%                ,.0%                  ,.0%                  ,                         ,.0%                ,                      ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.6%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,6.5%                ,.0%                  ,.0%                 ,1.3%              ,.0%                       ,.0%                        ,.0%                    ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,                      ,2            ,                 ,                  ,1                             ,1              ,                  ,                ,           ,                        ,                      ,                   ,             ,                     ,                     ,            ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,                                     ,5                 ,Indeterminant specimens = 0%; All others = 5.8%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B,  9,H, 2,  72.00,     68.8200,Mackensen,Benthic Foraminifers                         ,               ,                  ,.0%              ,3.4%          ,                      ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.0%               ,.0%          ,.0%          ,.0%                ,16.9%             ,.0%                      ,.0%                         ,1.3%               ,.0%                                                ,                 ,.8%                       ,.0%                ,.0%              ,1.7%                ,                    ,.0%               ,.0%              ,.4%               ,.4%               ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.4%               ,.0%              ,.0%                  ,14.3%                 ,.0%                 ,1.3%        ,.8%              ,.0%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,.4%             ,                 ,.4%                   ,.4%       ,.4%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,2.5%              ,.8%               ,3.8%                  ,.0%           ,.8%                  ,.8%                  ,.0%                 ,4.6%                       ,.0%               ,.0%                    ,.8%             ,1.7%          ,.0%            ,.0%                 ,.0%          ,.4%             ,.0%           ,.0%                     ,.0%                      ,.0%                     ,3.8%            ,.0%                      ,.0%                    ,18.1%                ,.0%                ,.0%                  ,.0%                  ,                         ,1.3%               ,                      ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,2.1%            ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.8%                 ,.0%                     ,.0%          ,11.4%               ,.0%                  ,.0%                 ,.0%               ,.0%                       ,.8%                        ,.0%                    ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,                      ,             ,                 ,2                 ,                              ,               ,                  ,                ,           ,                        ,                      ,                   ,             ,                     ,                     ,            ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,3                                    ,                  ,Indeterminant specimens = 0%; All others = 1.7%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B,  9,H,CC,   8.00,     76.2900,Mackensen,Benthic Foraminifers                         ,               ,                  ,.0%              ,1.0%          ,                      ,.0%                     ,.0%                 ,.5%                    ,.0%               ,.0%                          ,.0%               ,.0%          ,.0%          ,.0%                ,29.6%             ,.0%                      ,.0%                         ,.0%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,2.5%                ,                    ,.0%               ,.0%              ,3.0%              ,2.5%              ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.5%              ,2.5%                 ,8.4%                  ,.0%                 ,.0%         ,.0%              ,.0%          ,.0%                     ,.0%                   ,1.5%           ,.0%                    ,.0%             ,.0%               ,.5%             ,                 ,3.9%                  ,.0%       ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,3.0%              ,.0%               ,.0%                   ,5.4%          ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,2.0%            ,.5%           ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                     ,.0%                      ,.0%                     ,.0%             ,.0%                      ,.0%                    ,19.7%                ,.0%                ,.0%                  ,.0%                  ,                         ,.0%                ,                      ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,1.0%         ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,9.9%                ,.0%                  ,.0%                 ,.5%               ,.0%                       ,.0%                        ,.0%                    ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,1                     ,             ,                 ,                  ,1                             ,               ,                  ,                ,3          ,                        ,                      ,                   ,             ,                     ,                     ,            ,               ,                        ,                       ,           ,               ,                           ,4                   ,1                 ,                                     ,                  ,Indeterminant specimens = 0.5%; All others = 1.5%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,B, 10,H, 5,  72.00,     82.8200,Mackensen,Benthic Foraminifers                         ,               ,                  ,.4%              ,.0%           ,                      ,24.7%                   ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.0%               ,.0%          ,.0%          ,.0%                ,3.8%              ,.0%                      ,.0%                         ,.4%                ,.0%                                                ,                 ,.0%                       ,.0%                ,.0%              ,1.9%                ,                    ,.0%               ,.0%              ,3.4%              ,.0%               ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,4.9%                 ,.8%                   ,.0%                 ,2.7%        ,.4%              ,.0%          ,.0%                     ,.0%                   ,.0%            ,3.8%                   ,.0%             ,.0%               ,.8%             ,                 ,4.2%                  ,1.1%      ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,.0%               ,5.3%              ,1.9%                  ,.0%           ,.4%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,1.9%          ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                     ,.0%                      ,.0%                     ,3.0%            ,.0%                      ,.0%                    ,17.9%                ,.0%                ,.0%                  ,.0%                  ,8                        ,1.5%               ,1                     ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,10.3%               ,.0%                  ,.0%                 ,1.1%              ,.0%                       ,.0%                        ,.0%                    ,.0%                ,.0%                ,.0%            ,.0%             ,                 ,                      ,             ,                 ,                  ,                              ,               ,                  ,                ,           ,                        ,                      ,                   ,             ,                     ,                     ,            ,               ,                        ,                       ,           ,               ,                           ,                    ,                  ,                                     ,                  ,Indeterminant specimens = 0%; All others = 3.4%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
