Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongodiscus spp.,Lithopera renzae,Eucyrtidium spp.,Eucyrtidium asanoi,Didymocyrtis mammifera,Cyrtocapsella tetrapera,Porodiscus spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,B,  5,R,CC,   9.00,    494.0900,Ling     ,Radiolarians                                 ,R              ,P                 ,R                ,                ,                ,                  ,                      ,                       ,               ,from ODP Legs 127&128 SR Chapter 13 Table 5 p 234
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,B,  7,R,CC,  13.00,    505.3300,Ling     ,Radiolarians                                 ,R              ,P                 ,R                ,                ,R               ,                  ,                      ,                       ,               ,from ODP Legs 127&128 SR Chapter 13 Table 5 p 234
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,B,  9,R,CC,  14.00,    524.9600,Ling     ,Radiolarians                                 ,R              ,P                 ,                 ,                ,                ,                  ,                      ,                       ,R              ,from ODP Legs 127&128 SR Chapter 13 Table 5 p 234
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,B, 10,R,CC,   0.00,    534.4900,Ling     ,Radiolarians                                 ,R              ,P                 ,                 ,                ,                ,                  ,                      ,                       ,R              ,from ODP Legs 127&128 SR Chapter 13 Table 5 p 234
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,B, 31,R,CC,  20.00,    732.5000,Ling     ,Radiolarians                                 ,R              ,P                 ,                 ,                ,                ,                  ,                      ,R                      ,               ,from ODP Legs 127&128 SR Chapter 13 Table 5 p 234
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,B, 32,R,CC,   0.00,    741.1900,Ling     ,Radiolarians                                 ,R              ,P                 ,                 ,                ,                ,                  ,                      ,R                      ,               ,from ODP Legs 127&128 SR Chapter 13 Table 5 p 234
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,B, 38,R,CC,  11.00,    800.5400,Ling     ,Radiolarians                                 ,R              ,P                 ,                 ,                ,                ,                  ,                      ,R                      ,               ,from ODP Legs 127&128 SR Chapter 13 Table 5 p 234
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,B, 48,R,CC,  16.00,    897.7100,Ling     ,Radiolarians                                 ,F              ,P                 ,                 ,R               ,R               ,R                 ,R                     ,F                      ,               ,from ODP Legs 127&128 SR Chapter 13 Table 5 p 234
,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 799,B, 50,R,CC,  20.00,    918.8700,Ling     ,Radiolarians                                 ,R              ,P                 ,R                ,                ,                ,                  ,                      ,                       ,               ,from ODP Legs 127&128 SR Chapter 13 Table 5 p 234
,,,,,,,,,,,,,,,,,,,,,,,,
