Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera mirabilis,Syracosphaera pulchra,Sphenolithus moriformis,Sphenolithus abies/neoabies,Scapholithus fossilis,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Pontosphaera sp.,Helicosphaera kamptneri,Gephyrocapsa spp. small (<3.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Discoaster surculus,Discoaster sp.,Discoaster brouweri,Dictyococcites sp.,Cyclicargolithus floridanus,Calcidiscus leptoporus,Reticulofenestra sp. (<5 microns),Pontosphaera japonica,Discoaster variabilis,Discoaster quinqueramus,Discoaster pentaradiatus,Coccolithus pelagicus,Ceratolithus sp.,Ceratolithus cristatus,Umbellosphaera irregularis,Sphenolithus heteromorphus,Discosphaera tubifera,Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra pseudoumbilica (>7microns),Dictyococcites bisectus,Cyclicargolithus abisectus,Reticulofenestra callida,Ceratolithus telesmus,Emiliania huxleyi,Umbellosphaera sp.,Syracosphaera sp.,Scyphosphaera sp.,Rhabdosphaera sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 830,A,  1,H, 1,  60.00,      0.6000,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rR                         ,C                    ,C                      ,rS                      ,S               ,C                      ,A                                     ,A                                      ,                   ,rS            ,rS                 ,S                 ,rR                         ,C                     ,S                                ,S                    ,rR                   ,                       ,rS                      ,                     ,R               ,                      ,C                         ,                          ,C                    ,                                           ,                                           ,                       ,                          ,                        ,R                    ,V                ,S                 ,S                ,                 ,S                ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 830,A,  1,H, 2,  60.00,      2.1000,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rC                         ,C                    ,C                      ,rS                      ,S               ,C                      ,A                                     ,A                                      ,                   ,rS            ,rS                 ,C                 ,rR                         ,C                     ,R                                ,S                    ,rR                   ,                       ,rS                      ,S                    ,R               ,                      ,C                         ,                          ,C                    ,                                           ,                                           ,                       ,                          ,                        ,R                    ,V                ,S                 ,S                ,                 ,S                ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 830,A,  1,H, 3,  60.00,      3.6000,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rS                         ,C                    ,C                      ,rR                      ,S               ,C                      ,A                                     ,A                                      ,                   ,rS            ,rR                 ,C                 ,rS                         ,C                     ,                                 ,S                    ,rR                   ,                       ,rR                      ,S                    ,R               ,                      ,C                         ,                          ,C                    ,                                           ,                                           ,rR                     ,                          ,                        ,R                    ,V                ,S                 ,S                ,                 ,S                ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,CN15              ,              ,134, 830,A,  1,H, 4,  60.00,      5.1000,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rS                     ,rS                         ,C                    ,C                      ,rR                      ,S               ,C                      ,A                                     ,A                                      ,                   ,rS            ,rR                 ,C                 ,rS                         ,C                     ,                                 ,S                    ,rR                   ,                       ,rR                      ,S                    ,R               ,                      ,C                         ,                          ,C                    ,                                           ,                                           ,                       ,                          ,                        ,R                    ,V                ,S                 ,S                ,                 ,S                ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
