Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,reticulofenstrids small,Syracosphaera spp.,Sphenolithus gr. moriformis/abies,Rhabdosphaera spp.,Reticulofenestra pseudoumbilicus,Helicosphaera intermedia,Helicosphaera carteri,Discoaster surculus,Discoaster spp.,Discoaster pentaradiatus,Discoaster gr. variabilis,Discoaster brouweri,Dictyococcites spp.,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Scyphosphaera spp.,Pontosphaera spp.,Scapholithus fossilis,Discoaster intercalaris,Helicosphaera stalis,Umbilicosphaera spp.,Reticulofenestra pseudoumbilicus (circular outline),Florisphaera profunda,Amaurolithus primus/tricorniculatus,Amaurolithus delicatus,Thoracosphaera spp.,Ceratolithus acutus,Triquetrorhabdulus rugosus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 5,   3.00,     94.4300,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,R                 ,A                                ,R                 ,C                               ,R                       ,C                    ,80                 ,               ,230                     ,620                      ,460                ,C                  ,C/A                  ,F                     ,C                     ,F                 ,C                ,R                    ,10                     ,                    ,                    ,C                                                  ,100                  ,10                                 ,50                    ,                   ,                   ,R                         ,from Leg 160Sr Ch. 9. Table 1. Total Discoaster Abundance = 1400. Rare foraminifers. Common organic matter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 5,  30.00,     94.7000,Castradori,Nannofossils                                 ,A              ,M/G               ,A                      ,R                 ,A                                ,R                 ,C                               ,R                       ,C/A                  ,10                 ,               ,80                      ,220                      ,140                ,C                  ,C/A                  ,F/C                   ,C                     ,R                 ,R                ,R                    ,                       ,                    ,F                   ,A                                                  ,80                   ,                                   ,+                     ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1. Total Discoaster Abundance = 450. Rare reworked Cretaceous taxa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 5,  50.00,     94.9000,Castradori,Nannofossils                                 ,A              ,M                 ,A                      ,R                 ,F/C                              ,F                 ,C                               ,                        ,C                    ,130                ,               ,                        ,330                      ,70                 ,C                  ,A                    ,F                     ,C                     ,C                 ,F                ,                     ,                       ,                    ,R                   ,C/A                                                ,20                   ,20                                 ,20                    ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1. Total Discoaster Abundance = 530. Rare gypsum crystals. Sparce dolomite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,160, 969,B, 11,H, 5,  70.00,     95.1000,Castradori,Nannofossils                                 ,A              ,M/G               ,AA                     ,R                 ,C/A                              ,C                 ,R                               ,R                       ,C                    ,10                 ,               ,80                      ,170                      ,90                 ,C                  ,C/A                  ,C                     ,A                     ,R/F               ,F/C              ,R                    ,                       ,                    ,C                   ,C/A                                                ,60                   ,+                                  ,+                     ,                   ,                   ,                          ,from Leg 160Sr Ch. 9. Table 1. Total Discoaster Abundance = 350. Rare dolomite
