Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Globorotalia puncticuloides,Globigerinita glutinata,Globigerina quinqueloba,Globigerina bulloides,Globorotalia inflata,Globorotalia crassaformis,Globigerina woodi,Orbulina universa,Globorotalia scitula,Globorotalia truncatulinoides,Globigerinita uvula,Neogloboquadrina pachyderma (dextral),Neogloboquadrina humerosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,              ,177,1089,A,  1,H,CC,  17.00,      7.2700,Andersson,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,                           ,F                      ,A                      ,D                    ,A                   ,                         ,                 ,                 ,R                   ,R                            ,R                  ,                                     ,R                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,              ,177,1089,A,  2,H,CC,  16.00,     16.9000,Andersson,Planktonic Foraminifers                      ,A              ,G                 ,F                                      ,                           ,F                      ,A                      ,D                    ,A                   ,                         ,                 ,                 ,R                   ,R                            ,                   ,R                                    ,R                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,A,  3,H,CC,  13.00,     21.1800,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,A                                      ,                           ,A                      ,A                      ,D                    ,F                   ,                         ,                 ,R                ,                    ,R                            ,                   ,R                                    ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,A,  4,H,CC,  22.00,     30.6600,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,                                       ,                           ,A                      ,A                      ,D                    ,A                   ,                         ,                 ,                 ,                    ,F                            ,                   ,                                     ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,              ,177,1089,A,  5,H,CC,  14.00,     43.3600,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,                                       ,                           ,F                      ,F                      ,D                    ,A                   ,                         ,                 ,                 ,                    ,R                            ,                   ,                                     ,F                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,A,  6,H,CC,  18.00,     52.2500,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,F                                      ,R                          ,A                      ,A                      ,D                    ,A                   ,                         ,R                ,                 ,                    ,F                            ,                   ,                                     ,R                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,A,  7,H,CC,  51.00,     63.4000,Andersson,Planktonic Foraminifers                      ,A              ,P                 ,A                                      ,                           ,A                      ,                       ,D                    ,F                   ,                         ,                 ,                 ,                    ,                             ,                   ,F                                    ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
