Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis turris turris,Pyxilla reticulata,Paralia sulcata,Hemiaulus sp.,Hemiaulus caracteristicus,Actinocyclus ingens,Simonseniella barboi,Actinoptychus senarius,Coscinodiscus marginatus,Nitzschia weaveri,Thalassiothrix longissima,Thalassionema nitzschioides,Denticulopsis dimorpha,Azpeitia endoi,Thalassionema nitzschioides  var. parva,Hemidiscus ovalis,Diploneis sp.,Denticulopsis meridionalis,Denticulopsis hustedtii,Craspedodiscus sp.,Thalassiosira insigna,Hyalodiscus sp.,Azpeitia tabularis,Thalassiosira oestrupii,Thalassiosira lentiginosa,Nitzschia barronii,Chaetoceros spp. (resting spores),Thalassiosira kolbei,Eucampia antarctica,Actinocyclus curvatulus,Xanthiopyxis ovalis,Rhizosolenia styliformis,Rhaphoneis surirelloides,Nitzschia ritscherii,Thalassiosira fasciculata,Nitzschia panduriformis,Nitzschia kerguelenis,Cestodiscus reticulatus,Actinoptychus splendens,Thalassiosira elliptipora,Cymbella sp.,Rhizosolenia hebetata f. hiemalis,Actinocyclus oculatus,Actinocyclus actinochilus,Cyclotella striata,Coscinodiscus radiatus,Coscinodiscus asteromphalus,Thalassiosira gracilis,Cocconeis sp.,Chaetoceros sp.,Aulacosira granulata,Nitzschia separanda,Hemidiscus karstenii,Hemidiscus karstenii f.1,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 14,X,CC,   0.00,    107.9200,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,               ,             ,                         ,                   ,                    ,                      ,                        ,                 ,F                        ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,R                 ,R                      ,R                        ,T                 ,                                 ,                    ,R                  ,                       ,                   ,T                       ,T                       ,R                   ,R                        ,R                      ,C                    ,                       ,                       ,                         ,            ,                                 ,                     ,T                        ,R                 ,                      ,                           ,                      ,             ,               ,                    ,R                  ,F                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 15,X,CC,  28.00,    111.2800,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,               ,             ,                         ,                   ,                    ,                      ,                        ,                 ,                         ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,                  ,                       ,                         ,                  ,                                 ,                    ,                   ,                       ,                   ,                        ,                        ,                    ,                         ,                       ,T                    ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,                      ,             ,               ,                    ,                   ,                    ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 16,X,CC,  15.00,    122.8800,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,               ,             ,                         ,F                  ,                    ,                      ,T                       ,                 ,F                        ,                           ,                      ,              ,                                       ,                 ,             ,T                         ,                       ,                  ,                     ,               ,R                 ,                       ,F                        ,                  ,                                 ,                    ,R                  ,                       ,                   ,                        ,                        ,R                   ,R                        ,                       ,C                    ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,                      ,                           ,T                     ,             ,               ,                    ,R                  ,C                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1122,C, 17,X,CC,  15.00,    133.3500,diatoms  ,Diatoms                                      ,               ,                  ,                           ,                  ,               ,             ,                         ,                   ,                    ,                      ,                        ,                 ,F                        ,                           ,                      ,              ,                                       ,                 ,             ,                          ,                       ,                  ,                     ,               ,R                 ,                       ,F                        ,                  ,R                                ,                    ,R                  ,                       ,                   ,                        ,                        ,R                   ,R                        ,                       ,F                    ,                       ,                       ,                         ,            ,                                 ,                     ,                         ,                  ,T                     ,                           ,                      ,             ,               ,                    ,                   ,F                   ,T                       ,       
