leg,site,hole,core,coretype,section,observer,top interval,piece number top,sub piece top,bottom interval,piece number bottom,sub piece bottom,lithology,color,color number,structures,drilling deformities,unusual occurrences,minerals,paleontology,other,induration,more data available,code,latitude,longitude,depth,top interval depth below sea floor,bottom interval depth below sea floor
121,756,A,001,Hydraulic (Advanced) Piston Core,01,FAR,000,,,130,,,nannofossil ooze with foraminifers,white,10yr 8/1 to 10yr 8/2,some mottling; strong(?) or moderate bioturbation; 0.5 x 0.3cm shell fragment (14cm),soupy (0-20cm),,,nannos; forams; 0.5 x 0.3cm shell fragment (14cm),,,,H,-27.35550,87.59680,0000.00,0,130
121,756,A,001,Hydraulic (Advanced) Piston Core,01,FAR,130,,,135,,,interstitial water sample?,,,,,,,,,,,H,-27.35550,87.59680,0000.00,130,135
121,756,A,001,Hydraulic (Advanced) Piston Core,01,FAR,135,,,150,,,nannofossil ooze with forams,white,10yr 8/1 to 10yr 8/2,strong(?) or moderate bioturbation; some mottling,,,,nannos; forams,,,,H,-27.35550,87.59680,0000.00,135,150
121,756,A,001,Hydraulic (Advanced) Piston Core,02,FAR,000,,,150,,,nannofossil ooze with foraminifers,white with slightly darkish blebs (ash?) throughout section,10yr 8/1,mottling; strong(?) or moderate bioturbation,,ash(?) blebs throughout section,ash(?) blebs throughout section,nannos; forams,,,,H,-27.35550,87.59680,0001.50,150,300
121,756,A,001,Hydraulic (Advanced) Piston Core,03,FAR,000,,,130,,,nannofossil ooze with foraminifers,white with some smeared dark blebs (ash?) throughout,10yr 8/1,mottling; moderate bioturbation,,smeared ash(?) blebs throughout section,smeared ash(?) blebs throughout section,nannos; forams,,,,H,-27.35550,87.59680,0003.00,300,430
121,756,A,001,Hydraulic (Advanced) Piston Core,03,FAR,130,,,135,,,interstitial water sample?,,,,,,,,,,,H,-27.35550,87.59680,0003.00,430,435
121,756,A,001,Hydraulic (Advanced) Piston Core,03,FAR,135,,,145,,,nannofossil ooze with forams,white with some smeared dark blebs (ash?),10yr 8/1,moderate bioturbation; mottling,,smeared ash(?) blebs,smeared ash(?) blebs,nannos; forams,,,,H,-27.35550,87.59680,0003.00,435,445
121,756,A,001,Hydraulic (Advanced) Piston Core,03,FAR,145,,,150,,,interstitial water sample?,,,,,,,,,,,H,-27.35550,87.59680,0003.00,445,450
121,756,A,001,Hydraulic (Advanced) Piston Core,04,FAR,000,,,150,,,nannofossil ooze with foraminifers,white with some smeared dark blebs (ash?) throughout,10yr 8/1,mottling; moderate bioturbation,,smeared ash(?) blebs throughout section,smeared ash(?) blebs throughout section,nannos; forams,,,,H,-27.35550,87.59680,0004.50,450,600
121,756,A,001,Hydraulic (Advanced) Piston Core,05,FAR,000,,,145,,,nannofossil ooze with foraminifers,white with some smeared dark blebs (ash?) throughout,10yr 8/1,mottling; moderate bioturbation; 0.4 x 0.3cm shell fragment (53cm),,smeared ash(?) blebs throughout section,smeared ash(?) blebs throughout section,nannos; forams; 0.4 x 0.3cm shell fragment (53cm),,,,H,-27.35550,87.59680,0006.00,600,745
121,756,A,001,Hydraulic (Advanced) Piston Core,05,FAR,145,,,150,,,interstitial water sample,,,,,,,,,,,H,-27.35550,87.59680,0006.00,745,750
121,756,A,001,Hydraulic (Advanced) Piston Core,06,FAR,000,,,150,,,nannofossil ooze with foraminifers,white,10yr 8/1,moderate bioturbation; mottling; well developed burrows,,,,nannos; forams,,,,H,-27.35550,87.59680,0007.50,750,900
121,756,A,001,Hydraulic (Advanced) Piston Core,07,FAR,000,,,054,,,nannofossil ooze with foraminifers,white,10yr 8/1,moderate bioturbation; mottling; burrow structures,,,,nannos; forams,,,,H,-27.35550,87.59680,0009.00,900,954
121,756,A,001,Hydraulic (Advanced) Piston Core,CC,FAR,000,,,013,,,nannofossil ooze with foraminifers,white,10yr 8/1,moderate bioturbation; mottling,slightly disturbed?,,,nannos; forams,,,,H,-27.35550,87.59680,0009.53,952,965
