Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pullenia spp.	Nuttallides umbonifera	Miliolids species	Eponides tumidulus	Epistominella exigua	Eggerella bradyi	Oridorsalis umbonatus	Gyroidinoides lamarckianus	Gyroidinoides laevigatus ex. gr.	Dentalina/Nodosaria spp.	Textularia taxa	Ammonia beccarii	Uvigerinid taxa	Pullenia bulloides	Melonis pompilioides	Laticarinina pauperata	Lagena taxa	Globocassidulina subglobosa	Pyrgo spp.	Planulina wuellerstorfi	Hoeglundina elegans	Reussella spinulosa	Nonionella spp.	Hyalina balthica	Gyroidinoides spp.	Cibicidoides bradyi	Buliminid taxa	Buliminella spp.	Bolivinid taxa	Melonis nicobarense	Cibicidoides spp.	Pleurostomella spp.	Lenticulina spp.	Rosalina globularis	Hanzawaia boueana	Fursenkoina spp.	Florilus boueanus	Cassidulina spp.	Stainforthia spp.	Gyroidinoides altiformis	Cibicidoides kullenbergi	Karreriella sp.	Anomalinoides spp.	Gyroidinoides umbonatus ex. gr.	Gyroidinoides neosoldanii	Sphaeroidina bulloides	Heterolepa spp.	Bolivinita quadrilatera	Comment



  SR	                 	                 	                  	              	116	 719	A	  1	H	 1	 120.00	      1.2000	Iaccarino	Benthic Foraminifers                         	               	                  	3            	4                     	2                	2                 	17                  	3               	6                    	                          	                                	2                       	               	                	               	10                	2                   	                      	1          	2                          	          	4                      	                   	                   	               	                	7                 	                   	              	                	              	                   	                 	2                  	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	  1	H	 2	  69.00	      2.1900	Iaccarino	Benthic Foraminifers                         	               	                  	1            	14                    	1                	                  	3                   	1               	                     	                          	1                               	                        	               	                	               	1                 	3                   	                      	3          	1                          	          	2                      	                   	                   	1              	                	                  	                   	              	                	              	                   	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	1                              	1                        	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	  1	H	 3	  94.00	      3.9400	Iaccarino	Benthic Foraminifers                         	               	                  	             	22                    	                 	                  	26                  	4               	6                    	                          	                                	                        	               	                	               	5                 	6                   	                      	5          	                           	          	5                      	                   	                   	               	                	3                 	                   	              	                	              	5                  	                 	1                  	                	                   	                 	                	                 	                	3                	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	  2	X	 1	  17.00	      4.3700	Iaccarino	Benthic Foraminifers                         	               	                  	4            	15                    	                 	                  	11                  	3               	5                    	                          	7                               	                        	               	                	               	3                 	                    	                      	6          	1                          	          	5                      	                   	                   	               	                	1                 	                   	              	                	              	                   	1                	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	1                     	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

