Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Hastigerina aequilateralis	Globorotalia tumida	Globorotalia menardii	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinoides conglobatus	Globigerina conglomerata	Comment



  SR	                 	                 	                  	              	121	 758	C	  1	H	 1	 123.00	      1.2300	Smit     	Planktonic Foraminifers                      	               	                  	1                        	35                          	16                        	4                         	2                  	14                   	4                       	2                         	7                    	2                          	12                      	Planktonic 3 Benthic 4; Total number 198; from ODP Leg 121 SR Chapter 25 Table 2 p 492

  SR	                 	                 	                  	              	121	 758	C	  1	H	 1	 126.00	      1.2600	Smit     	Planktonic Foraminifers                      	               	                  	3                        	30                          	8                         	2                         	2                  	17                   	8                       	1                         	10                   	4                          	14                      	Planktonic 2 Benthic 1; Total number 195; from ODP Leg 121 SR Chapter 25 Table 2 p 492

  SR	                 	                 	                  	              	121	 758	C	  1	H	 1	 132.00	      1.3200	Smit     	Planktonic Foraminifers                      	               	                  	3                        	23                          	12                        	2                         	3                  	11                   	17                      	1                         	9                    	1                          	15                      	Planktonic 3 Benthic 1; Total number 184; from ODP Leg 121 SR Chapter 25 Table 2 p 492

  SR	                 	                 	                  	              	121	 758	C	  1	H	 1	 135.00	      1.3500	Smit     	Planktonic Foraminifers                      	               	                  	3                        	35                          	15                        	2                         	2                  	10                   	12                      	0                         	6                    	2                          	10                      	Planktonic 2 Benthic 3; Total number 184; from ODP Leg 121 SR Chapter 25 Table 2 p 492

  SR	                 	                 	                  	              	121	 758	C	  1	H	 1	 138.00	      1.3800	Smit     	Planktonic Foraminifers                      	               	                  	0                        	13                          	26                        	2                         	0                  	5                    	21                      	3                         	19                   	1                          	9                       	Planktonic 1 Benthic 1; Total number 209; from ODP Leg 121 SR Chapter 25 Table 2 p 492

  SR	                 	                 	                  	              	121	 758	C	  1	H	 1	 141.00	      1.4100	Smit     	Planktonic Foraminifers                      	               	                  	4                        	29                          	9                         	2                         	11                 	14                   	5                       	2                         	1                    	8                          	16                      	Planktonic 1 Benthic 7; Total number 196; from ODP Leg 121 SR Chapter 25 Table 2 p 492

  SR	                 	                 	                  	              	121	 758	C	  1	H	 1	 144.00	      1.4400	Smit     	Planktonic Foraminifers                      	               	                  	1                        	33                          	10                        	2                         	5                  	15                   	9                       	4                         	8                    	2                          	12                      	Planktonic 1 Benthic 6; Total number 198; from ODP Leg 121 SR Chapter 25 Table 2 p 492

  SR	                 	                 	                  	              	121	 758	C	  1	H	 1	 147.00	      1.4700	Smit     	Planktonic Foraminifers                      	               	                  	1                        	25                          	8                         	1                         	27                 	12                   	7                       	1                         	6                    	4                          	5                       	Planktonic 1 Benthic 10; Total number 146; from ODP Leg 121 SR Chapter 25 Table 2 p 492

